timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779358687298,2026-05-21T10:18:07.298920+00:00,3.76,65.3,31441.34,0.21,0.0,0.02,0.196,0.127
1779358688314,2026-05-21T10:18:08.314256+00:00,4.2,66.57,31441.34,0.21,0.0,0.023,0.226,0.167
1779358689338,2026-05-21T10:18:09.338382+00:00,3.59,66.62,31441.34,0.21,0.0,0.023,0.249,0.19
1779358690359,2026-05-21T10:18:10.359946+00:00,4.18,66.76,31441.34,0.21,0.0,0.035,0.286,0.23
1779358691365,2026-05-21T10:18:11.365843+00:00,2.81,67.38,31441.34,0.21,0.0,0.035,0.309,0.253
1779358692399,2026-05-21T10:18:12.399396+00:00,3.28,42.74,31441.34,0.14,0.0,0.043,0.331,0.275
1779358693426,2026-05-21T10:18:13.426428+00:00,1.9,42.75,31441.34,0.14,0.0,0.043,0.345,0.277
1779358694442,2026-05-21T10:18:14.442112+00:00,1.48,42.75,31441.34,0.14,0.0,0.047,0.354,0.279
1779358695458,2026-05-21T10:18:15.458555+00:00,1.87,43.01,31441.34,0.14,0.0,0.047,0.36,0.281
1779358696485,2026-05-21T10:18:16.485862+00:00,1.95,42.75,31441.34,0.14,0.0,0.051,0.372,0.284
1779358697503,2026-05-21T10:18:17.503482+00:00,1.92,43.0,31441.34,0.14,0.0,0.051,0.377,0.286
1779358698538,2026-05-21T10:18:18.538556+00:00,2.03,42.8,31441.34,0.14,0.0,0.055,0.384,0.288
1779358699561,2026-05-21T10:18:19.561285+00:00,1.42,42.75,31441.34,0.14,0.0,0.055,0.394,0.29
1779358700576,2026-05-21T10:18:20.576883+00:00,1.25,42.76,31441.34,0.14,0.0,0.059,0.401,0.293
1779358701595,2026-05-21T10:18:21.595514+00:00,1.71,43.32,31441.34,0.14,0.0,0.059,0.406,0.295
1779358702632,2026-05-21T10:18:22.632645+00:00,1.79,42.76,31441.34,0.14,0.0,0.062,0.417,0.298
1779358703645,2026-05-21T10:18:23.645301+00:00,1.83,42.91,31441.34,0.14,0.0,0.062,0.423,0.299
1779358704679,2026-05-21T10:18:24.679144+00:00,1.86,42.76,31441.34,0.14,0.0,0.066,0.429,0.302
1779358705692,2026-05-21T10:18:25.692086+00:00,1.29,42.76,31441.34,0.14,0.0,0.066,0.439,0.304
1779358706726,2026-05-21T10:18:26.726811+00:00,1.74,42.76,31441.34,0.14,0.0,0.07,0.446,0.307
1779358707751,2026-05-21T10:18:27.751692+00:00,4.52,52.81,31441.34,0.17,0.0,0.074,0.474,0.346
1779358708770,2026-05-21T10:18:28.770512+00:00,3.17,52.84,31441.34,0.17,0.0,0.078,0.507,0.38
1779358709783,2026-05-21T10:18:29.783847+00:00,2.72,52.85,31441.34,0.17,0.0,0.078,0.531,0.405
1779358710797,2026-05-21T10:18:30.797907+00:00,3.7,54.89,31441.34,0.17,0.0,0.086,0.567,0.446
1779358711842,2026-05-21T10:18:31.842395+00:00,4.21,57.82,31441.34,0.18,0.0,0.086,0.596,0.472
1779358712849,2026-05-21T10:18:32.849217+00:00,2.52,59.07,31441.34,0.19,0.0,0.094,0.611,0.482
1779358713877,2026-05-21T10:18:33.877100+00:00,1.85,59.39,31441.34,0.19,0.0,0.094,0.62,0.483
1779358714896,2026-05-21T10:18:34.896940+00:00,2.01,59.76,31441.34,0.19,0.0,0.098,0.632,0.486
1779358715908,2026-05-21T10:18:35.908054+00:00,1.32,60.06,31441.34,0.19,0.0,0.098,0.637,0.488
1779358716939,2026-05-21T10:18:36.939806+00:00,1.26,60.46,31441.34,0.19,0.0,0.102,0.644,0.491
1779358717965,2026-05-21T10:18:37.965765+00:00,1.94,60.77,31441.34,0.19,0.0,0.102,0.654,0.493
1779358718991,2026-05-21T10:18:38.991231+00:00,1.98,61.22,31441.34,0.19,0.0,0.105,0.661,0.495
1779358720013,2026-05-21T10:18:40.013063+00:00,1.82,61.53,31441.34,0.2,0.0,0.105,0.667,0.497
1779358721031,2026-05-21T10:18:41.031227+00:00,1.47,62.02,31441.34,0.2,0.0,0.109,0.678,0.5
1779358722065,2026-05-21T10:18:42.065518+00:00,1.71,62.26,31441.34,0.2,0.0,0.109,0.683,0.502
1779358723087,2026-05-21T10:18:43.087364+00:00,1.89,62.68,31441.34,0.2,0.0,0.113,0.693,0.505
1779358724103,2026-05-21T10:18:44.103760+00:00,1.28,62.96,31441.34,0.2,0.0,0.113,0.7,0.506
1779358725118,2026-05-21T10:18:45.118222+00:00,1.98,63.41,31441.34,0.2,0.0,0.117,0.706,0.509
1779358726154,2026-05-21T10:18:46.154342+00:00,1.72,63.7,31441.34,0.2,0.0,0.121,0.716,0.511
1779358727190,2026-05-21T10:18:47.190799+00:00,1.44,64.13,31441.34,0.2,0.0,0.121,0.723,0.514
1779358728203,2026-05-21T10:18:48.203866+00:00,4.53,79.03,31441.34,0.25,0.0,0.129,0.75,0.552
1779358729237,2026-05-21T10:18:49.237449+00:00,3.91,78.9,31441.34,0.25,0.0,0.129,0.782,0.578
1779358730251,2026-05-21T10:18:50.251908+00:00,3.89,78.82,31441.34,0.25,0.0,0.129,0.807,0.604
1779358731268,2026-05-21T10:18:51.268883+00:00,3.35,78.86,31441.34,0.25,0.0,0.137,0.841,0.645
1779358732279,2026-05-21T10:18:52.279276+00:00,3.03,79.14,31441.34,0.25,0.0,0.148,0.869,0.667
1779358733318,2026-05-21T10:18:53.318020+00:00,1.78,78.89,31441.34,0.25,0.0,0.148,0.877,0.669
1779358734329,2026-05-21T10:18:54.329493+00:00,1.98,78.96,31441.34,0.25,0.0,0.152,0.886,0.671
1779358735364,2026-05-21T10:18:55.364095+00:00,1.84,78.88,31441.34,0.25,0.0,0.152,0.897,0.673
1779358736377,2026-05-21T10:18:56.377617+00:00,1.96,78.93,31441.34,0.25,0.0,0.156,0.903,0.676
1779358737388,2026-05-21T10:18:57.388915+00:00,1.92,79.14,31441.34,0.25,0.0,0.156,0.908,0.678
1779358738431,2026-05-21T10:18:58.431250+00:00,2.25,78.93,31441.34,0.25,0.0,0.16,0.92,0.68
1779358739458,2026-05-21T10:18:59.458796+00:00,1.31,78.88,31441.34,0.25,0.0,0.16,0.925,0.682
1779358740483,2026-05-21T10:19:00.483999+00:00,2.0,78.88,31441.34,0.25,0.0,0.164,0.933,0.685
1779358741499,2026-05-21T10:19:01.499590+00:00,1.33,78.89,31441.34,0.25,0.0,0.164,0.943,0.687
1779358742521,2026-05-21T10:19:02.521796+00:00,1.92,78.89,31441.34,0.25,0.0,0.168,0.949,0.69
1779358743550,2026-05-21T10:19:03.550307+00:00,1.18,78.89,31441.34,0.25,0.0,0.168,0.955,0.692
1779358744568,2026-05-21T10:19:04.568714+00:00,1.88,78.89,31441.34,0.25,0.0,0.172,0.966,0.694
1779358745589,2026-05-21T10:19:05.589113+00:00,1.78,78.99,31441.34,0.25,0.0,0.172,0.971,0.696
1779358746598,2026-05-21T10:19:06.598314+00:00,1.94,79.45,31441.34,0.25,0.0,0.176,0.978,0.699
1779358747638,2026-05-21T10:19:07.638397+00:00,1.67,78.89,31441.34,0.25,0.0,0.176,0.988,0.701
1779358748648,2026-05-21T10:19:08.648130+00:00,4.75,75.03,31441.34,0.24,0.0,0.184,1.011,0.726
1779358749672,2026-05-21T10:19:09.672520+00:00,3.13,75.29,31441.34,0.24,0.0,0.184,1.036,0.753
1779358750702,2026-05-21T10:19:10.702558+00:00,4.37,74.81,31441.34,0.24,0.0,0.195,1.076,0.794
1779358751731,2026-05-21T10:19:11.731720+00:00,2.85,74.81,31441.34,0.24,0.0,0.195,1.1,0.821
1779358752739,2026-05-21T10:19:12.739833+00:00,1.81,75.06,31441.34,0.24,0.0,0.207,1.116,0.832
1779358753770,2026-05-21T10:19:13.770563+00:00,1.69,74.9,31441.34,0.24,0.0,0.207,1.13,0.834
1779358754789,2026-05-21T10:19:14.789537+00:00,1.27,74.82,31441.34,0.24,0.0,0.211,1.138,0.837
1779358755811,2026-05-21T10:19:15.811389+00:00,1.78,75.07,31441.34,0.24,0.0,0.211,1.143,0.838
1779358756850,2026-05-21T10:19:16.850486+00:00,1.41,74.81,31441.34,0.24,0.0,0.215,1.156,0.841
1779358757860,2026-05-21T10:19:17.860936+00:00,1.81,75.16,31441.34,0.24,0.0,0.215,1.161,0.843
1779358758891,2026-05-21T10:19:18.891467+00:00,1.79,74.81,31441.34,0.24,0.0,0.219,1.167,0.846
1779358759923,2026-05-21T10:19:19.923702+00:00,1.73,74.82,31441.34,0.24,0.0,0.219,1.178,0.848
1779358760949,2026-05-21T10:19:20.949043+00:00,1.93,74.82,31441.34,0.24,0.0,0.223,1.184,0.851
1779358761970,2026-05-21T10:19:21.970290+00:00,1.78,74.85,31441.34,0.24,0.0,0.223,1.189,0.852
1779358762989,2026-05-21T10:19:22.989633+00:00,1.33,74.84,31441.34,0.24,0.0,0.227,1.201,0.855
1779358764013,2026-05-21T10:19:24.013094+00:00,1.92,74.89,31441.34,0.24,0.0,0.227,1.206,0.857
1779358765023,2026-05-21T10:19:25.023431+00:00,1.94,74.85,31441.34,0.24,0.0,0.23,1.215,0.86
1779358766053,2026-05-21T10:19:26.053902+00:00,1.21,74.84,31441.34,0.24,0.0,0.23,1.223,0.862
1779358767085,2026-05-21T10:19:27.085459+00:00,1.72,74.84,31441.34,0.24,0.0,0.234,1.229,0.864
1779358768102,2026-05-21T10:19:28.102553+00:00,1.81,74.84,31441.34,0.24,0.0,0.234,1.239,0.866
1779358769137,2026-05-21T10:19:29.137323+00:00,4.8,74.79,31441.34,0.24,0.0,0.242,1.267,0.904
1779358770142,2026-05-21T10:19:30.142856+00:00,3.94,74.81,31441.34,0.24,0.0,0.242,1.3,0.953
1779358771159,2026-05-21T10:19:31.159901+00:00,3.51,74.8,31441.34,0.24,0.0,0.246,1.332,0.98
1779358772173,2026-05-21T10:19:32.173574+00:00,4.2,74.81,31441.34,0.24,0.0,0.258,1.366,1.02
1779358773194,2026-05-21T10:19:33.194443+00:00,3.54,75.06,31441.34,0.24,0.0,0.258,1.391,1.048
1779358774206,2026-05-21T10:19:34.206206+00:00,3.73,76.97,31441.34,0.24,0.0,0.27,1.419,1.071
1779358775240,2026-05-21T10:19:35.240189+00:00,1.84,76.8,31441.34,0.24,0.0,0.27,1.431,1.074
1779358776269,2026-05-21T10:19:36.269622+00:00,1.53,77.22,31441.34,0.25,0.0,0.273,1.44,1.077
1779358777271,2026-05-21T10:19:37.271973+00:00,1.41,77.7,31441.34,0.25,0.0,0.273,1.45,1.079
1779358778304,2026-05-21T10:19:38.304267+00:00,1.87,77.91,31441.34,0.25,0.0,0.277,1.456,1.081
1779358779344,2026-05-21T10:19:39.344492+00:00,1.68,78.19,31441.34,0.25,0.0,0.277,1.462,1.083
1779358780362,2026-05-21T10:19:40.362140+00:00,1.94,78.59,31441.34,0.25,0.0,0.281,1.473,1.086
1779358781394,2026-05-21T10:19:41.394386+00:00,1.87,78.94,31441.34,0.25,0.0,0.281,1.478,1.088
1779358782405,2026-05-21T10:19:42.405962+00:00,1.54,79.34,31441.34,0.25,0.0,0.285,1.485,1.091
1779358783437,2026-05-21T10:19:43.437685+00:00,1.83,79.63,31441.34,0.25,0.0,0.285,1.495,1.092
1779358784458,2026-05-21T10:19:44.458002+00:00,1.96,80.04,31441.34,0.25,0.0,0.289,1.502,1.095
1779358785482,2026-05-21T10:19:45.482832+00:00,1.8,80.34,31441.34,0.26,0.0,0.289,1.507,1.097
1779358786494,2026-05-21T10:19:46.494072+00:00,2.43,63.07,31441.34,0.2,0.0,0.293,1.519,1.1
1779358787522,2026-05-21T10:19:47.522260+00:00,1.71,62.91,31441.34,0.2,0.0,0.293,1.524,1.102
1779358788557,2026-05-21T10:19:48.557766+00:00,1.27,63.04,31441.34,0.2,0.0,0.297,1.53,1.104
1779358789581,2026-05-21T10:19:49.581172+00:00,5.2,44.43,31441.34,0.14,0.0,0.301,1.56,1.138
1779358790582,2026-05-21T10:19:50.582796+00:00,4.06,44.36,31441.34,0.14,0.0,0.305,1.59,1.176
1779358791620,2026-05-21T10:19:51.620176+00:00,3.16,45.6,31441.34,0.15,0.0,0.305,1.615,1.203
1779358792630,2026-05-21T10:19:52.630771+00:00,3.75,51.04,31441.34,0.16,0.0,0.309,1.655,1.243
1779358793657,2026-05-21T10:19:53.657765+00:00,3.63,43.52,31441.34,0.14,0.0,0.309,1.679,1.269
1779358794694,2026-05-21T10:19:54.694819+00:00,2.08,43.54,31441.34,0.14,0.0,0.32,1.696,1.281
1779358795712,2026-05-21T10:19:55.712649+00:00,1.37,43.53,31441.34,0.14,0.0,0.32,1.71,1.283
1779358796729,2026-05-21T10:19:56.729809+00:00,2.04,43.54,31441.34,0.14,0.0,0.324,1.717,1.285
1779358797759,2026-05-21T10:19:57.759654+00:00,1.9,43.54,31441.34,0.14,0.0,0.324,1.722,1.287
1779358798768,2026-05-21T10:19:58.768771+00:00,1.3,43.79,31441.34,0.14,0.0,0.328,1.734,1.29
1779358799805,2026-05-21T10:19:59.805499+00:00,1.94,43.55,31441.34,0.14,0.0,0.328,1.739,1.292
1779358800836,2026-05-21T10:20:00.836538+00:00,1.9,43.55,31441.34,0.14,0.0,0.332,1.745,1.295
1779358801852,2026-05-21T10:20:01.852851+00:00,1.33,43.55,31441.34,0.14,0.0,0.332,1.755,1.296
1779358802880,2026-05-21T10:20:02.880498+00:00,1.93,43.55,31441.34,0.14,0.0,0.336,1.762,1.299
1779358803893,2026-05-21T10:20:03.893410+00:00,1.37,43.57,31441.34,0.14,0.0,0.336,1.767,1.301
1779358804927,2026-05-21T10:20:04.927803+00:00,1.62,43.55,31441.34,0.14,0.0,0.34,1.779,1.304
1779358805944,2026-05-21T10:20:05.944509+00:00,1.28,43.55,31441.34,0.14,0.0,0.34,1.784,1.306
1779358806972,2026-05-21T10:20:06.972331+00:00,1.86,43.57,31441.34,0.14,0.0,0.352,1.789,1.308
1779358807996,2026-05-21T10:20:07.996327+00:00,1.07,43.56,31441.34,0.14,0.0,0.352,1.794,1.308
1779358809018,2026-05-21T10:20:09.018014+00:00,1.07,43.59,31441.34,0.14,0.0,0.352,1.794,1.308
