timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780433038934,2026-06-02T20:43:58.934716+00:00,0.25,63.5,76036.91,0.08,1.008,4.18,0.892,1.124
1780433039937,2026-06-02T20:43:59.937965+00:00,22.72,63.5,76036.91,0.08,1.008,4.266,0.925,1.165
1780433040941,2026-06-02T20:44:00.941254+00:00,4.53,63.47,76036.91,0.08,1.008,4.266,0.927,1.167
1780433041944,2026-06-02T20:44:01.944240+00:00,4.95,63.46,76036.91,0.08,1.008,4.273,0.928,1.17
1780433042947,2026-06-02T20:44:02.947186+00:00,4.24,63.48,76036.91,0.08,1.008,4.273,0.93,1.173
1780433043949,2026-06-02T20:44:03.949949+00:00,5.52,63.29,76036.91,0.08,1.008,4.289,0.931,1.173
1780433044952,2026-06-02T20:44:04.952701+00:00,3.24,63.55,76036.91,0.08,1.008,4.289,0.931,1.173
1780433045954,2026-06-02T20:44:05.954699+00:00,3.2,63.42,76036.91,0.08,1.008,4.289,0.931,1.173
1780433046956,2026-06-02T20:44:06.956945+00:00,3.25,63.4,76036.91,0.08,1.008,4.289,0.931,1.173
1780433047964,2026-06-02T20:44:07.964146+00:00,3.32,63.28,76036.91,0.08,1.008,4.289,0.931,1.173
1780433048967,2026-06-02T20:44:08.967007+00:00,7.44,63.41,76036.91,0.08,1.008,4.289,0.938,1.183
1780433049970,2026-06-02T20:44:09.970777+00:00,4.3,63.28,76036.91,0.08,1.008,4.289,0.939,1.184
