timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779383764055,2026-05-21T17:16:04.055999+00:00,1.48,71.12,31441.34,0.23,0.0,1.281,10.252,3.098
1779383765102,2026-05-21T17:16:05.102829+00:00,2.14,71.13,31441.34,0.23,0.0,1.285,10.281,3.104
1779383766185,2026-05-21T17:16:06.185720+00:00,2.1,71.13,31441.34,0.23,0.0,1.285,10.308,3.108
1779383767210,2026-05-21T17:16:07.210834+00:00,2.47,71.12,31441.34,0.23,0.0,1.289,10.338,3.134
1779383768266,2026-05-21T17:16:08.266264+00:00,1.92,71.13,31441.34,0.23,0.0,1.289,10.357,3.139
1779383769356,2026-05-21T17:16:09.356478+00:00,2.49,71.13,31441.34,0.23,0.0,1.293,10.4,3.166
1779383770421,2026-05-21T17:16:10.421760+00:00,2.29,71.12,31441.34,0.23,0.0,1.301,10.428,3.182
1779383771471,2026-05-21T17:16:11.471573+00:00,1.96,71.13,31441.34,0.23,0.0,1.301,10.451,3.184
1779383772535,2026-05-21T17:16:12.535671+00:00,1.91,71.13,31441.34,0.23,0.0,1.305,10.473,3.187
1779383773573,2026-05-21T17:16:13.573796+00:00,2.01,71.13,31441.34,0.23,0.0,1.305,10.484,3.189
1779383774695,2026-05-21T17:16:14.695115+00:00,1.34,71.13,31441.34,0.23,0.0,1.309,10.502,3.191
1779383775702,2026-05-21T17:16:15.702163+00:00,1.34,71.13,31441.34,0.23,0.0,1.309,10.515,3.193
1779383776730,2026-05-21T17:16:16.730287+00:00,1.32,71.13,31441.34,0.23,0.0,1.312,10.526,3.196
1779383777837,2026-05-21T17:16:17.837158+00:00,1.74,71.13,31441.34,0.23,0.0,1.312,10.541,3.198
1779383778892,2026-05-21T17:16:18.892177+00:00,1.95,71.13,31441.34,0.23,0.0,1.316,10.554,3.201
1779383779935,2026-05-21T17:16:19.935811+00:00,1.74,71.13,31441.34,0.23,0.0,1.316,10.565,3.203
1779383781040,2026-05-21T17:16:21.040146+00:00,1.86,71.12,31441.34,0.23,0.0,1.32,10.58,3.205
1779383783092,2026-05-21T17:16:23.092867+00:00,0.36,71.13,31441.34,0.23,0.0,1.324,10.607,3.21
1779383784185,2026-05-21T17:16:24.185760+00:00,2.84,71.12,31441.34,0.23,0.0,1.336,10.622,3.217
1779383785236,2026-05-21T17:16:25.236334+00:00,1.67,71.13,31441.34,0.23,0.0,1.34,10.649,3.223
1779383786295,2026-05-21T17:16:26.295370+00:00,2.39,71.14,31441.34,0.23,0.0,1.34,10.684,3.241
1779383787368,2026-05-21T17:16:27.368635+00:00,2.22,71.13,31441.34,0.23,0.0,1.344,10.71,3.251
1779383788393,2026-05-21T17:16:28.393450+00:00,2.44,71.14,31441.34,0.23,0.0,1.344,10.734,3.271
1779383789445,2026-05-21T17:16:29.445009+00:00,2.41,71.13,31441.34,0.23,0.0,1.348,10.766,3.283
1779383790525,2026-05-21T17:16:30.525240+00:00,2.54,71.14,31441.34,0.23,0.0,1.355,10.802,3.301
