timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779373110531,2026-05-21T14:18:30.531345+00:00,0.09,62.51,76036.91,0.08,0.0,4.609,0.682,0.895
1779373111535,2026-05-21T14:18:31.535485+00:00,27.3,62.61,76036.91,0.08,0.0,4.664,0.721,0.943
1779373112539,2026-05-21T14:18:32.539271+00:00,18.52,62.62,76036.91,0.08,0.0,4.711,0.748,0.975
1779373113541,2026-05-21T14:18:33.541646+00:00,5.38,62.73,76036.91,0.08,0.0,4.719,0.75,0.978
1779373114545,2026-05-21T14:18:34.545285+00:00,4.79,62.76,76036.91,0.08,0.0,4.719,0.752,0.98
1779373115548,2026-05-21T14:18:35.548519+00:00,5.15,62.66,76036.91,0.08,0.0,4.727,0.754,0.983
1779373116552,2026-05-21T14:18:36.552257+00:00,4.13,62.9,76036.91,0.08,0.0,4.727,0.755,0.986
1779373117555,2026-05-21T14:18:37.555444+00:00,4.48,62.61,76036.91,0.08,0.0,4.734,0.757,0.989
1779373118558,2026-05-21T14:18:38.558698+00:00,6.05,62.75,76036.91,0.08,0.0,4.734,0.759,0.991
1779373119562,2026-05-21T14:18:39.562249+00:00,4.58,62.64,76036.91,0.08,0.0,4.742,0.761,0.994
1779373120565,2026-05-21T14:18:40.565455+00:00,4.29,62.63,76036.91,0.08,0.0,4.742,0.762,0.997
1779373121568,2026-05-21T14:18:41.568809+00:00,4.69,62.67,76036.91,0.08,0.0,4.75,0.764,0.999
1779373122571,2026-05-21T14:18:42.571956+00:00,4.23,62.74,76036.91,0.08,0.0,4.75,0.766,1.002
1779373123576,2026-05-21T14:18:43.576222+00:00,5.16,62.6,76036.91,0.08,0.0,4.758,0.768,1.005
1779373124578,2026-05-21T14:18:44.578468+00:00,6.2,62.76,76036.91,0.08,0.0,4.758,0.769,1.007
1779373125582,2026-05-21T14:18:45.582006+00:00,5.01,62.76,76036.91,0.08,0.0,4.766,0.771,1.01
1779373126585,2026-05-21T14:18:46.585095+00:00,4.21,62.94,76036.91,0.08,0.0,4.766,0.773,1.013
1779373127588,2026-05-21T14:18:47.588380+00:00,4.52,62.62,76036.91,0.08,0.0,4.773,0.775,1.016
1779373128592,2026-05-21T14:18:48.592820+00:00,4.43,62.61,76036.91,0.08,0.0,4.773,0.776,1.018
1779373129596,2026-05-21T14:18:49.596266+00:00,4.42,62.82,76036.91,0.08,0.0,4.781,0.778,1.022
1779373130599,2026-05-21T14:18:50.599726+00:00,4.2,62.82,76036.91,0.08,0.0,4.781,0.78,1.024
1779373131602,2026-05-21T14:18:51.602671+00:00,4.73,62.71,76036.91,0.08,0.0,4.789,0.782,1.027
1779373132605,2026-05-21T14:18:52.605993+00:00,4.78,62.79,76036.91,0.08,0.0,4.789,0.784,1.029
1779373133609,2026-05-21T14:18:53.609795+00:00,30.57,62.75,76036.91,0.08,0.0,4.938,0.827,1.082
1779373134612,2026-05-21T14:18:54.612837+00:00,16.96,62.69,76036.91,0.08,0.0,4.984,0.848,1.107
1779373135616,2026-05-21T14:18:55.616443+00:00,5.1,62.67,76036.91,0.08,0.0,4.992,0.85,1.11
1779373136619,2026-05-21T14:18:56.619999+00:00,4.58,62.76,76036.91,0.08,0.0,4.992,0.852,1.113
1779373137621,2026-05-21T14:18:57.621993+00:00,4.97,62.76,76036.91,0.08,0.0,5.0,0.854,1.116
1779373138624,2026-05-21T14:18:58.624535+00:00,4.34,62.8,76036.91,0.08,0.0,5.0,0.855,1.118
1779373139627,2026-05-21T14:18:59.627895+00:00,4.58,62.76,76036.91,0.08,0.0,5.008,0.857,1.121
1779373140630,2026-05-21T14:19:00.630312+00:00,4.55,62.89,76036.91,0.08,0.0,5.008,0.859,1.124
1779373141632,2026-05-21T14:19:01.632837+00:00,4.73,62.79,76036.91,0.08,0.0,5.016,0.861,1.127
1779373142636,2026-05-21T14:19:02.636493+00:00,4.26,62.79,76036.91,0.08,0.0,5.016,0.863,1.129
1779373143639,2026-05-21T14:19:03.639196+00:00,4.33,62.63,76036.91,0.08,0.0,5.023,0.864,1.132
1779373144642,2026-05-21T14:19:04.642791+00:00,4.02,62.76,76036.91,0.08,0.0,5.023,0.866,1.135
1779373145645,2026-05-21T14:19:05.645548+00:00,4.57,62.77,76036.91,0.08,0.0,5.031,0.868,1.138
1779373146648,2026-05-21T14:19:06.648389+00:00,3.93,62.74,76036.91,0.08,0.0,5.031,0.869,1.14
1779373147651,2026-05-21T14:19:07.651587+00:00,4.38,62.81,76036.91,0.08,0.0,5.039,0.871,1.143
1779373148655,2026-05-21T14:19:08.655327+00:00,4.31,62.78,76036.91,0.08,0.0,5.039,0.873,1.145
1779373149658,2026-05-21T14:19:09.658885+00:00,4.62,62.71,76036.91,0.08,0.0,5.047,0.875,1.149
1779373150662,2026-05-21T14:19:10.662124+00:00,4.15,62.89,76036.91,0.08,0.0,5.047,0.877,1.151
1779373151665,2026-05-21T14:19:11.665313+00:00,4.49,62.65,76036.91,0.08,0.0,5.055,0.879,1.154
1779373152670,2026-05-21T14:19:12.670043+00:00,4.71,62.79,76036.91,0.08,0.0,5.055,0.88,1.156
1779373153674,2026-05-21T14:19:13.674403+00:00,36.6,62.68,76036.91,0.08,0.0,5.25,0.931,1.218
1779373154677,2026-05-21T14:19:14.677814+00:00,13.26,62.73,76036.91,0.08,0.0,5.367,0.945,1.235
1779373155681,2026-05-21T14:19:15.681830+00:00,4.9,62.82,76036.91,0.08,0.0,5.375,0.947,1.238
1779373156684,2026-05-21T14:19:16.684733+00:00,5.09,62.99,76036.91,0.08,0.0,5.375,0.949,1.24
1779373157687,2026-05-21T14:19:17.687700+00:00,4.93,62.71,76036.91,0.08,0.0,5.383,0.951,1.243
1779373158690,2026-05-21T14:19:18.690290+00:00,4.16,62.84,76036.91,0.08,0.0,5.383,0.952,1.245
1779373159693,2026-05-21T14:19:19.693153+00:00,4.6,62.78,76036.91,0.08,0.0,5.391,0.954,1.249
1779373160696,2026-05-21T14:19:20.696490+00:00,4.04,63.04,76036.91,0.08,0.0,5.391,0.956,1.251
1779373161699,2026-05-21T14:19:21.699947+00:00,4.39,62.77,76036.91,0.08,0.0,5.398,0.958,1.254
1779373162702,2026-05-21T14:19:22.702199+00:00,4.33,62.73,76036.91,0.08,0.0,5.398,0.959,1.256
1779373163705,2026-05-21T14:19:23.705200+00:00,4.4,62.7,76036.91,0.08,0.0,5.406,0.961,1.26
1779373164708,2026-05-21T14:19:24.708584+00:00,4.15,63.02,76036.91,0.08,0.0,5.406,0.963,1.262
1779373165711,2026-05-21T14:19:25.711529+00:00,4.84,62.71,76036.91,0.08,0.0,5.414,0.965,1.265
1779373166714,2026-05-21T14:19:26.714908+00:00,4.14,62.91,76036.91,0.08,0.0,5.414,0.966,1.267
1779373167717,2026-05-21T14:19:27.717178+00:00,4.72,62.75,76036.91,0.08,0.0,5.422,0.968,1.271
1779373168719,2026-05-21T14:19:28.719853+00:00,4.21,62.71,76036.91,0.08,0.0,5.422,0.97,1.273
1779373169723,2026-05-21T14:19:29.723233+00:00,4.61,62.77,76036.91,0.08,0.0,5.43,0.972,1.276
1779373170727,2026-05-21T14:19:30.727145+00:00,4.16,62.85,76036.91,0.08,0.0,5.43,0.974,1.279
