timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780433415107,2026-06-02T20:50:15.107323+00:00,2.16,73.96,31441.34,0.24,0.0,0.254,0.595,0.27
1780433416120,2026-06-02T20:50:16.120031+00:00,2.09,73.99,31441.34,0.24,0.0,0.254,0.605,0.276
1780433417142,2026-06-02T20:50:17.142143+00:00,1.54,74.05,31441.34,0.24,0.0,0.258,0.617,0.281
1780433418152,2026-06-02T20:50:18.152776+00:00,1.79,74.46,31441.34,0.24,0.0,0.266,0.626,0.285
1780433419169,2026-06-02T20:50:19.169772+00:00,1.03,74.05,31441.34,0.24,0.0,0.266,0.628,0.286
1780433420178,2026-06-02T20:50:20.178693+00:00,0.95,73.97,31441.34,0.24,0.0,0.266,0.631,0.286
1780433421187,2026-06-02T20:50:21.187297+00:00,1.41,74.1,31441.34,0.24,0.0,0.266,0.631,0.286
1780433422206,2026-06-02T20:50:22.206571+00:00,1.0,73.97,31441.34,0.24,0.0,0.266,0.631,0.286
1780433423213,2026-06-02T20:50:23.213639+00:00,1.4,74.03,31441.34,0.24,0.0,0.266,0.633,0.286
1780433424222,2026-06-02T20:50:24.222962+00:00,1.52,74.26,31441.34,0.24,0.0,0.266,0.633,0.286
1780433425245,2026-06-02T20:50:25.245272+00:00,1.09,73.97,31441.34,0.24,0.0,0.266,0.633,0.286
