timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770713081508,2026-02-10T08:44:41.508825+00:00,5.49,60.31,40890.07,0.15,0.0,1.141,0.009,0.011
1770713082520,2026-02-10T08:44:42.520868+00:00,9.7,60.1,40890.07,0.15,0.0,1.141,0.01,0.013
1770713083531,2026-02-10T08:44:43.531880+00:00,8.56,60.18,40890.07,0.15,0.0,1.141,0.012,0.016
1770713084544,2026-02-10T08:44:44.544241+00:00,8.75,60.21,40890.07,0.15,0.0,1.141,0.014,0.018
1770713085557,2026-02-10T08:44:45.557081+00:00,8.68,60.11,40890.07,0.15,0.0,1.141,0.016,0.021
1770713086564,2026-02-10T08:44:46.564319+00:00,8.49,60.14,40890.07,0.15,0.0,1.141,0.017,0.024
1770713087578,2026-02-10T08:44:47.578502+00:00,9.66,60.12,40890.07,0.15,0.0,1.141,0.019,0.027
1770713088588,2026-02-10T08:44:48.588552+00:00,8.91,60.26,40890.07,0.15,0.0,1.141,0.021,0.029
1770713089599,2026-02-10T08:44:49.599366+00:00,8.46,60.15,40890.07,0.15,0.0,1.148,0.023,0.032
1770713090605,2026-02-10T08:44:50.605574+00:00,8.02,60.39,40890.07,0.15,0.0,1.148,0.025,0.034
1770713091615,2026-02-10T08:44:51.615265+00:00,8.04,60.55,40890.07,0.15,0.0,1.156,0.026,0.037
1770713092632,2026-02-10T08:44:52.632138+00:00,8.66,60.32,40890.07,0.15,0.0,1.156,0.028,0.04
1770713093640,2026-02-10T08:44:53.640006+00:00,9.34,60.34,40890.07,0.15,0.0,1.164,0.03,0.043
1770713094649,2026-02-10T08:44:54.649671+00:00,8.87,60.34,40890.07,0.15,0.0,1.164,0.032,0.045
1770713095664,2026-02-10T08:44:55.664216+00:00,13.13,60.45,40890.07,0.15,0.0,1.172,0.039,0.056
1770713096669,2026-02-10T08:44:56.669823+00:00,10.75,60.55,40890.07,0.15,0.0,1.172,0.044,0.064
1770713097684,2026-02-10T08:44:57.684643+00:00,12.57,60.45,40890.07,0.15,0.0,1.18,0.052,0.076
1770713098689,2026-02-10T08:44:58.689950+00:00,11.89,60.56,40890.07,0.15,0.0,1.18,0.059,0.086
1770713099707,2026-02-10T08:44:59.707530+00:00,14.12,60.81,40890.07,0.15,0.0,1.188,0.068,0.099
1770713100721,2026-02-10T08:45:00.721743+00:00,12.08,60.72,40890.07,0.15,0.0,1.188,0.074,0.109
1770713101727,2026-02-10T08:45:01.727218+00:00,13.59,60.62,40890.07,0.15,0.0,1.203,0.081,0.119
1770713102746,2026-02-10T08:45:02.746114+00:00,8.45,60.65,40890.07,0.15,0.0,1.203,0.083,0.121
1770713103752,2026-02-10T08:45:03.752415+00:00,10.11,60.67,40890.07,0.15,0.0,1.211,0.087,0.127
1770713104767,2026-02-10T08:45:04.767107+00:00,9.09,60.71,40890.07,0.15,0.0,1.211,0.089,0.129
1770713105775,2026-02-10T08:45:05.775236+00:00,9.89,60.67,40890.07,0.15,0.0,1.219,0.093,0.135
1770713106785,2026-02-10T08:45:06.785432+00:00,7.9,60.6,40890.07,0.15,0.0,1.219,0.094,0.137
1770713107796,2026-02-10T08:45:07.796663+00:00,8.27,60.63,40890.07,0.15,0.0,1.227,0.096,0.14
1770713108802,2026-02-10T08:45:08.802428+00:00,8.65,60.87,40890.07,0.15,0.0,1.227,0.098,0.143
1770713109817,2026-02-10T08:45:09.817833+00:00,9.33,60.8,40890.07,0.15,0.0,1.234,0.1,0.146
1770713110826,2026-02-10T08:45:10.826963+00:00,9.76,60.6,40890.07,0.15,0.0,1.234,0.102,0.148
1770713111838,2026-02-10T08:45:11.838689+00:00,15.66,60.62,40890.07,0.15,0.0,1.242,0.114,0.165
1770713112848,2026-02-10T08:45:12.848632+00:00,12.05,60.64,40890.07,0.15,0.0,1.242,0.121,0.175
1770713113859,2026-02-10T08:45:13.859650+00:00,15.2,61.06,40890.07,0.15,0.0,1.25,0.13,0.188
1770713114872,2026-02-10T08:45:14.872354+00:00,11.97,60.79,40890.07,0.15,0.0,1.25,0.136,0.198
1770713115883,2026-02-10T08:45:15.883211+00:00,15.35,60.68,40890.07,0.15,0.0,1.266,0.146,0.212
1770713116888,2026-02-10T08:45:16.888113+00:00,9.01,60.78,40890.07,0.15,0.0,1.266,0.147,0.214
1770713117902,2026-02-10T08:45:17.902268+00:00,7.78,60.76,40890.07,0.15,0.0,1.273,0.149,0.217
1770713118915,2026-02-10T08:45:18.915227+00:00,9.46,60.64,40890.07,0.15,0.0,1.273,0.151,0.22
1770713119923,2026-02-10T08:45:19.923945+00:00,9.35,60.77,40890.07,0.15,0.0,1.281,0.153,0.223
1770713120935,2026-02-10T08:45:20.935837+00:00,8.46,60.62,40890.07,0.15,0.0,1.281,0.155,0.225
1770713121957,2026-02-10T08:45:21.957960+00:00,9.16,60.66,40890.07,0.15,0.0,1.289,0.157,0.228
1770713122970,2026-02-10T08:45:22.970839+00:00,9.3,60.71,40890.07,0.15,0.0,1.289,0.159,0.231
1770713123986,2026-02-10T08:45:23.986434+00:00,9.69,60.66,40890.07,0.15,0.0,1.297,0.162,0.234
1770713124989,2026-02-10T08:45:24.989650+00:00,8.29,60.92,40890.07,0.15,0.0,1.297,0.164,0.236
1770713125994,2026-02-10T08:45:25.994462+00:00,9.47,60.68,40890.07,0.15,0.0,1.305,0.167,0.239
1770713127012,2026-02-10T08:45:27.012662+00:00,13.14,60.73,40890.07,0.15,0.0,1.312,0.174,0.247
1770713128023,2026-02-10T08:45:28.023100+00:00,14.92,60.71,40890.07,0.15,0.0,1.32,0.182,0.259
1770713129038,2026-02-10T08:45:29.038218+00:00,12.48,60.71,40890.07,0.15,0.0,1.32,0.189,0.269
1770713130055,2026-02-10T08:45:30.055594+00:00,22.78,60.86,40890.07,0.15,0.0,1.336,0.208,0.297
1770713131070,2026-02-10T08:45:31.070081+00:00,13.42,60.83,40890.07,0.15,0.0,1.352,0.216,0.308
1770713132082,2026-02-10T08:45:32.082140+00:00,8.49,60.83,40890.07,0.15,0.0,1.352,0.218,0.311
1770713133088,2026-02-10T08:45:33.088839+00:00,9.49,60.95,40890.07,0.15,0.0,1.359,0.22,0.314
1770713134100,2026-02-10T08:45:34.100064+00:00,9.42,60.81,40890.07,0.15,0.0,1.359,0.221,0.316
1770713135113,2026-02-10T08:45:35.113600+00:00,9.31,60.97,40890.07,0.15,0.0,1.367,0.223,0.319
1770713136126,2026-02-10T08:45:36.126894+00:00,9.38,60.86,40890.07,0.15,0.0,1.367,0.225,0.321
1770713137131,2026-02-10T08:45:37.131238+00:00,9.85,60.83,40890.07,0.15,0.0,1.375,0.227,0.324
1770713138143,2026-02-10T08:45:38.143723+00:00,8.75,60.95,40890.07,0.15,0.0,1.375,0.228,0.327
1770713139157,2026-02-10T08:45:39.157463+00:00,9.12,60.96,40890.07,0.15,0.0,1.383,0.23,0.33
1770713140163,2026-02-10T08:45:40.163842+00:00,8.21,60.95,40890.07,0.15,0.0,1.383,0.232,0.332
1770713141181,2026-02-10T08:45:41.181642+00:00,9.3,61.04,40890.07,0.15,0.0,1.391,0.234,0.335
1770713142194,2026-02-10T08:45:42.194234+00:00,8.12,60.86,40890.07,0.15,0.0,1.391,0.236,0.338
1770713143203,2026-02-10T08:45:43.203236+00:00,14.98,60.9,40890.07,0.15,0.0,1.414,0.246,0.352
1770713144212,2026-02-10T08:45:44.212315+00:00,12.83,60.89,40890.07,0.15,0.0,1.414,0.252,0.362
1770713145223,2026-02-10T08:45:45.223060+00:00,13.46,61.03,40890.07,0.15,0.0,1.414,0.26,0.373
1770713146235,2026-02-10T08:45:46.235799+00:00,24.83,61.02,40890.07,0.15,0.0,1.438,0.282,0.402
1770713147254,2026-02-10T08:45:47.254119+00:00,13.07,60.9,40890.07,0.15,0.0,1.453,0.29,0.414
1770713148259,2026-02-10T08:45:48.259494+00:00,8.89,60.98,40890.07,0.15,0.0,1.453,0.292,0.416
1770713149268,2026-02-10T08:45:49.268911+00:00,8.52,61.02,40890.07,0.15,0.0,1.461,0.294,0.419
1770713150286,2026-02-10T08:45:50.286819+00:00,7.97,60.91,40890.07,0.15,0.0,1.461,0.295,0.422
1770713151294,2026-02-10T08:45:51.294343+00:00,8.93,60.91,40890.07,0.15,0.0,1.469,0.297,0.424
1770713152300,2026-02-10T08:45:52.300377+00:00,8.28,61.11,40890.07,0.15,0.0,1.469,0.299,0.427
1770713153314,2026-02-10T08:45:53.314306+00:00,9.18,61.03,40890.07,0.15,0.0,1.477,0.3,0.43
1770713154321,2026-02-10T08:45:54.321673+00:00,8.34,60.99,40890.07,0.15,0.0,1.477,0.302,0.432
1770713155335,2026-02-10T08:45:55.335605+00:00,8.8,60.89,40890.07,0.15,0.0,1.484,0.304,0.435
1770713156346,2026-02-10T08:45:56.346609+00:00,9.25,60.95,40890.07,0.15,0.0,1.484,0.306,0.437
1770713157356,2026-02-10T08:45:57.356085+00:00,9.04,60.93,40890.07,0.15,0.0,1.492,0.308,0.44
1770713158367,2026-02-10T08:45:58.367763+00:00,8.19,60.91,40890.07,0.15,0.0,1.5,0.309,0.443
1770713159377,2026-02-10T08:45:59.377654+00:00,18.11,60.97,40890.07,0.15,0.0,1.516,0.321,0.459
1770713160390,2026-02-10T08:46:00.390424+00:00,11.42,60.95,40890.07,0.15,0.0,1.516,0.327,0.469
1770713161399,2026-02-10T08:46:01.399251+00:00,16.42,60.97,40890.07,0.15,0.0,1.523,0.341,0.489
1770713162410,2026-02-10T08:46:02.410808+00:00,12.84,60.98,40890.07,0.15,0.0,1.523,0.348,0.499
1770713163423,2026-02-10T08:46:03.423066+00:00,13.28,60.95,40890.07,0.15,0.0,1.539,0.355,0.509
