timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770712860440,2026-02-10T08:41:00.440057+00:00,2.22,55.94,40890.07,0.14,0.0,0.859,0.006,0.007
1770712861454,2026-02-10T08:41:01.454484+00:00,4.84,55.95,40890.07,0.14,0.0,0.867,0.008,0.01
1770712862472,2026-02-10T08:41:02.472802+00:00,4.85,55.95,40890.07,0.14,0.0,0.867,0.01,0.012
1770712863475,2026-02-10T08:41:03.475136+00:00,5.31,55.95,40890.07,0.14,0.0,0.875,0.012,0.015
1770712864487,2026-02-10T08:41:04.487831+00:00,4.08,55.96,40890.07,0.14,0.0,0.875,0.013,0.017
1770712865498,2026-02-10T08:41:05.498358+00:00,5.29,55.96,40890.07,0.14,0.0,0.883,0.015,0.02
1770712866515,2026-02-10T08:41:06.515661+00:00,4.71,55.96,40890.07,0.14,0.0,0.883,0.017,0.023
1770712867521,2026-02-10T08:41:07.521837+00:00,5.76,55.96,40890.07,0.14,0.0,0.891,0.019,0.026
1770712868530,2026-02-10T08:41:08.530701+00:00,4.0,55.96,40890.07,0.14,0.0,0.891,0.02,0.028
1770712869543,2026-02-10T08:41:09.543477+00:00,5.0,56.09,40890.07,0.14,0.0,0.898,0.022,0.031
1770712870551,2026-02-10T08:41:10.551788+00:00,4.55,55.96,40890.07,0.14,0.0,0.898,0.024,0.033
1770712871561,2026-02-10T08:41:11.561988+00:00,6.14,55.96,40890.07,0.14,0.0,0.906,0.026,0.036
1770712872572,2026-02-10T08:41:12.572935+00:00,4.05,56.09,40890.07,0.14,0.0,0.906,0.027,0.039
1770712873595,2026-02-10T08:41:13.595062+00:00,5.28,55.96,40890.07,0.14,0.0,0.914,0.029,0.042
1770712874596,2026-02-10T08:41:14.596430+00:00,5.41,55.96,40890.07,0.14,0.0,0.914,0.031,0.044
1770712875606,2026-02-10T08:41:15.606184+00:00,4.82,55.97,40890.07,0.14,0.0,0.922,0.033,0.047
1770712876625,2026-02-10T08:41:16.625309+00:00,5.18,55.97,40890.07,0.14,0.0,0.922,0.035,0.05
1770712877635,2026-02-10T08:41:17.635325+00:00,12.96,56.54,40890.07,0.14,0.0,0.93,0.049,0.069
1770712878643,2026-02-10T08:41:18.643486+00:00,6.7,56.41,40890.07,0.14,0.0,0.93,0.054,0.077
1770712879654,2026-02-10T08:41:19.654665+00:00,12.95,56.45,40890.07,0.14,0.0,0.953,0.071,0.099
1770712880666,2026-02-10T08:41:20.666116+00:00,6.69,56.45,40890.07,0.14,0.0,0.953,0.076,0.107
1770712881676,2026-02-10T08:41:21.676338+00:00,16.83,56.6,40890.07,0.14,0.0,0.977,0.093,0.129
1770712882689,2026-02-10T08:41:22.689848+00:00,6.06,56.34,40890.07,0.14,0.0,0.977,0.098,0.136
1770712883697,2026-02-10T08:41:23.697998+00:00,14.25,56.38,40890.07,0.14,0.0,1.0,0.116,0.159
1770712884711,2026-02-10T08:41:24.711824+00:00,6.6,56.38,40890.07,0.14,0.0,1.0,0.122,0.166
1770712885724,2026-02-10T08:41:25.724049+00:00,9.41,56.39,40890.07,0.14,0.0,1.039,0.131,0.177
1770712886733,2026-02-10T08:41:26.733190+00:00,4.63,56.39,40890.07,0.14,0.0,1.039,0.133,0.179
1770712887742,2026-02-10T08:41:27.742245+00:00,5.2,56.39,40890.07,0.14,0.0,1.047,0.135,0.182
1770712888755,2026-02-10T08:41:28.755694+00:00,4.75,56.51,40890.07,0.14,0.0,1.047,0.136,0.184
1770712889765,2026-02-10T08:41:29.765230+00:00,5.26,56.43,40890.07,0.14,0.0,1.055,0.138,0.187
1770712890777,2026-02-10T08:41:30.777939+00:00,4.92,56.39,40890.07,0.14,0.0,1.055,0.14,0.19
1770712891790,2026-02-10T08:41:31.790703+00:00,25.77,56.46,40890.07,0.14,0.0,1.125,0.173,0.232
1770712892799,2026-02-10T08:41:32.799791+00:00,5.72,56.58,40890.07,0.14,0.0,1.125,0.175,0.234
1770712893815,2026-02-10T08:41:33.815488+00:00,5.18,56.45,40890.07,0.14,0.0,1.133,0.177,0.237
1770712894819,2026-02-10T08:41:34.819113+00:00,4.69,56.45,40890.07,0.14,0.0,1.133,0.179,0.24
1770712895842,2026-02-10T08:41:35.842278+00:00,6.25,56.45,40890.07,0.14,0.0,1.141,0.18,0.243
1770712896849,2026-02-10T08:41:36.849449+00:00,4.38,56.45,40890.07,0.14,0.0,1.141,0.182,0.245
1770712897855,2026-02-10T08:41:37.855664+00:00,4.3,56.58,40890.07,0.14,0.0,1.148,0.184,0.248
1770712898865,2026-02-10T08:41:38.865874+00:00,4.54,56.45,40890.07,0.14,0.0,1.148,0.186,0.25
1770712899889,2026-02-10T08:41:39.889272+00:00,4.42,56.45,40890.07,0.14,0.0,1.156,0.188,0.253
1770712900889,2026-02-10T08:41:40.889637+00:00,4.86,56.45,40890.07,0.14,0.0,1.156,0.189,0.256
1770712901907,2026-02-10T08:41:41.907506+00:00,5.3,56.45,40890.07,0.14,0.0,1.164,0.191,0.259
1770712902910,2026-02-10T08:41:42.910135+00:00,5.11,56.58,40890.07,0.14,0.0,1.164,0.193,0.261
1770712903919,2026-02-10T08:41:43.919814+00:00,5.93,56.46,40890.07,0.14,0.0,1.172,0.195,0.264
1770712904929,2026-02-10T08:41:44.929608+00:00,4.71,56.58,40890.07,0.14,0.0,1.172,0.196,0.266
1770712905952,2026-02-10T08:41:45.952973+00:00,5.91,56.45,40890.07,0.14,0.0,1.18,0.198,0.27
1770712906958,2026-02-10T08:41:46.958425+00:00,5.85,56.45,40890.07,0.14,0.0,1.18,0.2,0.272
1770712907974,2026-02-10T08:41:47.974372+00:00,28.18,56.61,40890.07,0.14,0.0,1.266,0.233,0.314
1770712908980,2026-02-10T08:41:48.980139+00:00,5.24,56.47,40890.07,0.14,0.0,1.266,0.234,0.316
1770712909986,2026-02-10T08:41:49.986710+00:00,4.79,56.47,40890.07,0.14,0.0,1.273,0.236,0.319
1770712910996,2026-02-10T08:41:50.996503+00:00,5.88,56.6,40890.07,0.14,0.0,1.281,0.238,0.321
1770712912006,2026-02-10T08:41:52.006046+00:00,4.86,56.47,40890.07,0.14,0.0,1.281,0.24,0.324
1770712913017,2026-02-10T08:41:53.017929+00:00,4.23,56.47,40890.07,0.14,0.0,1.281,0.242,0.327
1770712914031,2026-02-10T08:41:54.031971+00:00,5.14,56.47,40890.07,0.14,0.0,1.289,0.244,0.33
1770712915039,2026-02-10T08:41:55.039441+00:00,5.96,56.48,40890.07,0.14,0.0,1.289,0.245,0.332
1770712916054,2026-02-10T08:41:56.054550+00:00,5.15,56.6,40890.07,0.14,0.0,1.297,0.247,0.335
1770712917062,2026-02-10T08:41:57.062055+00:00,5.52,56.47,40890.07,0.14,0.0,1.297,0.249,0.337
1770712918076,2026-02-10T08:41:58.076168+00:00,5.26,56.49,40890.07,0.14,0.0,1.305,0.251,0.34
1770712919080,2026-02-10T08:41:59.080959+00:00,5.63,56.47,40890.07,0.14,0.0,1.305,0.252,0.343
1770712920090,2026-02-10T08:42:00.090146+00:00,4.82,56.47,40890.07,0.14,0.0,1.312,0.254,0.346
1770712921102,2026-02-10T08:42:01.102036+00:00,5.48,56.47,40890.07,0.14,0.0,1.32,0.256,0.349
1770712922111,2026-02-10T08:42:02.111294+00:00,5.56,56.47,40890.07,0.14,0.0,1.32,0.258,0.351
1770712923122,2026-02-10T08:42:03.122581+00:00,11.73,56.86,40890.07,0.14,0.0,1.352,0.267,0.365
1770712924134,2026-02-10T08:42:04.134171+00:00,20.71,56.67,40890.07,0.14,0.0,1.422,0.293,0.396
1770712925148,2026-02-10T08:42:05.148082+00:00,4.27,56.67,40890.07,0.14,0.0,1.43,0.294,0.399
1770712926160,2026-02-10T08:42:06.160410+00:00,5.77,56.55,40890.07,0.14,0.0,1.43,0.296,0.401
1770712927175,2026-02-10T08:42:07.175695+00:00,6.32,56.54,40890.07,0.14,0.0,1.438,0.298,0.403
1770712928185,2026-02-10T08:42:08.185828+00:00,6.14,56.55,40890.07,0.14,0.0,1.438,0.3,0.406
1770712929190,2026-02-10T08:42:09.190526+00:00,5.31,56.55,40890.07,0.14,0.0,1.445,0.301,0.408
1770712930210,2026-02-10T08:42:10.210191+00:00,4.78,56.56,40890.07,0.14,0.0,1.445,0.303,0.411
1770712931223,2026-02-10T08:42:11.223025+00:00,4.75,56.56,40890.07,0.14,0.0,1.453,0.305,0.414
