n_robots,mode,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,continuous,robot1-sidecar,0,13.9,51.83,0.0,0.039,0.112,0.126
4,continuous,robot1-sidecar,1,8.13,51.91,0.0,0.039,0.133,0.15
4,continuous,robot1-sidecar,2,9.51,51.96,0.0,0.055,0.159,0.182
4,continuous,robot1-sidecar,3,9.03,52.25,0.0,0.055,0.18,0.206
4,continuous,robot1-sidecar,4,8.05,52.43,0.0,0.07,0.198,0.224
4,continuous,robot1-sidecar,5,4.3,52.75,0.0,0.07,0.204,0.226
4,continuous,robot1-sidecar,6,4.07,53.17,0.0,0.078,0.211,0.229
4,continuous,robot1-sidecar,7,4.88,53.4,0.0,0.078,0.215,0.23
4,continuous,robot1-sidecar,8,4.64,53.8,0.0,0.086,0.222,0.234
4,continuous,robot1-sidecar,9,4.37,54.17,0.0,0.086,0.227,0.235
4,continuous,robot1-sidecar,10,5.4,54.57,0.0,0.094,0.233,0.238
4,continuous,robot1-sidecar,11,3.96,55.05,0.0,0.094,0.239,0.24
4,continuous,robot1-sidecar,12,4.22,55.22,0.0,0.102,0.245,0.243
4,continuous,robot1-sidecar,13,4.26,55.64,0.0,0.102,0.251,0.245
4,continuous,robot1-sidecar,14,5.96,55.78,0.0,0.109,0.257,0.247
4,continuous,robot1-sidecar,15,4.89,56.08,0.0,0.109,0.262,0.249
4,continuous,robot1-sidecar,16,4.0,56.4,0.0,0.117,0.269,0.252
4,continuous,robot1-sidecar,17,3.91,56.53,0.0,0.117,0.274,0.254
4,continuous,robot1-sidecar,18,5.25,56.82,0.0,0.125,0.281,0.257
4,continuous,robot1-sidecar,19,4.72,57.27,0.0,0.125,0.286,0.259
4,continuous,robot1-sidecar,20,13.9,71.5,0.0,0.133,0.305,0.284
4,continuous,robot1-sidecar,21,9.76,71.66,0.0,0.133,0.338,0.331
4,continuous,robot1-sidecar,22,10.69,71.67,0.0,0.141,0.365,0.367
