n_robots,mode,variant,ssp_ms,iterq,cpu_limit,container,t_rel_s,cpu_percent,mem_mb,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
4,startup,,,,,robot1-sidecar,0,1.35,68.381,0.0,0.12029999999999999,0.41769999999999996,0.4542
4,startup,,,,,robot1-sidecar,1,4.115,68.064,0.0,0.1254,0.4465,0.49060000000000004
4,startup,,,,,robot1-sidecar,2,2.805,68.287,0.0,0.12890000000000001,0.46630000000000005,0.5132
4,startup,,,,,robot1-sidecar,3,2.383,68.489,0.0,0.13599999999999998,0.481,0.5265
4,startup,,,,,robot1-sidecar,4,1.624,68.357,0.0,0.1371,0.4868,0.5304
4,startup,,,,,robot1-sidecar,5,1.444,68.255,0.0,0.1371,0.48819999999999997,0.5309999999999999
4,startup,,,,,robot1-sidecar,6,1.415,68.21000000000001,0.0,0.1371,0.48819999999999997,0.5309999999999999
4,startup,,,,,robot1-sidecar,7,1.2429999999999999,68.211,0.0,0.1371,0.48819999999999997,0.5309999999999999
4,startup,,,,,robot1-sidecar,8,1.355,68.202,0.0,0.1371,0.48819999999999997,0.5309999999999999
4,startup,,,,,robot1-sidecar,9,1.321111111111111,67.2811111111111,0.0,0.1501111111111111,0.5293333333333333,0.5757777777777778
4,startup,,,,,robot1-sidecar,10,1.3399999999999999,66.5125,0.0,0.19725,0.6835,0.74875
4,startup,,,,,robot2-sidecar,0,2.647,56.751,0.0,0.1238,0.4196,0.4614
4,startup,,,,,robot2-sidecar,1,3.754,58.926,0.0,0.1258,0.44420000000000004,0.491
4,startup,,,,,robot2-sidecar,2,2.8240000000000003,59.291,0.0,0.13240000000000002,0.4625,0.5104
4,startup,,,,,robot2-sidecar,3,2.1,58.712,0.0,0.1371,0.47309999999999997,0.5176999999999999
4,startup,,,,,robot2-sidecar,4,1.441,58.73,0.0,0.1371,0.4758,0.5187999999999999
4,startup,,,,,robot2-sidecar,5,1.4469999999999998,58.63099999999999,0.0,0.1371,0.476,0.519
4,startup,,,,,robot2-sidecar,6,1.396,58.620000000000005,0.0,0.1371,0.476,0.519
4,startup,,,,,robot2-sidecar,7,1.277,58.632999999999996,0.0,0.1371,0.476,0.519
4,startup,,,,,robot2-sidecar,8,1.3866666666666667,59.54555555555555,0.0,0.1501111111111111,0.5171111111111111,0.5636666666666668
4,startup,,,,,robot2-sidecar,9,1.4042857142857144,60.75571428571429,0.0,0.14285714285714285,0.49157142857142855,0.5347142857142858
4,startup,,,,,robot2-sidecar,10,1.375,65.08500000000001,0.0,0.07050000000000001,0.252,0.2645
4,startup,,,,,robot3-sidecar,0,2.702,58.239999999999995,0.0,0.1234,0.4138,0.4535
4,startup,,,,,robot3-sidecar,1,3.5810000000000004,58.366,0.0,0.1254,0.4385,0.48310000000000003
4,startup,,,,,robot3-sidecar,2,2.6830000000000003,59.116,0.0,0.1329,0.4566,0.5022
4,startup,,,,,robot3-sidecar,3,2.023,58.938,0.0,0.1371,0.46699999999999997,0.5095
4,startup,,,,,robot3-sidecar,4,1.4529999999999998,58.645,0.0,0.1371,0.46980000000000005,0.5109
4,startup,,,,,robot3-sidecar,5,1.454,58.532,0.0,0.1371,0.4701000000000001,0.5111
4,startup,,,,,robot3-sidecar,6,1.402,58.541999999999994,0.0,0.1371,0.4701000000000001,0.5111
4,startup,,,,,robot3-sidecar,7,1.408,58.523,0.0,0.1371,0.4701000000000001,0.5111
4,startup,,,,,robot3-sidecar,8,1.4049999999999998,58.535000000000004,0.0,0.1371,0.4701000000000001,0.5111
4,startup,,,,,robot3-sidecar,9,1.36875,61.54125,0.0,0.15375,0.5205,0.565375
4,startup,,,,,robot3-sidecar,10,1.45,66.71,0.0,0.07,0.251,0.263
4,startup,,,,,robot4-sidecar,0,3.2310000000000003,58.141,0.0,0.127,0.417,0.45600000000000007
4,startup,,,,,robot4-sidecar,1,3.132,57.963,0.0,0.127,0.44000000000000006,0.484
4,startup,,,,,robot4-sidecar,2,2.589,58.975,0.0,0.1371,0.4574,0.5011
4,startup,,,,,robot4-sidecar,3,1.8490000000000002,58.352999999999994,0.0,0.1379,0.4665,0.5075000000000001
4,startup,,,,,robot4-sidecar,4,1.568,58.48,0.0,0.1395,0.46980000000000005,0.5101
4,startup,,,,,robot4-sidecar,5,1.413,58.387,0.0,0.1395,0.47000000000000003,0.5102
4,startup,,,,,robot4-sidecar,6,1.427,58.426,0.0,0.1395,0.47000000000000003,0.5102
