timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771449294136,2026-02-18T21:14:54.136871+00:00,9.75,59.81,46099.07,0.13,0.0,13.117,5.367,7.539
1771449295156,2026-02-18T21:14:55.156252+00:00,58.56,60.0,46099.07,0.13,0.0,13.219,5.432,7.623
1771449296168,2026-02-18T21:14:56.168904+00:00,11.63,59.88,46099.07,0.13,0.0,13.25,5.443,7.64
1771449297182,2026-02-18T21:14:57.182744+00:00,14.54,59.99,46099.07,0.13,0.0,13.25,5.453,7.655
1771449298197,2026-02-18T21:14:58.197808+00:00,12.3,59.88,46099.07,0.13,0.0,13.289,5.465,7.673
1771449299213,2026-02-18T21:14:59.213707+00:00,10.01,59.99,46099.07,0.13,0.0,13.289,5.475,7.688
1771449300219,2026-02-18T21:15:00.219196+00:00,14.77,59.88,46099.07,0.13,0.0,13.328,5.487,7.706
1771449301231,2026-02-18T21:15:01.231514+00:00,10.52,60.11,46099.07,0.13,0.0,13.328,5.496,7.72
1771449302256,2026-02-18T21:15:02.256762+00:00,12.12,60.0,46099.07,0.13,0.0,13.367,5.508,7.738
1771449303257,2026-02-18T21:15:03.257222+00:00,9.16,59.99,46099.07,0.13,0.0,13.367,5.517,7.751
1771449304272,2026-02-18T21:15:04.272165+00:00,12.78,59.87,46099.07,0.13,0.0,13.406,5.528,7.769
1771449305283,2026-02-18T21:15:05.283335+00:00,10.54,60.0,46099.07,0.13,0.0,13.406,5.538,7.784
1771449306296,2026-02-18T21:15:06.296427+00:00,11.46,60.12,46099.07,0.13,0.0,13.438,5.55,7.802
1771449307313,2026-02-18T21:15:07.313487+00:00,10.28,60.11,46099.07,0.13,0.0,13.445,5.56,7.816
1771449308328,2026-02-18T21:15:08.328992+00:00,12.55,60.24,46099.07,0.13,0.0,13.484,5.571,7.834
1771449309345,2026-02-18T21:15:09.345337+00:00,9.64,60.11,46099.07,0.13,0.0,13.484,5.581,7.848
1771449310363,2026-02-18T21:15:10.363606+00:00,41.79,60.02,46099.07,0.13,0.0,13.547,5.622,7.903
1771449311368,2026-02-18T21:15:11.368707+00:00,29.17,59.92,46099.07,0.13,0.0,13.594,5.655,7.945
1771449312381,2026-02-18T21:15:12.381667+00:00,13.31,60.14,46099.07,0.13,0.0,13.641,5.667,7.963
1771449313403,2026-02-18T21:15:13.403747+00:00,10.84,59.89,46099.07,0.13,0.0,13.641,5.676,7.978
1771449314415,2026-02-18T21:15:14.415240+00:00,11.86,60.14,46099.07,0.13,0.0,13.688,5.688,7.996
1771449315432,2026-02-18T21:15:15.432350+00:00,10.05,59.89,46099.07,0.13,0.0,13.688,5.698,8.01
1771449316436,2026-02-18T21:15:16.436177+00:00,12.2,60.39,46099.07,0.13,0.0,13.719,5.71,8.028
1771449317447,2026-02-18T21:15:17.447757+00:00,10.67,60.27,46099.07,0.13,0.0,13.719,5.719,8.042
1771449318462,2026-02-18T21:15:18.462602+00:00,13.45,60.02,46099.07,0.13,0.0,13.758,5.731,8.061
1771449319479,2026-02-18T21:15:19.479089+00:00,11.14,60.01,46099.07,0.13,0.0,13.758,5.741,8.075
1771449320493,2026-02-18T21:15:20.493026+00:00,11.54,60.15,46099.07,0.13,0.0,13.797,5.753,8.093
1771449321500,2026-02-18T21:15:21.500515+00:00,10.51,60.27,46099.07,0.13,0.0,13.797,5.763,8.107
1771449322514,2026-02-18T21:15:22.514018+00:00,11.7,59.9,46099.07,0.13,0.0,13.82,5.775,8.124
1771449323528,2026-02-18T21:15:23.528731+00:00,10.23,60.27,46099.07,0.13,0.0,13.82,5.785,8.138
1771449324546,2026-02-18T21:15:24.546472+00:00,12.98,59.9,46099.07,0.13,0.0,13.852,5.797,8.156
1771449325555,2026-02-18T21:15:25.555934+00:00,10.66,60.02,46099.07,0.13,0.0,13.852,5.808,8.171
1771449326575,2026-02-18T21:15:26.575491+00:00,46.34,60.03,46099.07,0.13,0.0,13.945,5.859,8.237
