timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1767447809894,15.87,52.43,15707.25,0.33,0.0,0.234,0.011,0.01
1767447810917,20.95,52.39,15707.25,0.33,0.0,0.234,0.013,0.013
1767447811927,19.53,52.41,15707.25,0.33,0.0,0.234,0.015,0.016
1767447812936,19.82,52.41,15707.25,0.33,0.0,0.258,0.017,0.019
1767447813947,19.1,52.41,15707.25,0.33,0.0,0.258,0.018,0.021
1767447814958,20.81,52.55,15707.25,0.33,0.0,0.281,0.02,0.024
1767447815968,20.03,52.51,15707.25,0.33,0.0,0.281,0.022,0.026
1767447816978,19.03,52.49,15707.25,0.33,0.0,0.305,0.023,0.029
1767447818003,18.73,52.46,15707.25,0.33,0.0,0.305,0.025,0.031
1767447819018,20.56,52.52,15707.25,0.33,0.0,0.328,0.027,0.034
1767447820031,19.9,52.54,15707.25,0.33,0.0,0.328,0.029,0.036
1767447821038,20.12,52.54,15707.25,0.33,0.0,0.352,0.03,0.039
1767447822056,21.75,52.7,15707.25,0.34,0.0,0.375,0.032,0.042
1767447823062,20.39,52.66,15707.25,0.34,0.0,0.375,0.034,0.044
1767447824082,19.64,52.67,15707.25,0.34,0.0,0.398,0.035,0.047
1767447825096,21.51,52.68,15707.25,0.34,0.0,0.398,0.037,0.05
1767447826102,21.26,53.02,15707.25,0.34,0.0,0.422,0.045,0.061
1767447827114,13.57,53.07,15707.25,0.34,0.0,0.422,0.051,0.069
1767447828122,11.69,53.09,15707.25,0.34,0.0,0.422,0.056,0.077
1767447829138,30.51,53.25,15707.25,0.34,0.0,0.445,0.065,0.092
1767447830154,27.39,53.22,15707.25,0.34,0.0,0.477,0.071,0.101
1767447831180,20.39,53.13,15707.25,0.34,0.0,0.477,0.073,0.104
1767447832191,21.55,53.13,15707.25,0.34,0.0,0.5,0.075,0.107
1767447833207,20.84,53.25,15707.25,0.34,0.0,0.5,0.076,0.109
1767447834216,19.85,53.1,15707.25,0.34,0.0,0.523,0.078,0.113
1767447835229,19.4,53.25,15707.25,0.34,0.0,0.523,0.08,0.115
1767447836239,20.1,53.15,15707.25,0.34,0.0,0.547,0.082,0.118
1767447837251,18.76,53.2,15707.25,0.34,0.0,0.547,0.083,0.12
1767447838265,19.74,53.14,15707.25,0.34,0.0,0.57,0.085,0.123
1767447839273,20.12,53.29,15707.25,0.34,0.0,0.57,0.087,0.125
1767447840283,21.87,53.19,15707.25,0.34,0.0,0.594,0.089,0.128
1767447841295,21.34,53.22,15707.25,0.34,0.0,0.594,0.09,0.131
1767447842305,19.58,53.21,15707.25,0.34,0.0,0.617,0.092,0.133
1767447843318,20.78,53.71,15707.25,0.34,0.0,0.617,0.093,0.136
1767447844333,22.93,53.18,15707.25,0.34,0.0,0.641,0.095,0.139
1767447845355,20.13,53.28,15707.25,0.34,0.0,0.641,0.097,0.141
1767447846369,22.68,53.34,15707.25,0.34,0.0,0.664,0.103,0.15
1767447847377,9.6,53.46,15707.25,0.34,0.0,0.664,0.108,0.158
1767447848391,13.61,53.46,15707.25,0.34,0.0,0.688,0.115,0.167
1767447849410,12.55,53.52,15707.25,0.34,0.0,0.695,0.12,0.175
