timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770712643553,2026-02-10T08:37:23.553317+00:00,4.66,60.04,40890.07,0.15,0.0,1.141,0.01,0.011
1770712644561,2026-02-10T08:37:24.561549+00:00,9.48,60.07,40890.07,0.15,0.0,1.141,0.012,0.013
1770712645577,2026-02-10T08:37:25.577228+00:00,8.71,60.08,40890.07,0.15,0.0,1.141,0.015,0.016
1770712646578,2026-02-10T08:37:26.578797+00:00,8.33,60.36,40890.07,0.15,0.0,1.141,0.017,0.018
1770712647595,2026-02-10T08:37:27.595762+00:00,9.06,60.09,40890.07,0.15,0.0,1.141,0.02,0.021
1770712648599,2026-02-10T08:37:28.599879+00:00,8.34,60.3,40890.07,0.15,0.0,1.141,0.021,0.024
1770712649609,2026-02-10T08:37:29.609928+00:00,9.77,60.23,40890.07,0.15,0.0,1.141,0.023,0.027
1770712650629,2026-02-10T08:37:30.629306+00:00,7.95,60.22,40890.07,0.15,0.0,1.141,0.025,0.029
1770712651646,2026-02-10T08:37:31.646549+00:00,8.62,60.26,40890.07,0.15,0.0,1.141,0.027,0.032
1770712652654,2026-02-10T08:37:32.654052+00:00,9.12,60.12,40890.07,0.15,0.0,1.141,0.028,0.034
1770712653661,2026-02-10T08:37:33.661388+00:00,9.25,60.29,40890.07,0.15,0.0,1.141,0.03,0.037
1770712654677,2026-02-10T08:37:34.677901+00:00,10.04,60.15,40890.07,0.15,0.0,1.141,0.032,0.04
1770712655680,2026-02-10T08:37:35.680351+00:00,9.08,60.3,40890.07,0.15,0.0,1.141,0.034,0.043
1770712656697,2026-02-10T08:37:36.697522+00:00,8.33,60.21,40890.07,0.15,0.0,1.141,0.035,0.045
1770712657704,2026-02-10T08:37:37.704512+00:00,12.57,60.41,40890.07,0.15,0.0,1.141,0.042,0.055
1770712658711,2026-02-10T08:37:38.711673+00:00,11.65,60.54,40890.07,0.15,0.0,1.141,0.047,0.063
1770712659719,2026-02-10T08:37:39.719036+00:00,14.86,60.43,40890.07,0.15,0.0,1.148,0.056,0.075
1770712660733,2026-02-10T08:37:40.733029+00:00,12.4,60.45,40890.07,0.15,0.0,1.148,0.062,0.085
1770712661743,2026-02-10T08:37:41.743545+00:00,14.6,60.55,40890.07,0.15,0.0,1.156,0.071,0.098
1770712662754,2026-02-10T08:37:42.754362+00:00,10.76,60.57,40890.07,0.15,0.0,1.156,0.077,0.106
1770712663770,2026-02-10T08:37:43.770402+00:00,14.62,60.7,40890.07,0.15,0.0,1.164,0.086,0.12
1770712664785,2026-02-10T08:37:44.785852+00:00,12.53,60.7,40890.07,0.15,0.0,1.164,0.092,0.129
1770712665792,2026-02-10T08:37:45.792738+00:00,13.85,60.57,40890.07,0.15,0.0,1.172,0.1,0.141
1770712666803,2026-02-10T08:37:46.803437+00:00,11.04,60.85,40890.07,0.15,0.0,1.172,0.106,0.151
1770712667820,2026-02-10T08:37:47.820132+00:00,15.16,60.72,40890.07,0.15,0.0,1.18,0.115,0.164
1770712668821,2026-02-10T08:37:48.821163+00:00,11.86,60.71,40890.07,0.15,0.0,1.18,0.121,0.173
1770712669829,2026-02-10T08:37:49.829242+00:00,10.64,60.58,40890.07,0.15,0.0,1.195,0.126,0.179
1770712670845,2026-02-10T08:37:50.845628+00:00,8.19,60.77,40890.07,0.15,0.0,1.195,0.127,0.182
1770712671856,2026-02-10T08:37:51.856029+00:00,10.09,60.57,40890.07,0.15,0.0,1.203,0.129,0.185
1770712672865,2026-02-10T08:37:52.865656+00:00,8.22,60.86,40890.07,0.15,0.0,1.203,0.131,0.187
1770712673879,2026-02-10T08:37:53.879775+00:00,13.38,60.66,40890.07,0.15,0.0,1.211,0.139,0.199
1770712674892,2026-02-10T08:37:54.892311+00:00,10.58,60.65,40890.07,0.15,0.0,1.211,0.144,0.207
1770712675898,2026-02-10T08:37:55.898881+00:00,21.37,60.88,40890.07,0.15,0.0,1.227,0.164,0.234
1770712676905,2026-02-10T08:37:56.905146+00:00,12.09,61.05,40890.07,0.15,0.0,1.227,0.17,0.244
1770712677919,2026-02-10T08:37:57.919481+00:00,14.47,60.9,40890.07,0.15,0.0,1.234,0.179,0.257
1770712678929,2026-02-10T08:37:58.929332+00:00,11.37,60.91,40890.07,0.15,0.0,1.242,0.185,0.265
1770712679951,2026-02-10T08:37:59.951356+00:00,11.8,60.77,40890.07,0.15,0.0,1.25,0.19,0.272
1770712680959,2026-02-10T08:38:00.959552+00:00,10.0,60.92,40890.07,0.15,0.0,1.25,0.192,0.275
1770712681969,2026-02-10T08:38:01.969075+00:00,8.8,60.88,40890.07,0.15,0.0,1.258,0.193,0.278
1770712682981,2026-02-10T08:38:02.981710+00:00,8.99,60.9,40890.07,0.15,0.0,1.258,0.195,0.28
1770712683989,2026-02-10T08:38:03.989908+00:00,9.43,60.77,40890.07,0.15,0.0,1.266,0.197,0.283
1770712685000,2026-02-10T08:38:05.000428+00:00,8.91,60.77,40890.07,0.15,0.0,1.266,0.199,0.286
1770712686011,2026-02-10T08:38:06.011402+00:00,9.29,60.92,40890.07,0.15,0.0,1.273,0.201,0.289
1770712687022,2026-02-10T08:38:07.022000+00:00,10.16,60.79,40890.07,0.15,0.0,1.273,0.202,0.291
1770712688033,2026-02-10T08:38:08.033446+00:00,9.01,60.89,40890.07,0.15,0.0,1.281,0.204,0.294
1770712689057,2026-02-10T08:38:09.057389+00:00,11.57,60.84,40890.07,0.15,0.0,1.281,0.21,0.302
1770712690062,2026-02-10T08:38:10.062893+00:00,14.66,61.0,40890.07,0.15,0.0,1.289,0.219,0.315
1770712691079,2026-02-10T08:38:11.079090+00:00,12.79,60.86,40890.07,0.15,0.0,1.297,0.227,0.326
1770712692088,2026-02-10T08:38:12.088371+00:00,16.88,60.94,40890.07,0.15,0.0,1.297,0.238,0.342
1770712693099,2026-02-10T08:38:13.099860+00:00,15.53,60.85,40890.07,0.15,0.0,1.312,0.248,0.357
1770712694106,2026-02-10T08:38:14.106465+00:00,8.26,60.95,40890.07,0.15,0.0,1.312,0.249,0.359
1770712695121,2026-02-10T08:38:15.121632+00:00,8.79,60.95,40890.07,0.15,0.0,1.32,0.251,0.361
1770712696129,2026-02-10T08:38:16.129189+00:00,8.09,60.8,40890.07,0.15,0.0,1.32,0.253,0.364
1770712697142,2026-02-10T08:38:17.142627+00:00,9.21,60.83,40890.07,0.15,0.0,1.328,0.254,0.367
1770712698150,2026-02-10T08:38:18.150110+00:00,8.94,60.81,40890.07,0.15,0.0,1.328,0.256,0.37
1770712699158,2026-02-10T08:38:19.158895+00:00,9.17,61.07,40890.07,0.15,0.0,1.336,0.258,0.372
1770712700164,2026-02-10T08:38:20.164737+00:00,9.86,60.93,40890.07,0.15,0.0,1.336,0.26,0.375
1770712701175,2026-02-10T08:38:21.175700+00:00,9.31,60.81,40890.07,0.15,0.0,1.344,0.262,0.378
1770712702190,2026-02-10T08:38:22.190698+00:00,8.76,60.96,40890.07,0.15,0.0,1.344,0.264,0.38
1770712703198,2026-02-10T08:38:23.198786+00:00,10.68,60.82,40890.07,0.15,0.0,1.352,0.267,0.383
1770712704213,2026-02-10T08:38:24.213838+00:00,8.53,60.84,40890.07,0.15,0.0,1.352,0.269,0.386
1770712705218,2026-02-10T08:38:25.218283+00:00,17.46,60.89,40890.07,0.15,0.0,1.359,0.28,0.399
1770712706230,2026-02-10T08:38:26.230479+00:00,12.7,60.98,40890.07,0.15,0.0,1.359,0.287,0.409
1770712707246,2026-02-10T08:38:27.246539+00:00,14.91,60.9,40890.07,0.15,0.0,1.367,0.297,0.423
1770712708260,2026-02-10T08:38:28.260823+00:00,21.15,60.91,40890.07,0.15,0.0,1.375,0.31,0.442
1770712709271,2026-02-10T08:38:29.271266+00:00,13.82,60.88,40890.07,0.15,0.0,1.391,0.32,0.456
1770712710280,2026-02-10T08:38:30.280070+00:00,8.16,60.86,40890.07,0.15,0.0,1.391,0.322,0.458
1770712711297,2026-02-10T08:38:31.297647+00:00,11.1,60.86,40890.07,0.15,0.0,1.398,0.324,0.461
1770712712301,2026-02-10T08:38:32.301541+00:00,8.54,61.03,40890.07,0.15,0.0,1.398,0.325,0.464
1770712713315,2026-02-10T08:38:33.315320+00:00,8.73,60.89,40890.07,0.15,0.0,1.406,0.327,0.467
1770712714326,2026-02-10T08:38:34.326662+00:00,9.97,60.88,40890.07,0.15,0.0,1.406,0.329,0.469
1770712715339,2026-02-10T08:38:35.339994+00:00,9.18,60.89,40890.07,0.15,0.0,1.414,0.331,0.472
1770712716349,2026-02-10T08:38:36.349146+00:00,8.38,60.88,40890.07,0.15,0.0,1.414,0.332,0.474
1770712717358,2026-02-10T08:38:37.358820+00:00,9.26,60.89,40890.07,0.15,0.0,1.422,0.334,0.477
1770712718370,2026-02-10T08:38:38.370953+00:00,8.48,60.89,40890.07,0.15,0.0,1.422,0.336,0.48
1770712719385,2026-02-10T08:38:39.385675+00:00,10.01,60.89,40890.07,0.15,0.0,1.43,0.338,0.483
1770712720394,2026-02-10T08:38:40.394486+00:00,7.8,61.03,40890.07,0.15,0.0,1.43,0.339,0.485
1770712721399,2026-02-10T08:38:41.399674+00:00,16.31,61.17,40890.07,0.15,0.0,1.438,0.351,0.501
1770712722413,2026-02-10T08:38:42.413663+00:00,10.42,60.95,40890.07,0.15,0.0,1.438,0.357,0.51
1770712723424,2026-02-10T08:38:43.424150+00:00,22.79,61.07,40890.07,0.15,0.0,1.461,0.376,0.535
1770712724436,2026-02-10T08:38:44.436827+00:00,16.94,60.96,40890.07,0.15,0.0,1.461,0.387,0.55
1770712725447,2026-02-10T08:38:45.447370+00:00,12.15,60.93,40890.07,0.15,0.0,1.477,0.393,0.561
1770712726453,2026-02-10T08:38:46.453053+00:00,8.32,61.08,40890.07,0.15,0.0,1.477,0.395,0.563
1770712727466,2026-02-10T08:38:47.466506+00:00,8.75,61.16,40890.07,0.15,0.0,1.484,0.397,0.566
1770712728476,2026-02-10T08:38:48.476409+00:00,8.33,61.02,40890.07,0.15,0.0,1.484,0.399,0.568
1770712729489,2026-02-10T08:38:49.489514+00:00,9.18,60.95,40890.07,0.15,0.0,1.492,0.401,0.571
1770712730505,2026-02-10T08:38:50.505792+00:00,9.65,61.08,40890.07,0.15,0.0,1.492,0.402,0.574
1770712731515,2026-02-10T08:38:51.515500+00:00,8.78,60.95,40890.07,0.15,0.0,1.5,0.404,0.577
1770712732518,2026-02-10T08:38:52.518244+00:00,8.37,61.05,40890.07,0.15,0.0,1.5,0.406,0.579
1770712733533,2026-02-10T08:38:53.533114+00:00,8.58,61.14,40890.07,0.15,0.0,1.508,0.408,0.582
1770712734547,2026-02-10T08:38:54.547411+00:00,8.64,60.93,40890.07,0.15,0.0,1.508,0.409,0.584
1770712735550,2026-02-10T08:38:55.550228+00:00,8.78,61.08,40890.07,0.15,0.0,1.516,0.411,0.587
1770712736566,2026-02-10T08:38:56.566451+00:00,12.68,60.99,40890.07,0.15,0.0,1.516,0.417,0.595
1770712737575,2026-02-10T08:38:57.575121+00:00,13.41,60.98,40890.07,0.15,0.0,1.523,0.426,0.608
1770712738585,2026-02-10T08:38:58.585721+00:00,10.91,61.23,40890.07,0.15,0.0,1.523,0.432,0.617
1770712739597,2026-02-10T08:38:59.597929+00:00,21.45,61.0,40890.07,0.15,0.0,1.547,0.451,0.643
