timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1782560145940,2026-06-27T11:35:45.940859+00:00,0.14,66.97,76036.91,0.09,0.0,597.352,31.19,36.156
1782560146943,2026-06-27T11:35:46.943949+00:00,63.93,67.27,76036.91,0.09,0.0,597.625,31.293,36.282
1782560147947,2026-06-27T11:35:47.947548+00:00,53.39,67.39,76036.91,0.09,0.0,598.125,31.394,36.384
1782560148950,2026-06-27T11:35:48.950075+00:00,16.22,67.25,76036.91,0.09,0.0,598.266,31.418,36.41
1782560149952,2026-06-27T11:35:49.952611+00:00,5.12,67.14,76036.91,0.09,0.0,598.273,31.42,36.414
1782560150955,2026-06-27T11:35:50.955920+00:00,4.76,67.23,76036.91,0.09,0.0,598.273,31.422,36.416
1782560151958,2026-06-27T11:35:51.958416+00:00,4.72,67.21,76036.91,0.09,0.0,598.281,31.424,36.419
1782560152961,2026-06-27T11:35:52.961233+00:00,4.65,67.27,76036.91,0.09,0.0,598.281,31.425,36.422
1782560153964,2026-06-27T11:35:53.964161+00:00,4.94,67.12,76036.91,0.09,0.0,598.289,31.427,36.424
1782560154966,2026-06-27T11:35:54.966972+00:00,4.9,67.31,76036.91,0.09,0.0,598.289,31.429,36.427
1782560155969,2026-06-27T11:35:55.969255+00:00,4.79,67.24,76036.91,0.09,0.0,598.297,31.431,36.43
1782560156973,2026-06-27T11:35:56.973254+00:00,5.01,67.09,76036.91,0.09,0.0,598.297,31.432,36.432
1782560157976,2026-06-27T11:35:57.976713+00:00,58.46,67.25,76036.91,0.09,0.0,599.227,31.535,36.547
1782560158980,2026-06-27T11:35:58.980113+00:00,10.84,67.41,76036.91,0.09,0.0,599.297,31.547,36.561
1782560159983,2026-06-27T11:35:59.983244+00:00,5.17,67.28,76036.91,0.09,0.0,599.305,31.549,36.564
1782560160986,2026-06-27T11:36:00.986414+00:00,4.39,67.22,76036.91,0.09,0.0,599.305,31.551,36.566
1782560161989,2026-06-27T11:36:01.989026+00:00,4.94,67.22,76036.91,0.09,0.0,599.312,31.553,36.569
1782560162991,2026-06-27T11:36:02.991951+00:00,4.16,67.3,76036.91,0.09,0.0,599.312,31.555,36.572
1782560163994,2026-06-27T11:36:03.994873+00:00,4.71,67.23,76036.91,0.09,0.0,599.32,31.557,36.575
1782560164998,2026-06-27T11:36:04.998451+00:00,4.31,67.29,76036.91,0.09,0.0,599.32,31.558,36.577
1782560166001,2026-06-27T11:36:06.001918+00:00,4.73,67.23,76036.91,0.09,0.0,599.328,31.56,36.58
1782560167005,2026-06-27T11:36:07.005767+00:00,5.38,67.22,76036.91,0.09,0.0,599.328,31.562,36.583
1782560168009,2026-06-27T11:36:08.009894+00:00,63.03,67.26,76036.91,0.09,0.0,600.695,31.675,36.708
1782560169013,2026-06-27T11:36:09.013890+00:00,4.59,67.32,76036.91,0.09,0.0,600.695,31.677,36.711
1782560170017,2026-06-27T11:36:10.017063+00:00,5.39,67.25,76036.91,0.09,0.0,600.703,31.679,36.714
1782560171020,2026-06-27T11:36:11.020397+00:00,4.41,67.13,76036.91,0.09,0.0,600.711,31.68,36.716
1782560172023,2026-06-27T11:36:12.023649+00:00,4.66,67.11,76036.91,0.09,0.0,600.711,31.682,36.719
1782560173027,2026-06-27T11:36:13.027319+00:00,4.31,67.16,76036.91,0.09,0.0,600.711,31.684,36.722
1782560174030,2026-06-27T11:36:14.030352+00:00,4.41,67.24,76036.91,0.09,0.0,600.719,31.686,36.725
1782560175033,2026-06-27T11:36:15.033855+00:00,4.01,67.19,76036.91,0.09,0.0,600.719,31.687,36.727
1782560176037,2026-06-27T11:36:16.037112+00:00,4.47,67.11,76036.91,0.09,0.0,600.727,31.689,36.73
1782560177040,2026-06-27T11:36:17.040884+00:00,4.77,67.11,76036.91,0.09,0.0,600.727,31.691,36.733
1782560178044,2026-06-27T11:36:18.044268+00:00,65.22,67.3,76036.91,0.09,0.0,602.453,31.804,36.859
1782560179048,2026-06-27T11:36:19.048572+00:00,4.58,67.33,76036.91,0.09,0.0,602.453,31.806,36.861
1782560180052,2026-06-27T11:36:20.052002+00:00,5.98,67.26,76036.91,0.09,0.0,602.461,31.808,36.864
1782560181054,2026-06-27T11:36:21.054893+00:00,4.5,67.12,76036.91,0.09,0.0,602.461,31.81,36.867
1782560182057,2026-06-27T11:36:22.057840+00:00,4.65,67.24,76036.91,0.09,0.0,602.469,31.812,36.87
1782560183061,2026-06-27T11:36:23.061732+00:00,4.42,67.27,76036.91,0.09,0.0,602.477,31.814,36.873
1782560184064,2026-06-27T11:36:24.064861+00:00,4.3,67.34,76036.91,0.09,0.0,602.477,31.815,36.875
1782560185068,2026-06-27T11:36:25.068782+00:00,4.54,67.28,76036.91,0.09,0.0,602.484,31.817,36.878
1782560186073,2026-06-27T11:36:26.073453+00:00,4.22,67.25,76036.91,0.09,0.0,602.484,31.819,36.88
