timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779358945177,2026-05-21T10:22:25.177661+00:00,4.3,75.51,31441.34,0.24,0.0,0.707,3.504,2.599
1779358946195,2026-05-21T10:22:26.195735+00:00,3.97,75.64,31441.34,0.24,0.0,0.711,3.537,2.646
1779358947225,2026-05-21T10:22:27.225802+00:00,3.55,75.51,31441.34,0.24,0.0,0.711,3.563,2.673
1779358948232,2026-05-21T10:22:28.232278+00:00,4.25,75.58,31441.34,0.24,0.0,0.719,3.604,2.715
1779358949251,2026-05-21T10:22:29.251011+00:00,3.39,77.03,31441.34,0.24,0.0,0.719,3.629,2.741
1779358950269,2026-05-21T10:22:30.269294+00:00,3.61,80.04,31441.34,0.25,0.0,0.727,3.653,2.764
1779358951309,2026-05-21T10:22:31.309283+00:00,1.28,80.14,31441.34,0.25,0.0,0.727,3.666,2.765
1779358952324,2026-05-21T10:22:32.324387+00:00,1.48,80.57,31441.34,0.26,0.0,0.73,3.675,2.768
1779358953347,2026-05-21T10:22:33.347036+00:00,1.98,80.84,31441.34,0.26,0.0,0.73,3.68,2.77
1779358954372,2026-05-21T10:22:34.372344+00:00,1.38,81.24,31441.34,0.26,0.0,0.734,3.691,2.773
1779358955395,2026-05-21T10:22:35.395249+00:00,1.89,81.52,31441.34,0.26,0.0,0.734,3.697,2.775
1779358956415,2026-05-21T10:22:36.415356+00:00,2.0,81.95,31441.34,0.26,0.0,0.738,3.703,2.777
1779358957423,2026-05-21T10:22:37.423547+00:00,2.02,67.63,31441.34,0.22,0.0,0.738,3.713,2.779
1779358958460,2026-05-21T10:22:38.460176+00:00,1.24,67.47,31441.34,0.21,0.0,0.742,3.72,2.782
1779358959469,2026-05-21T10:22:39.469840+00:00,1.89,67.59,31441.34,0.21,0.0,0.742,3.725,2.784
1779358960505,2026-05-21T10:22:40.505415+00:00,1.29,67.47,31441.34,0.21,0.0,0.746,3.737,2.786
1779358961533,2026-05-21T10:22:41.533437+00:00,1.81,67.48,31441.34,0.21,0.0,0.746,3.742,2.788
1779358962536,2026-05-21T10:22:42.536590+00:00,1.36,67.49,31441.34,0.21,0.0,0.75,3.748,2.791
1779358963572,2026-05-21T10:22:43.572909+00:00,1.77,67.56,31441.34,0.21,0.0,0.75,3.759,2.793
1779358964595,2026-05-21T10:22:44.595027+00:00,1.57,67.49,31441.34,0.21,0.0,0.754,3.765,2.796
1779358965630,2026-05-21T10:22:45.630574+00:00,5.63,45.27,31441.34,0.14,0.0,0.762,3.797,2.841
1779358966639,2026-05-21T10:22:46.639656+00:00,4.34,46.77,31441.34,0.15,0.0,0.766,3.832,2.879
1779358967664,2026-05-21T10:22:47.664651+00:00,4.03,49.84,31441.34,0.16,0.0,0.766,3.856,2.905
1779358968673,2026-05-21T10:22:48.673613+00:00,4.06,42.96,31441.34,0.14,0.0,0.773,3.893,2.948
1779358969697,2026-05-21T10:22:49.697476+00:00,3.12,42.96,31441.34,0.14,0.0,0.773,3.922,2.974
1779358970723,2026-05-21T10:22:50.723064+00:00,2.84,43.09,31441.34,0.14,0.0,0.781,3.94,2.987
1779358971741,2026-05-21T10:22:51.741605+00:00,1.88,43.1,31441.34,0.14,0.0,0.781,3.948,2.988
1779358972776,2026-05-21T10:22:52.776682+00:00,1.77,43.18,31441.34,0.14,0.0,0.785,3.96,2.991
1779358973795,2026-05-21T10:22:53.795569+00:00,2.06,43.15,31441.34,0.14,0.0,0.785,3.966,2.993
1779358974821,2026-05-21T10:22:54.821874+00:00,1.33,43.11,31441.34,0.14,0.0,0.789,3.972,2.996
1779358975848,2026-05-21T10:22:55.848530+00:00,1.39,43.11,31441.34,0.14,0.0,0.789,3.982,2.997
1779358976864,2026-05-21T10:22:56.864531+00:00,1.97,43.1,31441.34,0.14,0.0,0.793,3.989,3.0
1779358977887,2026-05-21T10:22:57.887920+00:00,1.33,43.13,31441.34,0.14,0.0,0.793,3.995,3.002
1779358978911,2026-05-21T10:22:58.911107+00:00,1.33,43.11,31441.34,0.14,0.0,0.797,4.007,3.005
1779358979932,2026-05-21T10:22:59.932230+00:00,1.85,43.21,31441.34,0.14,0.0,0.797,4.012,3.007
1779358980943,2026-05-21T10:23:00.943625+00:00,1.41,43.14,31441.34,0.14,0.0,0.801,4.018,3.01
1779358981975,2026-05-21T10:23:01.975565+00:00,1.66,43.12,31441.34,0.14,0.0,0.801,4.029,3.012
1779358983001,2026-05-21T10:23:03.001907+00:00,1.28,43.12,31441.34,0.14,0.0,0.805,4.035,3.014
1779358984021,2026-05-21T10:23:04.021322+00:00,1.7,43.14,31441.34,0.14,0.0,0.805,4.041,3.016
1779358985028,2026-05-21T10:23:05.028375+00:00,1.39,43.63,31441.34,0.14,0.0,0.809,4.052,3.019
1779358986073,2026-05-21T10:23:06.073413+00:00,5.71,54.34,31441.34,0.17,0.0,0.816,4.082,3.062
