timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777145890864,2026-04-25T19:38:10.864083+00:00,6.95,61.35,128650.75,0.05,0.0,0.09,0.632,0.445
1777145891914,2026-04-25T19:38:11.914061+00:00,5.12,61.37,128650.75,0.05,0.0,0.094,0.662,0.477
1777145892961,2026-04-25T19:38:12.961257+00:00,4.9,61.51,128650.75,0.05,0.0,0.094,0.688,0.504
1777145894018,2026-04-25T19:38:14.018311+00:00,3.17,61.37,128650.75,0.05,0.0,0.105,0.704,0.51
1777145895034,2026-04-25T19:38:15.034189+00:00,2.89,61.39,128650.75,0.05,0.0,0.105,0.708,0.511
1777145896091,2026-04-25T19:38:16.091391+00:00,2.31,61.37,128650.75,0.05,0.0,0.105,0.709,0.511
1777145897148,2026-04-25T19:38:17.148906+00:00,2.46,61.37,128650.75,0.05,0.0,0.105,0.712,0.511
1777145898192,2026-04-25T19:38:18.192977+00:00,2.19,61.37,128650.75,0.05,0.0,0.105,0.713,0.511
1777145899204,2026-04-25T19:38:19.204515+00:00,2.17,61.37,128650.75,0.05,0.0,0.105,0.715,0.511
1777145900248,2026-04-25T19:38:20.248880+00:00,2.38,61.37,128650.75,0.05,0.0,0.105,0.718,0.511
