timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779872468095,2026-05-27T09:01:08.095968+00:00,0.11,62.57,76036.91,0.08,0.0,2.789,0.172,0.224
1779872469099,2026-05-27T09:01:09.099611+00:00,7.68,62.64,76036.91,0.08,0.0,2.789,0.175,0.228
1779872470102,2026-05-27T09:01:10.102222+00:00,54.02,62.7,76036.91,0.08,0.0,3.078,0.249,0.312
1779872471117,2026-05-27T09:01:11.117858+00:00,42.87,62.72,76036.91,0.08,0.0,3.57,0.305,0.378
1779872472121,2026-05-27T09:01:12.121631+00:00,5.7,62.76,76036.91,0.08,0.0,3.578,0.307,0.381
1779872473124,2026-05-27T09:01:13.124786+00:00,4.26,62.66,76036.91,0.08,0.0,3.625,0.308,0.382
1779872474127,2026-05-27T09:01:14.127883+00:00,3.29,62.7,76036.91,0.08,0.0,3.625,0.308,0.382
1779872475131,2026-05-27T09:01:15.131634+00:00,3.25,62.67,76036.91,0.08,0.0,3.625,0.308,0.382
1779872476133,2026-05-27T09:01:16.133806+00:00,3.33,62.95,76036.91,0.08,0.0,3.625,0.308,0.382
1779872477136,2026-05-27T09:01:17.136295+00:00,3.33,62.81,76036.91,0.08,0.0,3.625,0.308,0.382
1779872478139,2026-05-27T09:01:18.139139+00:00,6.39,62.92,76036.91,0.08,0.0,3.625,0.314,0.389
1779872479141,2026-05-27T09:01:19.141319+00:00,5.53,62.67,76036.91,0.08,0.0,3.625,0.318,0.395
