timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1775818303121,2026-04-10T10:51:43.121959+00:00,9.96,65.11,76036.91,0.09,0.0,155.781,8.755,9.987
1775818304194,2026-04-10T10:51:44.194188+00:00,73.67,65.14,76036.91,0.09,0.0,155.953,8.852,10.088
1775818305411,2026-04-10T10:51:45.411538+00:00,54.41,65.14,76036.91,0.09,0.0,156.141,8.93,10.169
1775818307400,2026-04-10T10:51:47.400092+00:00,5.23,65.14,76036.91,0.09,0.0,156.148,8.934,10.175
1775818308462,2026-04-10T10:51:48.462881+00:00,12.32,65.14,76036.91,0.09,0.0,156.148,8.936,10.177
1775818309490,2026-04-10T10:51:49.490608+00:00,8.95,65.14,76036.91,0.09,0.0,156.156,8.938,10.18
1775818310583,2026-04-10T10:51:50.583399+00:00,13.82,65.14,76036.91,0.09,0.0,156.156,8.939,10.183
1775818311635,2026-04-10T10:51:51.635752+00:00,11.83,65.14,76036.91,0.09,0.0,156.164,8.941,10.186
1775818312682,2026-04-10T10:51:52.682906+00:00,12.03,65.14,76036.91,0.09,0.0,156.164,8.943,10.188
1775818313730,2026-04-10T10:51:53.730518+00:00,42.57,65.15,76036.91,0.09,0.0,156.375,8.99,10.241
1775818314855,2026-04-10T10:51:54.855227+00:00,78.58,65.15,76036.91,0.09,0.0,157.031,9.108,10.37
1775818315895,2026-04-10T10:51:55.895862+00:00,13.93,65.15,76036.91,0.09,0.0,157.039,9.11,10.373
1775818316909,2026-04-10T10:51:56.909057+00:00,15.18,65.15,76036.91,0.09,0.0,157.039,9.111,10.376
1775818317976,2026-04-10T10:51:57.976963+00:00,14.71,65.15,76036.91,0.09,0.0,157.047,9.113,10.379
1775818318984,2026-04-10T10:51:58.984956+00:00,8.68,65.15,76036.91,0.09,0.0,157.055,9.115,10.381
1775818320060,2026-04-10T10:52:00.060409+00:00,14.35,65.15,76036.91,0.09,0.0,157.055,9.117,10.384
1775818321117,2026-04-10T10:52:01.117145+00:00,13.29,65.15,76036.91,0.09,0.0,157.062,9.118,10.387
1775818322165,2026-04-10T10:52:02.165127+00:00,13.98,65.15,76036.91,0.09,0.0,157.062,9.121,10.39
1775818323181,2026-04-10T10:52:03.181909+00:00,17.13,65.16,76036.91,0.09,0.0,157.125,9.126,10.397
1775818324334,2026-04-10T10:52:04.334041+00:00,14.96,65.15,76036.91,0.09,0.0,157.125,9.132,10.404
1775818325430,2026-04-10T10:52:05.430583+00:00,22.94,65.16,76036.91,0.09,0.0,157.312,9.15,10.424
1775818327531,2026-04-10T10:52:07.531041+00:00,39.7,65.16,76036.91,0.09,0.0,158.445,9.291,10.58
1775818329535,2026-04-10T10:52:09.535430+00:00,6.6,65.16,76036.91,0.09,0.0,158.453,9.294,10.586
1775818330585,2026-04-10T10:52:10.585445+00:00,14.25,65.16,76036.91,0.09,0.0,158.453,9.296,10.588
1775818331613,2026-04-10T10:52:11.613034+00:00,10.6,65.16,76036.91,0.09,0.0,158.461,9.298,10.591
1775818332692,2026-04-10T10:52:12.692038+00:00,13.08,65.16,76036.91,0.09,0.0,158.461,9.3,10.594
1775818333752,2026-04-10T10:52:13.752913+00:00,12.4,65.16,76036.91,0.09,0.0,158.469,9.302,10.597
1775818334842,2026-04-10T10:52:14.842669+00:00,13.02,65.16,76036.91,0.09,0.0,158.469,9.304,10.6
1775818335895,2026-04-10T10:52:15.895120+00:00,62.02,65.3,76036.91,0.09,0.0,159.539,9.391,10.696
1775818336976,2026-04-10T10:52:16.976218+00:00,58.95,65.18,76036.91,0.09,0.0,160.359,9.468,10.781
1775818338010,2026-04-10T10:52:18.010295+00:00,16.54,65.18,76036.91,0.09,0.0,160.359,9.47,10.784
1775818339142,2026-04-10T10:52:19.142707+00:00,10.23,65.18,76036.91,0.09,0.0,160.367,9.472,10.788
1775818340163,2026-04-10T10:52:20.163848+00:00,14.12,65.18,76036.91,0.09,0.0,160.367,9.474,10.79
1775818341300,2026-04-10T10:52:21.300054+00:00,10.03,65.18,76036.91,0.09,0.0,160.375,9.476,10.793
1775818342360,2026-04-10T10:52:22.360937+00:00,14.26,65.18,76036.91,0.09,0.0,160.375,9.477,10.795
1775818343448,2026-04-10T10:52:23.448860+00:00,13.65,65.18,76036.91,0.09,0.0,160.383,9.479,10.798
1775818345454,2026-04-10T10:52:25.454366+00:00,21.16,65.3,76036.91,0.09,0.0,160.828,9.508,10.831
1775818346544,2026-04-10T10:52:26.544007+00:00,73.88,65.19,76036.91,0.09,0.0,162.25,9.611,10.948
1775818347624,2026-04-10T10:52:27.624800+00:00,34.54,65.2,76036.91,0.09,0.0,162.773,9.646,10.986
1775818348639,2026-04-10T10:52:28.639343+00:00,12.57,65.19,76036.91,0.09,0.0,162.773,9.647,10.988
1775818349722,2026-04-10T10:52:29.722207+00:00,10.54,65.19,76036.91,0.09,0.0,162.781,9.649,10.991
1775818350744,2026-04-10T10:52:30.744403+00:00,14.13,65.31,76036.91,0.09,0.0,162.781,9.651,10.994
1775818351868,2026-04-10T10:52:31.868695+00:00,13.58,65.19,76036.91,0.09,0.0,162.789,9.653,10.997
1775818353942,2026-04-10T10:52:33.942852+00:00,9.96,65.19,76036.91,0.09,0.0,162.797,9.657,11.003
1775818354949,2026-04-10T10:52:34.949542+00:00,14.63,65.19,76036.91,0.09,0.0,162.805,9.658,11.005
1775818356033,2026-04-10T10:52:36.033468+00:00,24.36,65.19,76036.91,0.09,0.0,163.07,9.675,11.026
1775818357106,2026-04-10T10:52:37.106036+00:00,14.14,65.19,76036.91,0.09,0.0,163.078,9.677,11.028
