timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1782562710847,2026-06-27T12:18:30.847482+00:00,1.66,69.59,31441.34,0.22,0.0,16.293,26.39,11.505
1782562711858,2026-06-27T12:18:31.858916+00:00,2.83,69.59,31441.34,0.22,0.0,16.297,26.419,11.529
1782562712890,2026-06-27T12:18:32.890124+00:00,1.5,69.59,31441.34,0.22,0.0,16.297,26.442,11.533
1782562713951,2026-06-27T12:18:33.951614+00:00,2.7,69.6,31441.34,0.22,0.0,16.301,26.482,11.565
1782562714956,2026-06-27T12:18:34.956328+00:00,1.65,69.84,31441.34,0.22,0.0,16.301,26.499,11.57
1782562716004,2026-06-27T12:18:36.004544+00:00,2.5,69.59,31441.34,0.22,0.0,16.305,26.531,11.584
1782562717021,2026-06-27T12:18:37.021117+00:00,2.03,69.59,31441.34,0.22,0.0,16.305,26.548,11.588
1782562718083,2026-06-27T12:18:38.083366+00:00,1.9,69.59,31441.34,0.22,0.0,16.312,26.558,11.592
1782562719122,2026-06-27T12:18:39.122386+00:00,1.81,69.6,31441.34,0.22,0.0,16.316,26.575,11.593
1782562720141,2026-06-27T12:18:40.141837+00:00,3.75,81.02,31441.34,0.26,0.0,16.391,26.585,11.6
1782562721191,2026-06-27T12:18:41.191546+00:00,2.16,81.01,31441.34,0.26,0.0,16.395,26.597,11.608
1782562722193,2026-06-27T12:18:42.193288+00:00,1.54,81.02,31441.34,0.26,0.0,16.395,26.62,11.612
1782562723247,2026-06-27T12:18:43.247561+00:00,2.54,81.02,31441.34,0.26,0.0,16.414,26.645,11.634
1782562724293,2026-06-27T12:18:44.293704+00:00,7.15,83.03,31441.34,0.26,0.0,16.828,26.701,11.706
1782562725305,2026-06-27T12:18:45.305407+00:00,1.95,83.5,31441.34,0.27,0.0,16.832,26.724,11.709
1782562726353,2026-06-27T12:18:46.353252+00:00,1.72,83.83,31441.34,0.27,0.0,16.832,26.736,11.711
1782562727384,2026-06-27T12:18:47.384551+00:00,1.37,84.23,31441.34,0.27,0.0,16.836,26.747,11.713
1782562728393,2026-06-27T12:18:48.393307+00:00,1.9,84.66,31441.34,0.27,0.0,16.836,26.762,11.715
1782562729440,2026-06-27T12:18:49.440289+00:00,1.85,85.07,31441.34,0.27,0.0,16.84,26.77,11.718
1782562730491,2026-06-27T12:18:50.491543+00:00,3.51,77.37,31441.34,0.25,0.0,16.914,26.778,11.725
1782562731531,2026-06-27T12:18:51.531769+00:00,2.24,77.37,31441.34,0.25,0.0,16.918,26.801,11.732
1782562732552,2026-06-27T12:18:52.552274+00:00,2.22,77.61,31441.34,0.25,0.0,16.918,26.814,11.737
