timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777273245887,2026-04-27T07:00:45.887190+00:00,4.05,66.72,128650.75,0.05,0.0,0.77,10.896,7.574
1777273247270,2026-04-27T07:00:47.270366+00:00,5.33,66.73,128650.75,0.05,0.0,0.77,10.954,7.64
1777273248299,2026-04-27T07:00:48.299570+00:00,6.33,66.74,128650.75,0.05,0.0,0.773,10.998,7.68
1777273249701,2026-04-27T07:00:49.701730+00:00,5.22,66.74,128650.75,0.05,0.0,0.777,11.058,7.727
1777273250789,2026-04-27T07:00:50.789080+00:00,4.85,66.73,128650.75,0.05,0.0,0.777,11.099,7.756
1777273252060,2026-04-27T07:00:52.060302+00:00,6.07,64.94,128650.75,0.05,0.0,0.781,11.154,7.809
1777273253315,2026-04-27T07:00:53.315185+00:00,5.59,64.95,128650.75,0.05,0.0,0.793,11.208,7.852
1777273254621,2026-04-27T07:00:54.621925+00:00,2.65,64.94,128650.75,0.05,0.0,0.793,11.232,7.854
1777273255745,2026-04-27T07:00:55.745768+00:00,2.66,64.94,128650.75,0.05,0.0,0.797,11.255,7.857
1777273257091,2026-04-27T07:00:57.091233+00:00,2.51,64.94,128650.75,0.05,0.0,0.801,11.272,7.86
1777273258190,2026-04-27T07:00:58.190032+00:00,2.46,64.94,128650.75,0.05,0.0,0.801,11.286,7.863
1777273259277,2026-04-27T07:00:59.277057+00:00,2.54,64.94,128650.75,0.05,0.0,0.805,11.301,7.865
1777273260481,2026-04-27T07:01:00.481261+00:00,2.95,64.94,128650.75,0.05,0.0,0.805,11.315,7.868
1777273261797,2026-04-27T07:01:01.797640+00:00,2.55,64.94,128650.75,0.05,0.0,0.809,11.334,7.871
1777273262850,2026-04-27T07:01:02.850017+00:00,2.77,64.94,128650.75,0.05,0.0,0.809,11.345,7.873
1777273264135,2026-04-27T07:01:04.135620+00:00,2.3,64.94,128650.75,0.05,0.0,0.812,11.36,7.876
1777273265361,2026-04-27T07:01:05.361830+00:00,2.37,64.94,128650.75,0.05,0.0,0.816,11.377,7.88
1777273266655,2026-04-27T07:01:06.655440+00:00,6.85,66.71,128650.75,0.05,0.0,0.824,11.418,7.926
1777273267756,2026-04-27T07:01:07.756872+00:00,5.19,66.73,128650.75,0.05,0.0,0.828,11.462,7.971
1777273269083,2026-04-27T07:01:09.083355+00:00,4.23,66.73,128650.75,0.05,0.0,0.828,11.506,8.005
1777273270436,2026-04-27T07:01:10.436966+00:00,5.22,66.73,128650.75,0.05,0.0,0.832,11.562,8.052
1777273271675,2026-04-27T07:01:11.675610+00:00,4.91,66.74,128650.75,0.05,0.0,0.84,11.608,8.087
1777273272732,2026-04-27T07:01:12.732292+00:00,2.58,66.74,128650.75,0.05,0.0,0.84,11.627,8.089
1777273274084,2026-04-27T07:01:14.084663+00:00,3.53,67.0,128650.75,0.05,0.0,0.848,11.669,8.114
