timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777273115021,2026-04-27T06:58:35.021132+00:00,7.26,44.03,128650.75,0.03,0.0,0.738,7.242,4.677
1777273116143,2026-04-27T06:58:36.143281+00:00,5.33,48.05,128650.75,0.04,0.0,0.742,7.287,4.726
1777273117526,2026-04-27T06:58:37.526596+00:00,6.2,42.98,128650.75,0.03,0.0,0.746,7.353,4.79
1777273118635,2026-04-27T06:58:38.635383+00:00,5.33,42.86,128650.75,0.03,0.0,0.746,7.397,4.823
1777273119995,2026-04-27T06:58:39.995718+00:00,5.69,42.88,128650.75,0.03,0.0,0.75,7.45,4.874
1777273121301,2026-04-27T06:58:41.301051+00:00,6.21,43.36,128650.75,0.03,0.0,0.758,7.507,4.924
1777273122352,2026-04-27T06:58:42.352280+00:00,6.42,43.35,128650.75,0.03,0.0,0.762,7.547,4.959
1777273123655,2026-04-27T06:58:43.655246+00:00,4.09,43.36,128650.75,0.03,0.0,0.77,7.594,4.987
1777273124750,2026-04-27T06:58:44.750968+00:00,3.47,43.35,128650.75,0.03,0.0,0.77,7.612,4.989
1777273126076,2026-04-27T06:58:46.076915+00:00,2.46,43.35,128650.75,0.03,0.0,0.773,7.63,4.992
1777273127117,2026-04-27T06:58:47.117653+00:00,2.82,43.36,128650.75,0.03,0.0,0.777,7.646,4.995
1777273128371,2026-04-27T06:58:48.371236+00:00,2.38,43.35,128650.75,0.03,0.0,0.777,7.66,4.997
1777273129528,2026-04-27T06:58:49.528841+00:00,2.65,43.36,128650.75,0.03,0.0,0.781,7.678,5.0
1777273130810,2026-04-27T06:58:50.810518+00:00,2.27,43.35,128650.75,0.03,0.0,0.781,7.692,5.003
1777273131935,2026-04-27T06:58:51.935903+00:00,2.63,43.35,128650.75,0.03,0.0,0.785,7.704,5.005
1777273133089,2026-04-27T06:58:53.089023+00:00,2.57,43.35,128650.75,0.03,0.0,0.789,7.719,5.008
1777273134255,2026-04-27T06:58:54.255882+00:00,2.83,43.35,128650.75,0.03,0.0,0.789,7.733,5.011
1777273135640,2026-04-27T06:58:55.640695+00:00,7.9,57.29,128650.75,0.04,0.0,0.801,7.784,5.063
1777273136719,2026-04-27T06:58:56.719862+00:00,5.58,57.29,128650.75,0.04,0.0,0.801,7.83,5.11
1777273137900,2026-04-27T06:58:57.900054+00:00,6.21,58.35,128650.75,0.05,0.0,0.805,7.885,5.166
1777273139211,2026-04-27T06:58:59.211109+00:00,4.86,62.54,128650.75,0.05,0.0,0.805,7.931,5.199
1777273140530,2026-04-27T06:59:00.530400+00:00,6.04,68.14,128650.75,0.05,0.0,0.809,7.986,5.251
1777273141730,2026-04-27T06:59:01.730989+00:00,6.31,65.03,128650.75,0.05,0.0,0.812,8.043,5.301
1777273142999,2026-04-27T06:59:02.999112+00:00,4.74,65.03,128650.75,0.05,0.0,0.816,8.086,5.334
1777273144171,2026-04-27T06:59:04.171309+00:00,3.71,65.03,128650.75,0.05,0.0,0.82,8.115,5.345
1777273145345,2026-04-27T06:59:05.345463+00:00,2.54,65.02,128650.75,0.05,0.0,0.824,8.137,5.348
1777273146572,2026-04-27T06:59:06.572107+00:00,2.35,65.02,128650.75,0.05,0.0,0.824,8.152,5.35
1777273147725,2026-04-27T06:59:07.725408+00:00,2.63,65.02,128650.75,0.05,0.0,0.828,8.168,5.353
1777273148955,2026-04-27T06:59:08.955189+00:00,2.31,65.02,128650.75,0.05,0.0,0.828,8.181,5.355
1777273151224,2026-04-27T06:59:11.224799+00:00,0.51,65.02,128650.75,0.05,0.0,0.836,8.211,5.362
1777273152420,2026-04-27T06:59:12.420601+00:00,2.61,65.02,128650.75,0.05,0.0,0.836,8.225,5.364
1777273153574,2026-04-27T06:59:13.574918+00:00,2.44,65.02,128650.75,0.05,0.0,0.84,8.241,5.367
1777273154770,2026-04-27T06:59:14.770006+00:00,2.51,65.03,128650.75,0.05,0.0,0.84,8.255,5.369
1777273155926,2026-04-27T06:59:15.926899+00:00,7.12,65.04,128650.75,0.05,0.0,0.852,8.292,5.41
1777273157124,2026-04-27T06:59:17.124967+00:00,5.54,65.04,128650.75,0.05,0.0,0.852,8.338,5.465
1777273158329,2026-04-27T06:59:18.329444+00:00,5.92,65.05,128650.75,0.05,0.0,0.855,8.392,5.52
1777273159784,2026-04-27T06:59:19.784367+00:00,5.64,65.1,128650.75,0.05,0.0,0.859,8.463,5.589
1777273160982,2026-04-27T06:59:20.982553+00:00,5.11,65.0,128650.75,0.05,0.0,0.859,8.504,5.62
1777273162101,2026-04-27T06:59:22.101801+00:00,5.22,65.0,128650.75,0.05,0.0,0.863,8.55,5.662
1777273163257,2026-04-27T06:59:23.257088+00:00,4.89,65.0,128650.75,0.05,0.0,0.863,8.589,5.691
1777273164555,2026-04-27T06:59:24.555313+00:00,7.23,43.39,128650.75,0.03,0.0,0.871,8.645,5.746
1777273165895,2026-04-27T06:59:25.895435+00:00,5.55,43.39,128650.75,0.03,0.0,0.875,8.696,5.784
1777273166961,2026-04-27T06:59:26.961205+00:00,5.6,43.39,128650.75,0.03,0.0,0.883,8.73,5.813
1777273168153,2026-04-27T06:59:28.153543+00:00,2.79,43.39,128650.75,0.03,0.0,0.883,8.748,5.818
1777273169423,2026-04-27T06:59:29.423419+00:00,2.55,43.39,128650.75,0.03,0.0,0.887,8.767,5.821
1777273170489,2026-04-27T06:59:30.489522+00:00,2.56,43.39,128650.75,0.03,0.0,0.887,8.779,5.824
1777273171747,2026-04-27T06:59:31.747734+00:00,2.62,43.39,128650.75,0.03,0.0,0.891,8.796,5.827
1777273172905,2026-04-27T06:59:32.905714+00:00,2.5,43.39,128650.75,0.03,0.0,0.891,8.809,5.829
1777273174200,2026-04-27T06:59:34.200793+00:00,2.24,43.39,128650.75,0.03,0.0,0.895,8.824,5.832
1777273175302,2026-04-27T06:59:35.302298+00:00,2.64,43.39,128650.75,0.03,0.0,0.898,8.839,5.835
1777273176647,2026-04-27T06:59:36.647374+00:00,7.87,54.42,128650.75,0.04,0.0,0.906,8.884,5.887
1777273177784,2026-04-27T06:59:37.784317+00:00,4.96,54.43,128650.75,0.04,0.0,0.91,8.93,5.933
1777273178918,2026-04-27T06:59:38.918166+00:00,4.81,54.43,128650.75,0.04,0.0,0.91,8.965,5.962
1777273180297,2026-04-27T06:59:40.297574+00:00,5.77,58.37,128650.75,0.05,0.0,0.914,9.02,6.009
1777273181323,2026-04-27T06:59:41.323766+00:00,5.72,63.02,128650.75,0.05,0.0,0.914,9.065,6.045
1777273182726,2026-04-27T06:59:42.726526+00:00,5.11,64.65,128650.75,0.05,0.0,0.918,9.116,6.087
1777273183894,2026-04-27T06:59:43.894261+00:00,4.76,64.66,128650.75,0.05,0.0,0.941,9.158,6.12
1777273185272,2026-04-27T06:59:45.272628+00:00,2.82,64.66,128650.75,0.05,0.0,0.945,9.192,6.134
1777273186464,2026-04-27T06:59:46.464100+00:00,2.45,64.66,128650.75,0.05,0.0,0.945,9.216,6.136
1777273187703,2026-04-27T06:59:47.703837+00:00,2.6,64.66,128650.75,0.05,0.0,0.949,9.237,6.139
1777273189883,2026-04-27T06:59:49.883799+00:00,0.39,64.66,128650.75,0.05,0.0,0.953,9.267,6.144
1777273191126,2026-04-27T06:59:51.126170+00:00,2.62,64.67,128650.75,0.05,0.0,0.957,9.281,6.148
1777273192378,2026-04-27T06:59:52.378391+00:00,2.42,64.67,128650.75,0.05,0.0,0.957,9.297,6.15
1777273193628,2026-04-27T06:59:53.628122+00:00,2.41,64.67,128650.75,0.05,0.0,0.961,9.314,6.153
1777273194866,2026-04-27T06:59:54.866605+00:00,2.15,64.67,128650.75,0.05,0.0,0.961,9.327,6.155
1777273197190,2026-04-27T06:59:57.190647+00:00,5.37,64.68,128650.75,0.05,0.0,0.973,9.381,6.206
1777273198413,2026-04-27T06:59:58.413826+00:00,5.58,64.68,128650.75,0.05,0.0,0.977,9.433,6.258
1777273199643,2026-04-27T06:59:59.643881+00:00,6.0,64.69,128650.75,0.05,0.0,0.98,9.498,6.322
1777273200735,2026-04-27T07:00:00.735453+00:00,4.75,64.69,128650.75,0.05,0.0,0.98,9.535,6.35
1777273202027,2026-04-27T07:00:02.027035+00:00,5.9,66.55,128650.75,0.05,0.0,0.984,9.588,6.397
1777273203350,2026-04-27T07:00:03.350047+00:00,5.55,64.7,128650.75,0.05,0.0,0.988,9.643,6.448
1777273204418,2026-04-27T07:00:04.418095+00:00,5.54,64.57,128650.75,0.05,0.0,0.988,9.681,6.475
1777273205767,2026-04-27T07:00:05.767920+00:00,5.33,64.57,128650.75,0.05,0.0,0.992,9.733,6.519
1777273206919,2026-04-27T07:00:06.919283+00:00,6.09,43.25,128650.75,0.03,0.0,0.992,9.768,6.549
1777273208155,2026-04-27T07:00:08.155234+00:00,3.27,43.24,128650.75,0.03,0.0,1.004,9.791,6.557
1777273209263,2026-04-27T07:00:09.263710+00:00,3.45,43.25,128650.75,0.03,0.0,1.008,9.808,6.56
1777273210489,2026-04-27T07:00:10.489541+00:00,2.94,43.24,128650.75,0.03,0.0,1.008,9.825,6.563
1777273211717,2026-04-27T07:00:11.717533+00:00,2.88,43.24,128650.75,0.03,0.0,1.012,9.84,6.566
1777273212863,2026-04-27T07:00:12.863294+00:00,2.51,43.24,128650.75,0.03,0.0,1.012,9.853,6.568
1777273213977,2026-04-27T07:00:13.977047+00:00,2.51,43.24,128650.75,0.03,0.0,1.016,9.867,6.571
1777273215199,2026-04-27T07:00:15.199953+00:00,2.65,43.24,128650.75,0.03,0.0,1.02,9.881,6.574
1777273216553,2026-04-27T07:00:16.553257+00:00,2.71,43.24,128650.75,0.03,0.0,1.02,9.9,6.577
