timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777273245802,2026-04-27T07:00:45.802193+00:00,5.11,66.79,128650.75,0.05,0.0,1.043,11.995,9.308
1777273247185,2026-04-27T07:00:47.185648+00:00,5.63,66.79,128650.75,0.05,0.0,1.043,12.053,9.375
1777273248457,2026-04-27T07:00:48.457224+00:00,5.97,66.8,128650.75,0.05,0.0,1.047,12.115,9.443
1777273249586,2026-04-27T07:00:49.586488+00:00,7.42,66.86,128650.75,0.05,0.0,1.051,12.176,9.501
1777273250939,2026-04-27T07:00:50.939955+00:00,5.4,64.71,128650.75,0.05,0.0,1.051,12.226,9.538
1777273252242,2026-04-27T07:00:52.242651+00:00,6.0,64.72,128650.75,0.05,0.0,1.062,12.284,9.595
1777273253483,2026-04-27T07:00:53.483084+00:00,5.82,64.72,128650.75,0.05,0.0,1.066,12.339,9.64
1777273254517,2026-04-27T07:00:54.517996+00:00,5.59,61.34,128650.75,0.05,0.0,1.066,12.374,9.667
1777273255902,2026-04-27T07:00:55.902586+00:00,3.69,54.47,128650.75,0.04,0.0,1.074,12.409,9.684
1777273257024,2026-04-27T07:00:57.024303+00:00,2.64,43.53,128650.75,0.03,0.0,1.078,12.423,9.686
1777273258124,2026-04-27T07:00:58.124518+00:00,2.92,43.53,128650.75,0.03,0.0,1.078,12.438,9.689
1777273259407,2026-04-27T07:00:59.407798+00:00,2.8,43.53,128650.75,0.03,0.0,1.082,12.455,9.692
1777273260650,2026-04-27T07:01:00.650590+00:00,2.33,43.53,128650.75,0.03,0.0,1.082,12.469,9.694
1777273261715,2026-04-27T07:01:01.715881+00:00,2.6,43.53,128650.75,0.03,0.0,1.086,12.484,9.697
1777273262980,2026-04-27T07:01:02.980061+00:00,2.45,43.53,128650.75,0.03,0.0,1.086,12.498,9.7
1777273264056,2026-04-27T07:01:04.056839+00:00,2.79,43.53,128650.75,0.03,0.0,1.09,12.511,9.703
1777273265249,2026-04-27T07:01:05.249989+00:00,2.42,43.53,128650.75,0.03,0.0,1.094,12.527,9.706
1777273266547,2026-04-27T07:01:06.547695+00:00,7.36,53.89,128650.75,0.04,0.0,1.102,12.567,9.752
1777273267929,2026-04-27T07:01:07.929167+00:00,5.28,53.9,128650.75,0.04,0.0,1.105,12.622,9.806
1777273268970,2026-04-27T07:01:08.970672+00:00,4.53,53.9,128650.75,0.04,0.0,1.105,12.656,9.833
