timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777046175373,2026-04-24T15:56:15.373826+00:00,14.12,51.54,76036.91,0.07,0.0,2.18,4.651,3.94
1777046176383,2026-04-24T15:56:16.383586+00:00,8.89,49.03,76036.91,0.06,0.0,2.18,4.673,3.967
1777046177398,2026-04-24T15:56:17.398833+00:00,9.59,45.31,76036.91,0.06,0.0,2.188,4.702,4.001
1777046178427,2026-04-24T15:56:18.427299+00:00,8.41,48.5,76036.91,0.06,0.0,2.188,4.727,4.027
1777046179447,2026-04-24T15:56:19.447828+00:00,6.63,50.61,76036.91,0.07,0.0,2.203,4.746,4.045
1777046180466,2026-04-24T15:56:20.466227+00:00,3.9,50.91,76036.91,0.07,0.0,2.203,4.753,4.047
1777046181473,2026-04-24T15:56:21.473856+00:00,5.59,51.38,76036.91,0.07,0.0,2.211,4.763,4.05
1777046182493,2026-04-24T15:56:22.493587+00:00,4.12,41.52,76036.91,0.05,0.0,2.211,4.769,4.052
1777046183517,2026-04-24T15:56:23.517010+00:00,4.95,41.67,76036.91,0.05,0.0,2.219,4.775,4.055
1777046184525,2026-04-24T15:56:24.525957+00:00,3.9,41.88,76036.91,0.06,0.0,2.219,4.783,4.057
1777046185567,2026-04-24T15:56:25.567315+00:00,4.31,41.75,76036.91,0.05,0.0,2.227,4.789,4.06
1777046186593,2026-04-24T15:56:26.593388+00:00,4.26,41.83,76036.91,0.06,0.0,2.227,4.795,4.062
1777046187605,2026-04-24T15:56:27.605098+00:00,4.53,41.76,76036.91,0.05,0.0,2.234,4.804,4.064
1777046188632,2026-04-24T15:56:28.632590+00:00,4.58,41.76,76036.91,0.05,0.0,2.234,4.809,4.066
1777046189637,2026-04-24T15:56:29.637975+00:00,5.47,41.78,76036.91,0.05,0.0,2.242,4.816,4.069
1777046190660,2026-04-24T15:56:30.660168+00:00,4.3,41.9,76036.91,0.06,0.0,2.242,4.823,4.071
1777046191672,2026-04-24T15:56:31.672099+00:00,4.54,41.79,76036.91,0.05,0.0,2.25,4.83,4.074
1777046192702,2026-04-24T15:56:32.702171+00:00,4.51,41.77,76036.91,0.05,0.0,2.25,4.837,4.076
1777046193724,2026-04-24T15:56:33.724032+00:00,5.67,41.77,76036.91,0.05,0.0,2.258,4.845,4.079
1777046194738,2026-04-24T15:56:34.738967+00:00,5.28,41.83,76036.91,0.06,0.0,2.258,4.851,4.081
1777046195751,2026-04-24T15:56:35.751527+00:00,17.41,53.61,76036.91,0.07,0.0,2.281,4.873,4.11
1777046196781,2026-04-24T15:56:36.781860+00:00,10.9,53.49,76036.91,0.07,0.0,2.281,4.909,4.161
1777046197802,2026-04-24T15:56:37.802523+00:00,10.31,53.5,76036.91,0.07,0.0,2.289,4.937,4.195
1777046198826,2026-04-24T15:56:38.826311+00:00,7.91,53.9,76036.91,0.07,0.0,2.289,4.96,4.222
1777046199831,2026-04-24T15:56:39.831951+00:00,10.3,58.74,76036.91,0.08,0.0,2.312,4.992,4.26
1777046200879,2026-04-24T15:56:40.879014+00:00,9.27,62.01,76036.91,0.08,0.0,2.312,5.017,4.287
1777046201892,2026-04-24T15:56:41.892527+00:00,5.73,62.95,76036.91,0.08,0.0,2.328,5.03,4.295
1777046202906,2026-04-24T15:56:42.906370+00:00,4.52,63.24,76036.91,0.08,0.0,2.328,5.039,4.297
1777046203924,2026-04-24T15:56:43.924146+00:00,5.91,63.64,76036.91,0.08,0.0,2.336,5.045,4.3
1777046204944,2026-04-24T15:56:44.944178+00:00,5.41,63.93,76036.91,0.08,0.0,2.336,5.052,4.302
1777046205954,2026-04-24T15:56:45.954198+00:00,4.34,64.36,76036.91,0.08,0.0,2.344,5.059,4.305
1777046206976,2026-04-24T15:56:46.976912+00:00,4.26,64.73,76036.91,0.09,0.0,2.344,5.065,4.306
1777046208002,2026-04-24T15:56:48.002542+00:00,5.5,65.01,76036.91,0.09,0.0,2.352,5.073,4.309
1777046209035,2026-04-24T15:56:49.035449+00:00,4.02,65.3,76036.91,0.09,0.0,2.352,5.079,4.311
1777046210044,2026-04-24T15:56:50.044673+00:00,4.93,65.73,76036.91,0.09,0.0,2.359,5.085,4.314
1777046211067,2026-04-24T15:56:51.067439+00:00,4.64,65.7,76036.91,0.09,0.0,2.359,5.092,4.316
