timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1777147220453,2026-04-25T20:00:20.453753+00:00,0.13,63.45,76036.91,0.08,0.0,8.672,1.818,2.382
1777147221457,2026-04-25T20:00:21.457159+00:00,6.61,63.68,76036.91,0.08,0.0,8.68,1.821,2.386
1777147222460,2026-04-25T20:00:22.460865+00:00,27.33,63.71,76036.91,0.08,0.0,8.742,1.865,2.44
1777147223464,2026-04-25T20:00:23.464623+00:00,14.66,63.71,76036.91,0.08,0.0,8.773,1.885,2.463
1777147224467,2026-04-25T20:00:24.467430+00:00,5.19,63.53,76036.91,0.08,0.0,8.781,1.887,2.466
1777147225470,2026-04-25T20:00:25.470898+00:00,5.24,63.54,76036.91,0.08,0.0,8.781,1.888,2.469
1777147226475,2026-04-25T20:00:26.475738+00:00,4.76,63.71,76036.91,0.08,0.0,8.789,1.89,2.472
1777147227478,2026-04-25T20:00:27.478254+00:00,4.15,63.67,76036.91,0.08,0.0,8.789,1.892,2.474
1777147228481,2026-04-25T20:00:28.481625+00:00,4.38,63.61,76036.91,0.08,0.0,8.797,1.894,2.477
1777147229484,2026-04-25T20:00:29.484581+00:00,4.22,63.55,76036.91,0.08,0.0,8.797,1.895,2.48
1777147230487,2026-04-25T20:00:30.487437+00:00,4.42,63.53,76036.91,0.08,0.0,8.805,1.897,2.483
1777147231490,2026-04-25T20:00:31.490843+00:00,4.14,63.68,76036.91,0.08,0.0,8.805,1.899,2.485
1777147232494,2026-04-25T20:00:32.494092+00:00,4.29,63.6,76036.91,0.08,0.0,8.812,1.901,2.488
1777147233497,2026-04-25T20:00:33.497099+00:00,4.13,63.61,76036.91,0.08,0.0,8.812,1.902,2.49
1777147234500,2026-04-25T20:00:34.500372+00:00,4.76,63.58,76036.91,0.08,0.0,8.82,1.904,2.493
1777147235503,2026-04-25T20:00:35.503517+00:00,4.41,63.54,76036.91,0.08,0.0,8.82,1.906,2.496
1777147236506,2026-04-25T20:00:36.506666+00:00,4.56,63.59,76036.91,0.08,0.0,8.828,1.908,2.499
1777147237509,2026-04-25T20:00:37.509910+00:00,4.45,63.61,76036.91,0.08,0.0,8.828,1.909,2.501
1777147238512,2026-04-25T20:00:38.512673+00:00,4.46,63.59,76036.91,0.08,0.0,8.836,1.911,2.504
1777147239516,2026-04-25T20:00:39.516061+00:00,4.36,63.54,76036.91,0.08,0.0,8.836,1.913,2.507
1777147240528,2026-04-25T20:00:40.528734+00:00,4.47,63.53,76036.91,0.08,0.0,8.844,1.915,2.51
1777147241532,2026-04-25T20:00:41.532826+00:00,4.36,63.69,76036.91,0.08,0.0,8.844,1.916,2.512
1777147242536,2026-04-25T20:00:42.536612+00:00,27.21,63.57,76036.91,0.08,0.0,8.961,1.959,2.564
1777147243540,2026-04-25T20:00:43.540523+00:00,16.14,63.75,76036.91,0.08,0.0,9.008,1.981,2.589
1777147244544,2026-04-25T20:00:44.544275+00:00,4.94,63.57,76036.91,0.08,0.0,9.016,1.982,2.592
1777147245547,2026-04-25T20:00:45.547727+00:00,4.96,63.55,76036.91,0.08,0.0,9.016,1.984,2.595
1777147246550,2026-04-25T20:00:46.550359+00:00,4.92,63.61,76036.91,0.08,0.0,9.023,1.986,2.598
1777147247553,2026-04-25T20:00:47.553297+00:00,4.05,63.63,76036.91,0.08,0.0,9.023,1.988,2.6
1777147248556,2026-04-25T20:00:48.556101+00:00,4.46,63.58,76036.91,0.08,0.0,9.031,1.99,2.603
1777147249559,2026-04-25T20:00:49.559463+00:00,4.08,63.57,76036.91,0.08,0.0,9.031,1.991,2.606
1777147250563,2026-04-25T20:00:50.563754+00:00,4.41,63.54,76036.91,0.08,0.0,9.039,1.993,2.609
1777147251566,2026-04-25T20:00:51.566894+00:00,4.44,63.58,76036.91,0.08,0.0,9.039,1.994,2.611
1777147252569,2026-04-25T20:00:52.569886+00:00,4.49,63.59,76036.91,0.08,0.0,9.047,1.996,2.614
1777147253573,2026-04-25T20:00:53.573599+00:00,4.41,63.77,76036.91,0.08,0.0,9.047,1.998,2.616
1777147254576,2026-04-25T20:00:54.576941+00:00,4.87,63.59,76036.91,0.08,0.0,9.055,2.0,2.619
1777147255579,2026-04-25T20:00:55.579758+00:00,4.28,63.68,76036.91,0.08,0.0,9.055,2.002,2.622
1777147256582,2026-04-25T20:00:56.582573+00:00,4.62,63.59,76036.91,0.08,0.0,9.062,2.004,2.625
1777147257585,2026-04-25T20:00:57.585354+00:00,4.17,63.58,76036.91,0.08,0.0,9.062,2.005,2.627
1777147258588,2026-04-25T20:00:58.588530+00:00,4.48,63.63,76036.91,0.08,0.0,9.07,2.007,2.63
1777147259591,2026-04-25T20:00:59.591098+00:00,4.16,63.57,76036.91,0.08,0.0,9.07,2.009,2.633
1777147260594,2026-04-25T20:01:00.594515+00:00,4.61,63.54,76036.91,0.08,0.0,9.078,2.011,2.636
1777147261598,2026-04-25T20:01:01.598608+00:00,4.27,63.61,76036.91,0.08,0.0,9.078,2.012,2.638
1777147262602,2026-04-25T20:01:02.602011+00:00,36.24,63.74,76036.91,0.08,0.0,9.32,2.075,2.713
1777147263604,2026-04-25T20:01:03.604997+00:00,4.7,63.68,76036.91,0.08,0.0,9.32,2.076,2.715
1777147264608,2026-04-25T20:01:04.608598+00:00,4.75,63.71,76036.91,0.08,0.0,9.328,2.078,2.718
1777147265612,2026-04-25T20:01:05.612899+00:00,4.58,63.57,76036.91,0.08,0.0,9.328,2.08,2.721
1777147266615,2026-04-25T20:01:06.615872+00:00,4.85,63.69,76036.91,0.08,0.0,9.336,2.082,2.724
1777147267619,2026-04-25T20:01:07.619533+00:00,3.91,63.87,76036.91,0.08,0.0,9.336,2.084,2.726
1777147268622,2026-04-25T20:01:08.622628+00:00,4.63,63.71,76036.91,0.08,0.0,9.344,2.085,2.729
1777147269625,2026-04-25T20:01:09.625506+00:00,4.16,63.77,76036.91,0.08,0.0,9.344,2.087,2.731
1777147270628,2026-04-25T20:01:10.628077+00:00,4.49,63.68,76036.91,0.08,0.0,9.352,2.089,2.734
1777147271631,2026-04-25T20:01:11.631055+00:00,3.93,63.64,76036.91,0.08,0.0,9.352,2.09,2.737
1777147272634,2026-04-25T20:01:12.634422+00:00,4.47,63.64,76036.91,0.08,0.0,9.359,2.092,2.74
1777147273637,2026-04-25T20:01:13.637419+00:00,4.24,63.68,76036.91,0.08,0.0,9.359,2.094,2.742
1777147274641,2026-04-25T20:01:14.641176+00:00,4.39,63.62,76036.91,0.08,0.0,9.367,2.096,2.745
1777147275643,2026-04-25T20:01:15.643778+00:00,4.66,63.69,76036.91,0.08,0.0,9.367,2.097,2.748
1777147276647,2026-04-25T20:01:16.647011+00:00,4.28,63.64,76036.91,0.08,0.0,9.375,2.099,2.751
1777147277650,2026-04-25T20:01:17.650186+00:00,4.26,63.63,76036.91,0.08,0.0,9.375,2.101,2.753
1777147278653,2026-04-25T20:01:18.653539+00:00,4.51,63.61,76036.91,0.08,0.0,9.383,2.103,2.756
1777147279657,2026-04-25T20:01:19.657933+00:00,4.17,63.59,76036.91,0.08,0.0,9.383,2.105,2.759
1777147280661,2026-04-25T20:01:20.661498+00:00,6.07,63.55,76036.91,0.08,0.0,9.391,2.107,2.762
1777147281666,2026-04-25T20:01:21.666911+00:00,4.38,63.76,76036.91,0.08,0.0,9.391,2.108,2.764
1777147282670,2026-04-25T20:01:22.670061+00:00,4.76,63.73,76036.91,0.08,0.0,9.398,2.11,2.767
1777147283674,2026-04-25T20:01:23.674516+00:00,4.49,63.64,76036.91,0.08,0.0,9.398,2.112,2.77
1777147284678,2026-04-25T20:01:24.678712+00:00,36.3,63.58,76036.91,0.08,0.0,9.734,2.17,2.84
1777147285682,2026-04-25T20:01:25.682828+00:00,7.5,63.57,76036.91,0.08,0.0,9.734,2.176,2.847
1777147286686,2026-04-25T20:01:26.686753+00:00,4.82,63.58,76036.91,0.08,0.0,9.742,2.177,2.849
1777147287690,2026-04-25T20:01:27.690937+00:00,4.7,63.66,76036.91,0.08,0.0,9.742,2.179,2.852
1777147288693,2026-04-25T20:01:28.693762+00:00,4.87,63.71,76036.91,0.08,0.0,9.75,2.181,2.855
1777147289696,2026-04-25T20:01:29.696947+00:00,4.14,63.61,76036.91,0.08,0.0,9.75,2.182,2.857
1777147290700,2026-04-25T20:01:30.700074+00:00,4.76,63.57,76036.91,0.08,0.0,9.758,2.184,2.86
1777147291702,2026-04-25T20:01:31.702847+00:00,3.98,63.59,76036.91,0.08,0.0,9.758,2.186,2.863
1777147292706,2026-04-25T20:01:32.706535+00:00,4.38,63.71,76036.91,0.08,0.0,9.766,2.188,2.866
1777147293709,2026-04-25T20:01:33.709581+00:00,4.38,63.75,76036.91,0.08,0.0,9.766,2.19,2.868
1777147294712,2026-04-25T20:01:34.712023+00:00,4.61,63.63,76036.91,0.08,0.0,9.773,2.192,2.871
1777147295715,2026-04-25T20:01:35.715310+00:00,4.53,63.58,76036.91,0.08,0.0,9.773,2.193,2.874
1777147296717,2026-04-25T20:01:36.717998+00:00,4.54,63.72,76036.91,0.08,0.0,9.781,2.195,2.877
1777147297721,2026-04-25T20:01:37.721579+00:00,4.33,63.59,76036.91,0.08,0.0,9.781,2.197,2.879
1777147298724,2026-04-25T20:01:38.724927+00:00,5.22,63.58,76036.91,0.08,0.0,9.789,2.199,2.882
1777147299728,2026-04-25T20:01:39.728415+00:00,3.94,63.59,76036.91,0.08,0.0,9.789,2.2,2.885
1777147300731,2026-04-25T20:01:40.731341+00:00,4.6,63.57,76036.91,0.08,0.0,9.797,2.202,2.888
1777147301734,2026-04-25T20:01:41.734615+00:00,4.38,63.69,76036.91,0.08,0.0,9.797,2.204,2.89
1777147302738,2026-04-25T20:01:42.738073+00:00,4.38,63.6,76036.91,0.08,0.0,9.805,2.206,2.893
1777147303741,2026-04-25T20:01:43.741331+00:00,5.34,63.64,76036.91,0.08,0.0,9.805,2.208,2.896
1777147304744,2026-04-25T20:01:44.744267+00:00,38.07,63.59,76036.91,0.08,0.0,10.219,2.27,2.97
1777147305747,2026-04-25T20:01:45.747733+00:00,4.51,63.71,76036.91,0.08,0.0,10.219,2.271,2.972
1777147306750,2026-04-25T20:01:46.750504+00:00,4.72,63.62,76036.91,0.08,0.0,10.227,2.273,2.975
1777147307753,2026-04-25T20:01:47.753884+00:00,4.34,63.68,76036.91,0.08,0.0,10.227,2.275,2.978
1777147308757,2026-04-25T20:01:48.757380+00:00,4.75,63.64,76036.91,0.08,0.0,10.234,2.277,2.981
1777147309760,2026-04-25T20:01:49.760814+00:00,4.12,63.63,76036.91,0.08,0.0,10.234,2.279,2.983
1777147310764,2026-04-25T20:01:50.764049+00:00,4.7,63.71,76036.91,0.08,0.0,10.242,2.28,2.986
1777147311766,2026-04-25T20:01:51.766898+00:00,4.38,63.8,76036.91,0.08,0.0,10.242,2.282,2.989
1777147312770,2026-04-25T20:01:52.770192+00:00,4.46,63.74,76036.91,0.08,0.0,10.25,2.284,2.992
1777147313773,2026-04-25T20:01:53.773854+00:00,4.21,63.68,76036.91,0.08,0.0,10.25,2.286,2.994
1777147314777,2026-04-25T20:01:54.777007+00:00,4.4,63.61,76036.91,0.08,0.0,10.258,2.288,2.997
1777147315778,2026-04-25T20:01:55.778918+00:00,4.73,63.6,76036.91,0.08,0.0,10.258,2.289,3.0
1777147316781,2026-04-25T20:01:56.781941+00:00,4.55,63.64,76036.91,0.08,0.0,10.266,2.291,3.003
1777147317785,2026-04-25T20:01:57.785110+00:00,3.96,63.67,76036.91,0.08,0.0,10.266,2.293,3.005
1777147318788,2026-04-25T20:01:58.788144+00:00,4.45,63.65,76036.91,0.08,0.0,10.273,2.295,3.008
1777147319792,2026-04-25T20:01:59.792456+00:00,4.14,63.61,76036.91,0.08,0.0,10.273,2.296,3.011
1777147320794,2026-04-25T20:02:00.794703+00:00,4.46,63.58,76036.91,0.08,0.0,10.281,2.298,3.014
1777147321798,2026-04-25T20:02:01.798436+00:00,4.01,63.6,76036.91,0.08,0.0,10.281,2.3,3.016
1777147322801,2026-04-25T20:02:02.801278+00:00,4.35,63.63,76036.91,0.08,0.0,10.289,2.302,3.019
1777147323804,2026-04-25T20:02:03.804975+00:00,4.45,63.62,76036.91,0.08,0.0,10.289,2.304,3.022
1777147324807,2026-04-25T20:02:04.807481+00:00,39.32,63.65,76036.91,0.08,0.0,10.781,2.366,3.096
1777147325810,2026-04-25T20:02:05.810144+00:00,4.72,63.6,76036.91,0.08,0.0,10.781,2.367,3.098
1777147326815,2026-04-25T20:02:06.815522+00:00,5.5,63.65,76036.91,0.08,0.0,10.789,2.369,3.101
1777147327818,2026-04-25T20:02:07.818754+00:00,4.59,63.81,76036.91,0.08,0.0,10.789,2.371,3.104
1777147328821,2026-04-25T20:02:08.821975+00:00,4.59,63.63,76036.91,0.08,0.0,10.797,2.373,3.107
1777147329825,2026-04-25T20:02:09.825322+00:00,4.25,63.73,76036.91,0.08,0.0,10.797,2.375,3.109
1777147330828,2026-04-25T20:02:10.828079+00:00,5.1,63.58,76036.91,0.08,0.0,10.805,2.376,3.112
1777147331831,2026-04-25T20:02:11.831998+00:00,3.92,63.59,76036.91,0.08,0.0,10.805,2.378,3.115
1777147332835,2026-04-25T20:02:12.835099+00:00,4.66,63.69,76036.91,0.08,0.0,10.812,2.38,3.118
1777147333838,2026-04-25T20:02:13.838344+00:00,4.03,63.62,76036.91,0.08,0.0,10.812,2.382,3.12
1777147334841,2026-04-25T20:02:14.841464+00:00,4.09,63.67,76036.91,0.08,0.0,10.82,2.384,3.123
1777147335844,2026-04-25T20:02:15.844796+00:00,4.35,63.58,76036.91,0.08,0.0,10.82,2.385,3.126
1777147336847,2026-04-25T20:02:16.847532+00:00,4.3,63.66,76036.91,0.08,0.0,10.828,2.387,3.129
1777147337851,2026-04-25T20:02:17.851353+00:00,4.68,63.61,76036.91,0.08,0.0,10.828,2.389,3.131
1777147338854,2026-04-25T20:02:18.854174+00:00,4.59,63.65,76036.91,0.08,0.0,10.836,2.391,3.134
1777147339857,2026-04-25T20:02:19.857831+00:00,4.32,63.79,76036.91,0.08,0.0,10.836,2.392,3.137
1777147340860,2026-04-25T20:02:20.860691+00:00,5.25,63.52,76036.91,0.08,0.0,10.906,2.394,3.14
1777147341863,2026-04-25T20:02:21.863631+00:00,3.17,63.71,76036.91,0.08,0.0,10.906,2.394,3.14
1777147342866,2026-04-25T20:02:22.866512+00:00,3.38,63.54,76036.91,0.08,0.0,10.906,2.394,3.14
