timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1769810940180,2026-01-30T22:09:00.180904+00:00,16.84,52.3,15707.25,0.33,0.0,0.234,0.008,0.01
1769810941200,2026-01-30T22:09:01.200099+00:00,20.86,52.32,15707.25,0.33,0.0,0.234,0.01,0.013
1769810942212,2026-01-30T22:09:02.212895+00:00,21.42,52.33,15707.25,0.33,0.0,0.234,0.012,0.016
1769810943222,2026-01-30T22:09:03.222645+00:00,19.43,52.34,15707.25,0.33,0.0,0.234,0.013,0.018
1769810944232,2026-01-30T22:09:04.232066+00:00,21.16,52.39,15707.25,0.33,0.0,0.234,0.015,0.021
1769810945251,2026-01-30T22:09:05.251292+00:00,18.67,52.44,15707.25,0.33,0.0,0.234,0.017,0.023
1769810946258,2026-01-30T22:09:06.258869+00:00,20.82,52.39,15707.25,0.33,0.0,0.234,0.019,0.026
1769810947277,2026-01-30T22:09:07.277365+00:00,22.41,52.55,15707.25,0.33,0.0,0.234,0.02,0.028
1769810948289,2026-01-30T22:09:08.289323+00:00,21.5,52.46,15707.25,0.33,0.0,0.242,0.022,0.032
1769810949296,2026-01-30T22:09:09.296698+00:00,18.4,52.48,15707.25,0.33,0.0,0.242,0.023,0.033
1769810950302,2026-01-30T22:09:10.302645+00:00,19.71,52.5,15707.25,0.33,0.0,0.25,0.025,0.036
1769810951315,2026-01-30T22:09:11.315004+00:00,20.71,52.55,15707.25,0.33,0.0,0.25,0.027,0.039
1769810952339,2026-01-30T22:09:12.339327+00:00,19.91,52.46,15707.25,0.33,0.0,0.258,0.029,0.042
1769810953342,2026-01-30T22:09:13.342390+00:00,19.6,52.5,15707.25,0.33,0.0,0.258,0.031,0.044
1769810954363,2026-01-30T22:09:14.363412+00:00,20.21,52.53,15707.25,0.33,0.0,0.266,0.032,0.047
1769810955372,2026-01-30T22:09:15.372822+00:00,19.57,52.61,15707.25,0.33,0.0,0.266,0.034,0.05
1769810956373,2026-01-30T22:09:16.373141+00:00,32.83,53.05,15707.25,0.34,0.0,0.273,0.043,0.062
1769810957392,2026-01-30T22:09:17.392521+00:00,25.07,53.04,15707.25,0.34,0.0,0.273,0.047,0.069
1769810958402,2026-01-30T22:09:18.402132+00:00,27.49,53.14,15707.25,0.34,0.0,0.281,0.053,0.078
1769810959411,2026-01-30T22:09:19.411813+00:00,28.21,53.21,15707.25,0.34,0.0,0.281,0.058,0.086
1769810960423,2026-01-30T22:09:20.423520+00:00,28.01,53.12,15707.25,0.34,0.0,0.297,0.064,0.095
1769810961432,2026-01-30T22:09:21.432816+00:00,20.96,53.08,15707.25,0.34,0.0,0.297,0.066,0.097
1769810962442,2026-01-30T22:09:22.442287+00:00,24.45,53.17,15707.25,0.34,0.0,0.305,0.069,0.102
1769810963457,2026-01-30T22:09:23.457803+00:00,19.72,54.04,15707.25,0.34,0.0,0.305,0.071,0.104
1769810964474,2026-01-30T22:09:24.474320+00:00,22.87,53.12,15707.25,0.34,0.0,0.312,0.074,0.109
1769810965479,2026-01-30T22:09:25.479138+00:00,19.0,53.14,15707.25,0.34,0.0,0.312,0.075,0.111
1769810966494,2026-01-30T22:09:26.494790+00:00,21.42,53.11,15707.25,0.34,0.0,0.32,0.078,0.114
1769810967506,2026-01-30T22:09:27.506800+00:00,18.89,53.1,15707.25,0.34,0.0,0.32,0.079,0.117
1769810968511,2026-01-30T22:09:28.511418+00:00,21.89,53.16,15707.25,0.34,0.0,0.328,0.082,0.12
1769810969535,2026-01-30T22:09:29.535073+00:00,19.34,53.42,15707.25,0.34,0.0,0.328,0.084,0.122
1769810970540,2026-01-30T22:09:30.540596+00:00,21.42,53.2,15707.25,0.34,0.0,0.336,0.087,0.125
1769810971547,2026-01-30T22:09:31.547107+00:00,19.95,53.27,15707.25,0.34,0.0,0.336,0.089,0.127
1769810972561,2026-01-30T22:09:32.561054+00:00,20.93,53.23,15707.25,0.34,0.0,0.344,0.091,0.13
1769810973578,2026-01-30T22:09:33.578485+00:00,21.7,53.15,15707.25,0.34,0.0,0.344,0.093,0.133
1769810974580,2026-01-30T22:09:34.580412+00:00,29.77,53.42,15707.25,0.34,0.0,0.352,0.101,0.143
1769810975598,2026-01-30T22:09:35.598639+00:00,25.16,53.41,15707.25,0.34,0.0,0.352,0.105,0.151
1769810976613,2026-01-30T22:09:36.613056+00:00,37.14,53.57,15707.25,0.34,0.0,0.367,0.119,0.169
1769810977614,2026-01-30T22:09:37.614658+00:00,25.6,53.64,15707.25,0.34,0.0,0.367,0.124,0.176
1769810978632,2026-01-30T22:09:38.632692+00:00,38.14,53.63,15707.25,0.34,0.0,0.391,0.137,0.195
1769810979643,2026-01-30T22:09:39.643353+00:00,22.29,53.59,15707.25,0.34,0.0,0.391,0.141,0.202
1769810980652,2026-01-30T22:09:40.652621+00:00,25.98,53.52,15707.25,0.34,0.0,0.414,0.146,0.209
1769810981663,2026-01-30T22:09:41.663355+00:00,19.9,53.54,15707.25,0.34,0.0,0.414,0.147,0.211
1769810982668,2026-01-30T22:09:42.668329+00:00,20.05,53.52,15707.25,0.34,0.0,0.43,0.149,0.214
1769810983689,2026-01-30T22:09:43.689477+00:00,20.67,53.51,15707.25,0.34,0.0,0.43,0.151,0.217
1769810984697,2026-01-30T22:09:44.697323+00:00,19.99,53.55,15707.25,0.34,0.0,0.445,0.153,0.22
