t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0001,-1.9999,-1.9999,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0014,0.0001,0.0029,-0.0000,0.0000,0.0028,2.0037,-1.9965,-1.9957,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0065,0.0005,0.0131,-0.0000,0.0000,0.0131,2.0172,-1.9832,-1.9816,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0145,0.0015,0.0291,-0.0000,0.0000,0.0290,2.0385,-1.9620,-1.9603,2.0001,1.9999,1.9999,-1.9999,-2.0000
0.40,0.0228,0.0034,0.0456,-0.0001,0.0001,0.0455,2.0605,-1.9399,-1.9383,2.0001,1.9995,1.9995,-1.9995,-2.0000
0.50,0.0310,0.0061,0.0619,-0.0003,0.0003,0.0619,2.0823,-1.9181,-1.9165,2.0001,1.9986,1.9988,-1.9988,-2.0000
0.60,0.0393,0.0096,0.0784,-0.0006,0.0006,0.0784,2.1044,-1.8961,-1.8945,2.0001,1.9975,1.9978,-1.9978,-2.0000
0.70,0.0465,0.0139,0.0957,-0.0010,0.0010,0.0956,2.1263,-1.8741,-1.8726,2.0030,1.9962,1.9967,-1.9968,-2.0000
0.80,0.0499,0.0187,0.1149,-0.0014,0.0014,0.1149,2.1478,-1.8526,-1.8511,2.0155,1.9948,1.9955,-1.9958,-2.0000
0.90,0.0499,0.0237,0.1354,-0.0018,0.0018,0.1354,2.1682,-1.8322,-1.8306,2.0363,1.9935,1.9942,-1.9951,-2.0000
1.00,0.0492,0.0286,0.1559,-0.0023,0.0023,0.1558,2.1880,-1.8123,-1.8105,2.0582,1.9924,1.9932,-1.9948,-1.9999
1.10,0.0487,0.0335,0.1767,-0.0027,0.0027,0.1766,2.2082,-1.7908,-1.7908,2.0802,1.9916,1.9924,-1.9950,-1.9997
1.20,0.0482,0.0384,0.1974,-0.0031,0.0031,0.1973,2.2282,-1.7690,-1.7716,2.1020,1.9911,1.9918,-1.9957,-1.9995
1.30,0.0475,0.0432,0.2182,-0.0034,0.0034,0.2181,2.2497,-1.7483,-1.7526,2.1240,1.9908,1.9915,-1.9968,-1.9992
1.40,0.0470,0.0479,0.2394,-0.0038,0.0038,0.2393,2.2715,-1.7280,-1.7320,2.1460,1.9908,1.9914,-1.9982,-1.9990
1.50,0.0466,0.0526,0.2608,-0.0041,0.0041,0.2607,2.2932,-1.7080,-1.7101,2.1681,1.9909,1.9915,-1.9998,-1.9989
1.60,0.0462,0.0572,0.2821,-0.0043,0.0043,0.2820,2.3139,-1.6875,-1.6882,2.1901,1.9911,1.9917,-2.0012,-1.9987
1.70,0.0459,0.0618,0.3035,-0.0044,0.0044,0.3034,2.3344,-1.6665,-1.6662,2.2121,1.9913,1.9919,-2.0022,-1.9987
1.80,0.0456,0.0664,0.3250,-0.0045,0.0045,0.3250,2.3554,-1.6451,-1.6442,2.2342,1.9914,1.9920,-2.0027,-1.9986
1.90,0.0455,0.0709,0.3468,-0.0045,0.0045,0.3467,2.3768,-1.6236,-1.6222,2.2562,1.9914,1.9920,-2.0028,-1.9987
2.00,0.0454,0.0755,0.3686,-0.0045,0.0045,0.3685,2.3984,-1.6020,-1.6003,2.2782,1.9913,1.9919,-2.0024,-1.9987
2.10,0.0453,0.0800,0.3904,-0.0044,0.0044,0.3904,2.4201,-1.5802,-1.5785,2.3002,1.9911,1.9917,-2.0017,-1.9988
2.20,0.0453,0.0846,0.4123,-0.0044,0.0044,0.4122,2.4419,-1.5585,-1.5567,2.3222,1.9908,1.9915,-2.0009,-1.9989
2.30,0.0453,0.0891,0.4341,-0.0043,0.0043,0.4341,2.4638,-1.5366,-1.5348,2.3442,1.9906,1.9912,-2.0000,-1.9990
2.40,0.0453,0.0936,0.4560,-0.0042,0.0042,0.4559,2.4856,-1.5148,-1.5130,2.3661,1.9904,1.9911,-1.9993,-1.9991
2.50,0.0453,0.0981,0.4779,-0.0042,0.0042,0.4778,2.5075,-1.4929,-1.4911,2.3881,1.9904,1.9910,-1.9988,-1.9992
2.60,0.0452,0.1027,0.4998,-0.0041,0.0041,0.4997,2.5294,-1.4710,-1.4692,2.4101,1.9904,1.9910,-1.9985,-1.9993
2.70,0.0451,0.1072,0.5216,-0.0040,0.0040,0.5216,2.5513,-1.4491,-1.4479,2.4321,1.9905,1.9912,-1.9985,-1.9993
2.80,0.0450,0.1117,0.5433,-0.0040,0.0040,0.5433,2.5732,-1.4271,-1.4269,2.4541,1.9907,1.9913,-1.9987,-1.9994
2.90,0.0446,0.1162,0.5647,-0.0040,0.0040,0.5647,2.5941,-1.4051,-1.4062,2.4761,1.9910,1.9916,-1.9990,-1.9994
3.00,0.0443,0.1206,0.5862,-0.0039,0.0039,0.5862,2.6158,-1.3831,-1.3860,2.4982,1.9912,1.9918,-1.9993,-1.9994
3.10,0.0441,0.1250,0.6078,-0.0039,0.0039,0.6077,2.6379,-1.3611,-1.3657,2.5202,1.9915,1.9920,-1.9997,-1.9994
3.20,0.0439,0.1294,0.6295,-0.0039,0.0039,0.6294,2.6599,-1.3403,-1.3439,2.5422,1.9916,1.9922,-2.0000,-1.9994
3.30,0.0437,0.1338,0.6511,-0.0039,0.0039,0.6510,2.6814,-1.3192,-1.3219,2.5641,1.9917,1.9923,-2.0002,-1.9994
3.40,0.0436,0.1382,0.6729,-0.0039,0.0039,0.6728,2.7029,-1.2977,-1.2999,2.5861,1.9917,1.9923,-2.0003,-1.9994
3.50,0.0435,0.1425,0.6947,-0.0039,0.0039,0.6946,2.7245,-1.2759,-1.2779,2.6081,1.9916,1.9923,-2.0003,-1.9993
3.60,0.0435,0.1469,0.7166,-0.0040,0.0040,0.7165,2.7462,-1.2541,-1.2559,2.6301,1.9915,1.9921,-2.0001,-1.9993
3.70,0.0434,0.1512,0.7385,-0.0040,0.0040,0.7385,2.7681,-1.2323,-1.2339,2.6522,1.9913,1.9920,-2.0000,-1.9992
3.80,0.0434,0.1556,0.7604,-0.0040,0.0040,0.7604,2.7900,-1.2104,-1.2119,2.6742,1.9911,1.9918,-1.9998,-1.9992
3.90,0.0434,0.1599,0.7824,-0.0040,0.0040,0.7824,2.8119,-1.1885,-1.1899,2.6962,1.9910,1.9917,-1.9996,-1.9992
4.00,0.0434,0.1643,0.8044,-0.0041,0.0041,0.8043,2.8338,-1.1666,-1.1679,2.7181,1.9909,1.9915,-1.9995,-1.9992
4.10,0.0434,0.1686,0.8263,-0.0041,0.0041,0.8263,2.8558,-1.1446,-1.1459,2.7401,1.9908,1.9915,-1.9994,-1.9991
4.20,0.0434,0.1729,0.8483,-0.0041,0.0041,0.8483,2.8778,-1.1226,-1.1240,2.7621,1.9908,1.9914,-1.9994,-1.9991
4.30,0.0434,0.1773,0.8703,-0.0041,0.0041,0.8702,2.8997,-1.1006,-1.1020,2.7841,1.9909,1.9914,-1.9995,-1.9991
4.40,0.0434,0.1816,0.8923,-0.0041,0.0041,0.8922,2.9217,-1.0787,-1.0800,2.8061,1.9909,1.9915,-1.9996,-1.9991
4.50,0.0434,0.1860,0.9143,-0.0041,0.0041,0.9142,2.9437,-1.0567,-1.0582,2.8281,1.9910,1.9915,-1.9997,-1.9991
4.60,0.0433,0.1903,0.9360,-0.0041,0.0041,0.9360,2.9652,-1.0347,-1.0365,2.8501,1.9910,1.9916,-1.9998,-1.9991
4.70,0.0432,0.1946,0.9579,-0.0041,0.0041,0.9578,2.9870,-1.0126,-1.0151,2.8721,1.9911,1.9917,-1.9999,-1.9991
4.80,0.0431,0.1989,0.9797,-0.0041,0.0040,0.9796,3.0090,-0.9906,-0.9938,2.8941,1.9911,1.9917,-1.9999,-1.9991
4.90,0.0430,0.2032,1.0016,-0.0040,0.0040,1.0015,3.0310,-0.9689,-0.9718,2.9161,1.9911,1.9918,-1.9999,-1.9992
5.00,0.0430,0.2075,1.0235,-0.0040,0.0040,1.0234,3.0529,-0.9473,-0.9498,2.9380,1.9911,1.9918,-1.9998,-1.9992
5.10,0.0430,0.2118,1.0454,-0.0040,0.0040,1.0454,3.0749,-0.9255,-0.9278,2.9601,1.9911,1.9918,-1.9998,-1.9992
5.20,0.0430,0.2161,1.0674,-0.0040,0.0040,1.0674,3.0969,-0.9035,-0.9058,2.9821,1.9911,1.9918,-1.9997,-1.9992
5.30,0.0430,0.2204,1.0894,-0.0040,0.0040,1.0893,3.1189,-0.8816,-0.8838,3.0041,1.9911,1.9917,-1.9997,-1.9992
5.40,0.0430,0.2247,1.1114,-0.0040,0.0040,1.1113,3.1408,-0.8596,-0.8618,3.0261,1.9910,1.9917,-1.9996,-1.9991
5.50,0.0430,0.2290,1.1334,-0.0040,0.0040,1.1333,3.1628,-0.8376,-0.8398,3.0481,1.9910,1.9917,-1.9996,-1.9991
5.60,0.0430,0.2333,1.1553,-0.0040,0.0040,1.1553,3.1848,-0.8156,-0.8178,3.0700,1.9910,1.9917,-1.9996,-1.9991
5.70,0.0430,0.2376,1.1773,-0.0040,0.0040,1.1773,3.2068,-0.7936,-0.7958,3.0920,1.9910,1.9916,-1.9996,-1.9991
