t_rel_s,formation_error,cum_damage,centroid_x,centroid_y,cross_track,along_track,x_robot1,x_robot2,x_robot3,x_robot4,y_robot1,y_robot2,y_robot3,y_robot4
0.00,0.0000,0.0000,0.0001,-0.0000,0.0000,0.0000,2.0001,-2.0000,-2.0000,2.0001,2.0000,2.0000,-2.0000,-2.0000
0.10,0.0002,0.0000,0.0033,-0.0000,0.0000,0.0032,2.0036,-1.9970,-1.9969,2.0033,2.0000,2.0000,-2.0000,-2.0000
0.20,0.0005,0.0000,0.0163,-0.0000,0.0000,0.0162,2.0172,-1.9844,-1.9840,2.0165,2.0000,2.0000,-2.0000,-2.0000
0.30,0.0007,0.0001,0.0374,-0.0000,0.0000,0.0374,2.0385,-1.9634,-1.9630,2.0376,2.0000,2.0000,-2.0000,-2.0000
0.40,0.0007,0.0002,0.0593,-0.0000,0.0000,0.0593,2.0605,-1.9415,-1.9412,2.0595,1.9998,1.9998,-1.9998,-1.9998
0.50,0.0009,0.0003,0.0812,-0.0000,0.0000,0.0811,2.0823,-1.9196,-1.9193,2.0813,1.9994,1.9995,-1.9995,-1.9994
0.60,0.0012,0.0004,0.1031,-0.0000,0.0000,0.1031,2.1043,-1.8977,-1.8974,2.1033,1.9989,1.9991,-1.9990,-1.9990
0.70,0.0017,0.0005,0.1253,-0.0000,0.0000,0.1252,2.1264,-1.8755,-1.8752,2.1254,1.9984,1.9986,-1.9986,-1.9984
0.80,0.0022,0.0007,0.1473,-0.0000,0.0000,0.1472,2.1484,-1.8535,-1.8532,2.1474,1.9979,1.9981,-1.9981,-1.9979
0.90,0.0026,0.0009,0.1692,-0.0000,0.0000,0.1692,2.1704,-1.8315,-1.8313,2.1694,1.9974,1.9976,-1.9976,-1.9974
1.00,0.0031,0.0012,0.1912,-0.0000,0.0000,0.1912,2.1924,-1.8095,-1.8093,2.1913,1.9969,1.9971,-1.9971,-1.9969
1.10,0.0035,0.0016,0.2133,-0.0000,0.0000,0.2132,2.2144,-1.7875,-1.7872,2.2134,1.9964,1.9967,-1.9967,-1.9964
1.20,0.0039,0.0019,0.2353,-0.0000,0.0000,0.2352,2.2364,-1.7655,-1.7652,2.2354,1.9960,1.9963,-1.9963,-1.9961
1.30,0.0042,0.0023,0.2572,-0.0000,0.0000,0.2571,2.2583,-1.7436,-1.7433,2.2573,1.9957,1.9960,-1.9960,-1.9957
1.40,0.0045,0.0028,0.2792,-0.0000,0.0000,0.2792,2.2803,-1.7216,-1.7212,2.2793,1.9954,1.9958,-1.9958,-1.9955
1.50,0.0047,0.0032,0.3012,-0.0000,0.0000,0.3012,2.3024,-1.6996,-1.6992,2.3014,1.9952,1.9956,-1.9956,-1.9952
1.60,0.0048,0.0037,0.3233,-0.0000,0.0000,0.3232,2.3244,-1.6776,-1.6771,2.3234,1.9951,1.9954,-1.9954,-1.9951
1.70,0.0049,0.0042,0.3453,-0.0000,0.0000,0.3453,2.3464,-1.6556,-1.6551,2.3455,1.9950,1.9953,-1.9953,-1.9950
1.80,0.0050,0.0047,0.3673,-0.0000,0.0000,0.3672,2.3684,-1.6336,-1.6331,2.3675,1.9949,1.9953,-1.9953,-1.9949
1.90,0.0050,0.0052,0.3893,-0.0000,0.0000,0.3893,2.3904,-1.6116,-1.6111,2.3895,1.9949,1.9952,-1.9952,-1.9949
2.00,0.0050,0.0057,0.4112,-0.0000,0.0000,0.4112,2.4123,-1.5897,-1.5892,2.4115,1.9949,1.9952,-1.9952,-1.9949
2.10,0.0050,0.0062,0.4332,-0.0000,0.0000,0.4332,2.4343,-1.5676,-1.5672,2.4335,1.9949,1.9953,-1.9953,-1.9949
2.20,0.0049,0.0067,0.4551,-0.0000,0.0000,0.4550,2.4562,-1.5458,-1.5454,2.4553,1.9950,1.9953,-1.9953,-1.9950
2.30,0.0049,0.0071,0.4772,-0.0000,0.0000,0.4771,2.4782,-1.5237,-1.5233,2.4774,1.9950,1.9953,-1.9954,-1.9950
2.40,0.0048,0.0076,0.4993,-0.0000,0.0000,0.4992,2.5003,-1.5016,-1.5012,2.4995,1.9951,1.9954,-1.9954,-1.9951
2.50,0.0048,0.0081,0.5212,-0.0000,0.0000,0.5211,2.5223,-1.4797,-1.4793,2.5214,1.9951,1.9954,-1.9955,-1.9951
2.60,0.0047,0.0086,0.5432,-0.0000,0.0000,0.5431,2.5443,-1.4577,-1.4573,2.5434,1.9952,1.9955,-1.9955,-1.9952
2.70,0.0047,0.0090,0.5652,-0.0000,0.0000,0.5652,2.5663,-1.4356,-1.4352,2.5654,1.9952,1.9955,-1.9956,-1.9952
2.80,0.0046,0.0095,0.5872,-0.0000,0.0000,0.5872,2.5883,-1.4136,-1.4132,2.5874,1.9953,1.9956,-1.9956,-1.9953
2.90,0.0046,0.0100,0.6092,-0.0000,0.0000,0.6091,2.6103,-1.3917,-1.3912,2.6094,1.9953,1.9956,-1.9956,-1.9953
3.00,0.0046,0.0104,0.6312,-0.0000,0.0000,0.6311,2.6323,-1.3697,-1.3692,2.6313,1.9953,1.9956,-1.9957,-1.9954
3.10,0.0045,0.0109,0.6532,-0.0000,0.0000,0.6531,2.6543,-1.3477,-1.3472,2.6534,1.9954,1.9957,-1.9957,-1.9954
3.20,0.0045,0.0113,0.6752,-0.0000,0.0000,0.6751,2.6763,-1.3257,-1.3252,2.6754,1.9954,1.9957,-1.9957,-1.9954
3.30,0.0045,0.0118,0.6972,-0.0000,0.0000,0.6972,2.6983,-1.3036,-1.3032,2.6974,1.9954,1.9957,-1.9957,-1.9954
3.40,0.0045,0.0122,0.7192,-0.0000,0.0000,0.7191,2.7203,-1.2817,-1.2813,2.7194,1.9954,1.9957,-1.9957,-1.9954
3.50,0.0045,0.0127,0.7412,-0.0000,0.0000,0.7411,2.7423,-1.2597,-1.2593,2.7414,1.9954,1.9957,-1.9957,-1.9954
3.60,0.0045,0.0131,0.7632,-0.0000,0.0000,0.7631,2.7642,-1.2377,-1.2373,2.7634,1.9954,1.9957,-1.9957,-1.9954
3.70,0.0045,0.0136,0.7852,-0.0000,0.0000,0.7851,2.7863,-1.2157,-1.2153,2.7854,1.9954,1.9957,-1.9957,-1.9954
3.80,0.0045,0.0140,0.8072,-0.0000,0.0000,0.8071,2.8083,-1.1937,-1.1933,2.8074,1.9954,1.9957,-1.9957,-1.9954
3.90,0.0045,0.0145,0.8292,-0.0000,0.0000,0.8291,2.8303,-1.1717,-1.1713,2.8294,1.9954,1.9957,-1.9957,-1.9954
4.00,0.0045,0.0149,0.8512,-0.0000,0.0000,0.8511,2.8523,-1.1497,-1.1493,2.8514,1.9954,1.9957,-1.9957,-1.9954
4.10,0.0045,0.0154,0.8731,-0.0000,0.0000,0.8731,2.8742,-1.1277,-1.1273,2.8733,1.9954,1.9957,-1.9957,-1.9954
4.20,0.0045,0.0158,0.8951,-0.0000,0.0000,0.8951,2.8962,-1.1057,-1.1053,2.8953,1.9954,1.9957,-1.9957,-1.9954
4.30,0.0045,0.0163,0.9171,-0.0000,0.0000,0.9171,2.9182,-1.0837,-1.0833,2.9173,1.9954,1.9957,-1.9957,-1.9954
4.40,0.0045,0.0168,0.9392,-0.0000,0.0000,0.9391,2.9403,-1.0617,-1.0613,2.9394,1.9954,1.9957,-1.9957,-1.9954
