t_rel_s,wall_iso,pct,completed,total,done_robot1,done_robot2,done_robot3,done_robot4,healthy,event
0.00,2026-06-19T08:55:46Z,0.00,0,32,0,0,0,0,4,mission_start
0.50,2026-06-19T08:55:47Z,0.00,0,32,0,0,0,0,4,
1.00,2026-06-19T08:55:47Z,0.00,0,32,0,0,0,0,4,
1.50,2026-06-19T08:55:48Z,0.00,0,32,0,0,0,0,4,
2.00,2026-06-19T08:55:48Z,0.00,0,32,0,0,0,0,4,
2.50,2026-06-19T08:55:49Z,0.00,0,32,0,0,0,0,4,
3.00,2026-06-19T08:55:49Z,0.00,0,32,0,0,0,0,4,
3.50,2026-06-19T08:55:50Z,0.00,0,32,0,0,0,0,4,
4.00,2026-06-19T08:55:50Z,0.00,0,32,0,0,0,0,4,
4.50,2026-06-19T08:55:51Z,0.00,0,32,0,0,0,0,4,
5.00,2026-06-19T08:55:51Z,0.00,0,32,0,0,0,0,4,
5.50,2026-06-19T08:55:52Z,0.00,0,32,0,0,0,0,4,
6.00,2026-06-19T08:55:52Z,0.00,0,32,0,0,0,0,4,
6.50,2026-06-19T08:55:53Z,0.00,0,32,0,0,0,0,4,
7.00,2026-06-19T08:55:53Z,0.00,0,32,0,0,0,0,4,
7.50,2026-06-19T08:55:54Z,0.00,0,32,0,0,0,0,4,
8.00,2026-06-19T08:55:54Z,0.00,0,32,0,0,0,0,4,
8.50,2026-06-19T08:55:55Z,0.00,0,32,0,0,0,0,4,
9.00,2026-06-19T08:55:55Z,0.00,0,32,0,0,0,0,4,
9.50,2026-06-19T08:55:56Z,0.00,0,32,0,0,0,0,4,
10.00,2026-06-19T08:55:56Z,0.00,0,32,0,0,0,0,4,
10.50,2026-06-19T08:55:57Z,0.00,0,32,0,0,0,0,4,
11.00,2026-06-19T08:55:57Z,0.00,0,32,0,0,0,0,4,
11.50,2026-06-19T08:55:58Z,0.00,0,32,0,0,0,0,4,
12.00,2026-06-19T08:55:58Z,0.00,0,32,0,0,0,0,4,
12.50,2026-06-19T08:55:59Z,0.00,0,32,0,0,0,0,4,
13.00,2026-06-19T08:55:59Z,0.00,0,32,0,0,0,0,4,
13.50,2026-06-19T08:56:00Z,0.00,0,32,0,0,0,0,4,
14.00,2026-06-19T08:56:00Z,0.00,0,32,0,0,0,0,4,
14.50,2026-06-19T08:56:01Z,0.00,0,32,0,0,0,0,4,
15.00,2026-06-19T08:56:01Z,0.00,0,32,0,0,0,0,4,
15.50,2026-06-19T08:56:02Z,0.00,0,32,0,0,0,0,4,
16.00,2026-06-19T08:56:02Z,0.00,0,32,0,0,0,0,4,
16.50,2026-06-19T08:56:03Z,6.25,2,32,1,0,0,1,4,
17.00,2026-06-19T08:56:03Z,6.25,2,32,1,0,0,1,4,
17.50,2026-06-19T08:56:04Z,6.25,2,32,1,0,0,1,4,
18.00,2026-06-19T08:56:04Z,6.25,2,32,1,0,0,1,4,
18.50,2026-06-19T08:56:05Z,12.50,4,32,1,1,1,1,4,
19.00,2026-06-19T08:56:05Z,12.50,4,32,1,1,1,1,4,
19.50,2026-06-19T08:56:06Z,12.50,4,32,1,1,1,1,4,
20.00,2026-06-19T08:56:06Z,12.50,4,32,1,1,1,1,4,
20.50,2026-06-19T08:56:07Z,12.50,4,32,1,1,1,1,4,
21.00,2026-06-19T08:56:07Z,12.50,4,32,1,1,1,1,4,
21.50,2026-06-19T08:56:08Z,12.50,4,32,1,1,1,1,4,
22.00,2026-06-19T08:56:08Z,12.50,4,32,1,1,1,1,4,
22.50,2026-06-19T08:56:09Z,12.50,4,32,1,1,1,1,4,
23.00,2026-06-19T08:56:09Z,12.50,4,32,1,1,1,1,4,
23.50,2026-06-19T08:56:10Z,12.50,4,32,1,1,1,1,4,
24.00,2026-06-19T08:56:10Z,12.50,4,32,1,1,1,1,4,
24.50,2026-06-19T08:56:11Z,12.50,4,32,1,1,1,1,4,
25.00,2026-06-19T08:56:11Z,12.50,4,32,1,1,1,1,4,
25.50,2026-06-19T08:56:12Z,12.50,4,32,1,1,1,1,4,
26.00,2026-06-19T08:56:12Z,12.50,4,32,1,1,1,1,4,
