robot,topic,ros_stamp_ns,wall_stamp_ns
robot1,/robot1/scan,694998000000,1779437363703348510
robot1,/robot1/scan,695198000000,1779437363904061790
robot1,/robot1/scan,695398000000,1779437364104018346
robot1,/robot1/scan,695598000000,1779437364304181623
robot1,/robot1/scan,695798000000,1779437364503898482
robot1,/robot1/scan,695998000000,1779437364703894632
robot1,/robot1/scan,696198000000,1779437364904027217
robot1,/robot1/scan,696398000000,1779437365103819331
robot1,/robot1/scan,696598000000,1779437365304028583
robot1,/robot1/scan,696798000000,1779437365503751782
robot1,/robot1/scan,696998000000,1779437365703788708
robot1,/robot1/scan,697198000000,1779437365903681081
robot1,/robot1/scan,697398000000,1779437366103897530
robot1,/robot1/scan,697598000000,1779437366303873302
robot1,/robot1/scan,697798000000,1779437366504066109
robot1,/robot1/scan,697998000000,1779437366704087636
robot1,/robot1/scan,698198000000,1779437366904124087
robot1,/robot1/scan,698398000000,1779437367104117687
robot1,/robot1/scan,698598000000,1779437367305322293
robot1,/robot1/scan,698798000000,1779437367505024078
robot1,/robot1/scan,698998000000,1779437367704982727
robot1,/robot1/scan,699198000000,1779437367905265469
robot1,/robot1/scan,699398000000,1779437368105606699
robot1,/robot1/scan,699598000000,1779437368305716940
robot1,/robot1/scan,699798000000,1779437368506268830
robot1,/robot1/scan,699998000000,1779437368705820470
robot1,/robot1/scan,700198000000,1779437368906079936
robot1,/robot1/scan,700398000000,1779437369106011092
robot1,/robot1/scan,700598000000,1779437369306456646
robot1,/robot1/scan,700798000000,1779437369505770625
robot1,/robot1/scan,700998000000,1779437369705700107
robot1,/robot1/scan,701198000000,1779437369905682195
robot1,/robot1/scan,701398000000,1779437370106224296
robot1,/robot1/scan,701598000000,1779437370306169454
robot1,/robot1/scan,701798000000,1779437370506279797
robot1,/robot1/scan,701998000000,1779437370706175978
robot1,/robot1/scan,702198000000,1779437370906073415
robot1,/robot1/scan,702398000000,1779437371106021673
robot1,/robot1/scan,702598000000,1779437371306204814
robot1,/robot1/scan,702798000000,1779437371506078822
robot1,/robot1/scan,702998000000,1779437371706007867
robot1,/robot1/scan,703198000000,1779437371906104887
robot1,/robot1/scan,703398000000,1779437372106010152
robot1,/robot1/scan,703598000000,1779437372306251992
robot1,/robot1/scan,703798000000,1779437372506364154
robot1,/robot1/scan,703998000000,1779437372706717634
robot1,/robot1/scan,704198000000,1779437372906602689
robot1,/robot1/scan,704398000000,1779437373106588931
robot1,/robot1/scan,704598000000,1779437373306576273
robot1,/robot1/scan,704798000000,1779437373506676242
robot1,/robot1/scan,704998000000,1779437373706679306
robot1,/robot1/scan,705198000000,1779437373906415059
robot1,/robot1/scan,705398000000,1779437374106661974
robot1,/robot1/scan,705598000000,1779437374306799005
robot1,/robot1/scan,705798000000,1779437374507442929
robot1,/robot1/scan,705998000000,1779437374707253369
robot1,/robot1/scan,706198000000,1779437374906952171
robot1,/robot1/scan,706398000000,1779437375107159729
robot1,/robot1/scan,706598000000,1779437375306971686
robot1,/robot1/scan,706798000000,1779437375506835582
robot1,/robot1/scan,706998000000,1779437375706706641
robot1,/robot1/scan,707198000000,1779437375906689735
robot1,/robot1/scan,707398000000,1779437376106612449
robot1,/robot1/scan,707598000000,1779437376306970204
robot1,/robot1/scan,707798000000,1779437376507086707
robot1,/robot1/scan,707998000000,1779437376706801590
robot1,/robot1/scan,708198000000,1779437376906861684
robot1,/robot1/scan,708398000000,1779437377106950642
robot1,/robot1/scan,708598000000,1779437377306709988
robot1,/robot1/scan,708798000000,1779437377507157911
robot1,/robot1/scan,708998000000,1779437377707064807
robot1,/robot1/scan,709198000000,1779437377907305407
robot1,/robot1/scan,709398000000,1779437378107259418
robot1,/robot1/scan,709598000000,1779437378307437508
robot1,/robot1/scan,709798000000,1779437378508106380
robot1,/robot1/scan,709998000000,1779437378707843798
robot1,/robot1/scan,710198000000,1779437378908392794
robot1,/robot1/scan,710398000000,1779437379107899724
robot1,/robot1/scan,710598000000,1779437379308299559
robot1,/robot1/scan,710798000000,1779437379508194217
robot1,/robot1/scan,710998000000,1779437379708290498
robot1,/robot1/scan,711198000000,1779437379908177712
robot1,/robot1/scan,711398000000,1779437380109038194
robot1,/robot1/scan,711598000000,1779437380309198166
robot1,/robot1/scan,711798000000,1779437380508882766
robot1,/robot1/scan,711998000000,1779437380709064198
robot1,/robot1/scan,712198000000,1779437380909228949
robot1,/robot1/scan,712398000000,1779437381109177628
robot1,/robot1/scan,712598000000,1779437381309079833
robot1,/robot1/scan,712798000000,1779437381509280082
robot1,/robot1/scan,712998000000,1779437381709102553
robot1,/robot1/scan,713198000000,1779437381909393864
robot1,/robot1/scan,713398000000,1779437382112051389
robot1,/robot1/scan,713598000000,1779437382311320152
robot1,/robot1/scan,713798000000,1779437382510187707
robot1,/robot1/scan,713998000000,1779437382709501462
robot1,/robot1/scan,714198000000,1779437382909377286
robot1,/robot1/scan,714398000000,1779437383109435143
robot1,/robot1/scan,714598000000,1779437383309500644
robot1,/robot1/scan,714798000000,1779437383509490946
robot1,/robot1/scan,714998000000,1779437383709577648
robot1,/robot1/scan,715198000000,1779437383909856317
robot1,/robot1/scan,715398000000,1779437384109949843
robot1,/robot1/scan,715598000000,1779437384309846965
robot1,/robot1/scan,715798000000,1779437384509650966
robot1,/robot1/scan,715998000000,1779437384709500677
robot1,/robot1/scan,716198000000,1779437384909564211
robot1,/robot1/scan,716398000000,1779437385109845156
robot1,/robot1/scan,716598000000,1779437385309807298
