robot,topic,ros_stamp_ns,wall_stamp_ns
robot1,/robot1/scan,495408000000,1780060748466851652
robot1,/robot1/scan,495433000000,1780060748492178840
robot1,/robot1/scan,495457000000,1780060748516195495
robot1,/robot1/scan,495483000000,1780060748542409836
robot1,/robot1/scan,495509000000,1780060748567694770
robot1,/robot1/scan,495534000000,1780060748592748019
robot1,/robot1/scan,495559000000,1780060748617148493
robot1,/robot1/scan,495584000000,1780060748642408526
robot1,/robot1/scan,495609000000,1780060748667317387
robot1,/robot1/scan,495634000000,1780060748692445627
robot1,/robot1/scan,495659000000,1780060748717556414
robot1,/robot1/scan,495683000000,1780060748742034272
robot1,/robot1/scan,495708000000,1780060748767090881
robot1,/robot1/scan,495733000000,1780060748791940370
robot1,/robot1/scan,495758000000,1780060748816835389
robot1,/robot1/scan,495783000000,1780060748842192049
robot1,/robot1/scan,495808000000,1780060748867009890
robot1,/robot1/scan,495833000000,1780060748892047125
robot1,/robot1/scan,495859000000,1780060748917186517
robot1,/robot1/scan,495884000000,1780060748942086902
robot1,/robot1/scan,495909000000,1780060748967198528
robot1,/robot1/scan,495933000000,1780060748991833321
robot1,/robot1/scan,495958000000,1780060749017055421
robot1,/robot1/scan,495984000000,1780060749042170693
robot1,/robot1/scan,496008000000,1780060749066925521
robot1,/robot1/scan,496032000000,1780060749090444525
robot1,/robot1/scan,496059000000,1780060749117204156
robot1,/robot1/scan,496083000000,1780060749141989962
robot1,/robot1/scan,496108000000,1780060749166988679
robot1,/robot1/scan,496134000000,1780060749192031608
robot1,/robot1/scan,496158000000,1780060749217039207
robot1,/robot1/scan,496184000000,1780060749242144199
robot1,/robot1/scan,496208000000,1780060749266755793
robot1,/robot1/scan,496235000000,1780060749293382105
robot1,/robot1/scan,496258000000,1780060749316897971
robot1,/robot1/scan,496284000000,1780060749342243954
robot1,/robot1/scan,496308000000,1780060749367076110
robot1,/robot1/scan,496334000000,1780060749392158359
robot1,/robot1/scan,496359000000,1780060749417005844
robot1,/robot1/scan,496384000000,1780060749442205677
robot1,/robot1/scan,496408000000,1780060749466947130
robot1,/robot1/scan,496434000000,1780060749492375940
robot1,/robot1/scan,496459000000,1780060749518049494
robot1,/robot1/scan,496509000000,1780060749567355417
robot1,/robot1/scan,496533000000,1780060749591991198
robot1,/robot1/scan,496558000000,1780060749616898577
robot1,/robot1/scan,496584000000,1780060749642337281
robot1,/robot1/scan,496609000000,1780060749667087485
robot1,/robot1/scan,496633000000,1780060749692073151
robot1,/robot1/scan,496659000000,1780060749717984908
robot1,/robot1/scan,496684000000,1780060749742381879
robot1,/robot1/scan,496707000000,1780060749765906582
robot1,/robot1/scan,496733000000,1780060749792446466
robot1,/robot1/scan,496758000000,1780060749817122258
robot1,/robot1/scan,496784000000,1780060749842542907
robot1,/robot1/scan,496809000000,1780060749867669016
robot1,/robot1/scan,496834000000,1780060749892401082
robot1,/robot1/scan,496859000000,1780060749917939217
robot1,/robot1/scan,496883000000,1780060749942451234
robot1,/robot1/scan,496909000000,1780060749967641280
robot1,/robot1/scan,496933000000,1780060749992231198
robot1,/robot1/scan,496958000000,1780060750016957210
robot1,/robot1/scan,496983000000,1780060750042083664
robot1,/robot1/scan,497008000000,1780060750067335788
robot1,/robot1/scan,497034000000,1780060750092563404
robot1,/robot1/scan,497058000000,1780060750116922463
robot1,/robot1/scan,497083000000,1780060750141622464
robot1,/robot1/scan,497108000000,1780060750167319275
robot1,/robot1/scan,497134000000,1780060750193492473
robot1,/robot1/scan,497159000000,1780060750217737842
robot1,/robot1/scan,497183000000,1780060750241707366
robot1,/robot1/scan,497208000000,1780060750267042461
robot1,/robot1/scan,497232000000,1780060750290858567
robot1,/robot1/scan,497257000000,1780060750316233570
robot1,/robot1/scan,497282000000,1780060750340407538
robot1,/robot1/scan,497307000000,1780060750366211110
robot1,/robot1/scan,497332000000,1780060750391046955
robot1,/robot1/scan,497358000000,1780060750417023230
robot1,/robot1/scan,497382000000,1780060750441153544
robot1,/robot1/scan,497407000000,1780060750466203858
robot1,/robot1/scan,497432000000,1780060750490562213
robot1,/robot1/scan,497458000000,1780060750517113148
robot1,/robot1/scan,497482000000,1780060750541555849
robot1,/robot1/scan,497507000000,1780060750566278103
robot1,/robot1/scan,497532000000,1780060750590442021
robot1,/robot1/scan,497557000000,1780060750615728211
robot1,/robot1/scan,497582000000,1780060750640551651
robot1,/robot1/scan,497607000000,1780060750665560712
robot1,/robot1/scan,497632000000,1780060750691049641
robot1,/robot1/scan,497657000000,1780060750715501866
robot1,/robot1/scan,497682000000,1780060750741121098
robot1,/robot1/scan,497707000000,1780060750765602352
robot1,/robot1/scan,497732000000,1780060750790422200
robot1,/robot1/scan,497757000000,1780060750816151460
robot1,/robot1/scan,497782000000,1780060750840411529
robot1,/robot1/scan,497807000000,1780060750866083045
robot1,/robot1/scan,497832000000,1780060750891238758
robot1,/robot1/scan,497857000000,1780060750915604052
robot1,/robot1/scan,497882000000,1780060750941205874
robot1,/robot1/scan,497907000000,1780060750966149402
robot1,/robot1/scan,497932000000,1780060750990645051
robot1,/robot1/scan,497957000000,1780060751015622028
robot1,/robot1/scan,497982000000,1780060751040456712
robot1,/robot1/scan,498007000000,1780060751065612511
robot1,/robot1/scan,498032000000,1780060751090608194
robot1,/robot1/scan,498057000000,1780060751115640017
robot1,/robot1/scan,498083000000,1780060751142423381
