robot,topic,ros_stamp_ns,wall_stamp_ns
robot1,/robot1/tf,298586000000,1779276930269402984
robot1,/robot1/tf,298620000000,1779276930303204545
robot1,/robot1/tf,298654000000,1779276930337201431
robot1,/robot1/tf,298688000000,1779276930370808602
robot1,/robot1/tf,298722000000,1779276930404559908
robot1,/robot1/tf,298756000000,1779276930438288243
robot1,/robot1/tf,298790000000,1779276930472190505
robot1,/robot1/tf,298824000000,1779276930506140980
robot1,/robot1/tf,298858000000,1779276930540026646
robot1,/robot1/tf,298892000000,1779276930573991101
robot1,/robot1/tf,298926000000,1779276930608073408
robot1,/robot1/tf,298960000000,1779276930642014872
robot1,/robot1/tf,298994000000,1779276930675894797
robot1,/robot1/tf,299028000000,1779276930709876156
robot1,/robot1/tf,299062000000,1779276930743934600
robot1,/robot1/tf,299096000000,1779276930778128282
robot1,/robot1/tf,299130000000,1779276930812102655
robot1,/robot1/tf,299164000000,1779276930846226060
robot1,/robot1/tf,299198000000,1779276930880256204
robot1,/robot1/tf,299232000000,1779276930914379769
robot1,/robot1/tf,299266000000,1779276930948343990
robot1,/robot1/tf,299300000000,1779276930982368131
robot1,/robot1/tf,299334000000,1779276931016451950
robot1,/robot1/tf,299368000000,1779276931050309503
robot1,/robot1/tf,299402000000,1779276931084467965
robot1,/robot1/tf,299436000000,1779276931118561046
robot1,/robot1/tf,299470000000,1779276931152482190
robot1,/robot1/tf,299504000000,1779276931186443626
robot1,/robot1/tf,299538000000,1779276931220490627
robot1,/robot1/tf,299572000000,1779276931254220908
robot1,/robot1/tf,299606000000,1779276931288195844
robot1,/robot1/tf,299640000000,1779276931322325389
robot1,/robot1/tf,299674000000,1779276931356556592
robot1,/robot1/tf,299708000000,1779276931390391211
robot1,/robot1/tf,299742000000,1779276931424384631
robot1,/robot1/tf,299776000000,1779276931458490822
robot1,/robot1/tf,299810000000,1779276931492524574
robot1,/robot1/tf,299844000000,1779276931526471652
robot1,/robot1/tf,299878000000,1779276931560427392
robot1,/robot1/tf,299912000000,1779276931594441997
robot1,/robot1/tf,299946000000,1779276931628513338
robot1,/robot1/tf,299980000000,1779276931662601528
robot1,/robot1/tf,300014000000,1779276931697357247
robot1,/robot1/tf,300048000000,1779276931731497432
robot1,/robot1/tf,300082000000,1779276931765645146
robot1,/robot1/tf,300116000000,1779276931799348723
robot1,/robot1/tf,300150000000,1779276931833348552
robot1,/robot1/tf,300184000000,1779276931867335636
robot1,/robot1/tf,300218000000,1779276931901342600
robot1,/robot1/tf,300252000000,1779276931935421911
robot1,/robot1/tf,300286000000,1779276931969532603
robot1,/robot1/tf,300320000000,1779276932003381475
robot1,/robot1/tf,300354000000,1779276932037354642
robot1,/robot1/tf,300388000000,1779276932071600690
robot1,/robot1/tf,300422000000,1779276932105587496
robot1,/robot1/tf,300456000000,1779276932139547625
robot1,/robot1/tf,300490000000,1779276932173459163
robot1,/robot1/tf,300524000000,1779276932207398303
robot1,/robot1/tf,300558000000,1779276932241669911
robot1,/robot1/tf,300592000000,1779276932275590693
robot1,/robot1/tf,300626000000,1779276932309365219
robot1,/robot1/tf,300660000000,1779276932343435423
robot1,/robot1/tf,300694000000,1779276932377450404
robot1,/robot1/tf,300728000000,1779276932411504174
robot1,/robot1/tf,300762000000,1779276932445508769
