trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot
1,2026-05-29T09:07:34.288Z,2026-05-29T09:07:54.068Z,19.779,1,20000,4,state_publisher,robot1
2,2026-05-29T09:08:32.234Z,2026-05-29T09:08:52.196Z,19.961,1,20000,4,state_publisher,robot1
3,2026-05-29T09:09:30.185Z,2026-05-29T09:09:50.139Z,19.954,1,20000,4,state_publisher,robot1
4,2026-05-29T09:10:28.324Z,2026-05-29T09:10:48.104Z,19.779,1,20000,4,state_publisher,robot1
5,2026-05-29T09:11:26.319Z,2026-05-29T09:11:46.028Z,19.709,1,20000,4,state_publisher,robot1
6,2026-05-29T09:12:22.143Z,2026-05-29T09:12:44.147Z,22.003,1,20000,4,state_publisher,robot1
7,2026-05-29T09:13:22.304Z,2026-05-29T09:13:42.065Z,19.761,1,20000,4,state_publisher,robot1
8,2026-05-29T09:14:20.237Z,2026-05-29T09:14:40.018Z,19.781,1,20000,4,state_publisher,robot1
9,2026-05-29T09:15:18.164Z,2026-05-29T09:15:38.121Z,19.956,1,20000,4,state_publisher,robot1
10,2026-05-29T09:16:16.339Z,2026-05-29T09:16:36.008Z,19.669,1,20000,4,state_publisher,robot1
11,2026-05-29T09:17:14.227Z,2026-05-29T09:17:34.135Z,19.908,1,20000,4,state_publisher,robot1
12,2026-05-29T09:18:10.275Z,2026-05-29T09:18:32.205Z,21.930,1,20000,4,state_publisher,robot1
13,2026-05-29T09:19:10.238Z,2026-05-29T09:19:30.141Z,19.902,1,20000,4,state_publisher,robot1
14,2026-05-29T09:20:08.231Z,2026-05-29T09:20:28.020Z,19.788,1,20000,4,state_publisher,robot1
15,2026-05-29T09:21:06.177Z,2026-05-29T09:21:26.168Z,19.990,1,20000,4,state_publisher,robot1
16,2026-05-29T09:22:04.352Z,2026-05-29T09:22:24.083Z,19.731,1,20000,4,state_publisher,robot1
17,2026-05-29T09:23:02.299Z,2026-05-29T09:23:22.047Z,19.748,1,20000,4,state_publisher,robot1
18,2026-05-29T09:24:00.291Z,2026-05-29T09:24:20.166Z,19.874,1,20000,4,state_publisher,robot1
19,2026-05-29T09:24:58.213Z,2026-05-29T09:25:18.155Z,19.941,1,20000,4,state_publisher,robot1
20,2026-05-29T09:25:56.339Z,2026-05-29T09:26:16.063Z,19.724,1,20000,4,state_publisher,robot1
