trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,target,robot
1,2026-05-27T19:34:52.134Z,2026-05-27T19:35:00.104Z,7.969,1,10000,state_publisher,robot1
2,2026-05-27T19:35:18.360Z,2026-05-27T19:35:26.103Z,7.743,1,10000,state_publisher,robot1
3,2026-05-27T19:35:44.298Z,2026-05-27T19:35:54.060Z,9.761,1,10000,state_publisher,robot1
4,2026-05-27T19:36:12.266Z,2026-05-27T19:36:20.035Z,7.769,1,10000,state_publisher,robot1
5,2026-05-27T19:36:38.349Z,2026-05-27T19:36:46.039Z,7.689,1,10000,state_publisher,robot1
6,2026-05-27T19:37:04.314Z,2026-05-27T19:37:12.042Z,7.728,1,10000,state_publisher,robot1
7,2026-05-27T19:37:30.233Z,2026-05-27T19:37:40.205Z,9.972,1,10000,state_publisher,robot1
8,2026-05-27T19:37:58.414Z,2026-05-27T19:38:06.102Z,7.687,1,10000,state_publisher,robot1
9,2026-05-27T19:38:24.187Z,2026-05-27T19:38:32.159Z,7.971,1,10000,state_publisher,robot1
10,2026-05-27T19:38:50.247Z,2026-05-27T19:39:00.153Z,9.906,1,10000,state_publisher,robot1
11,2026-05-27T19:39:18.207Z,2026-05-27T19:39:26.145Z,7.938,1,10000,state_publisher,robot1
12,2026-05-27T19:39:44.411Z,2026-05-27T19:39:52.111Z,7.700,1,10000,state_publisher,robot1
13,2026-05-27T19:40:10.311Z,2026-05-27T19:40:20.084Z,9.772,1,10000,state_publisher,robot1
14,2026-05-27T19:40:38.402Z,2026-05-27T19:40:46.111Z,7.709,1,10000,state_publisher,robot1
15,2026-05-27T19:41:04.329Z,2026-05-27T19:41:12.056Z,7.726,1,10000,state_publisher,robot1
16,2026-05-27T19:41:30.303Z,2026-05-27T19:41:38.034Z,7.730,1,10000,state_publisher,robot1
17,2026-05-27T19:41:56.271Z,2026-05-27T19:42:06.065Z,9.793,1,10000,state_publisher,robot1
18,2026-05-27T19:42:24.254Z,2026-05-27T19:42:32.126Z,7.872,1,10000,state_publisher,robot1
19,2026-05-27T19:42:50.162Z,2026-05-27T19:42:58.130Z,7.968,1,10000,state_publisher,robot1
20,2026-05-27T19:43:16.374Z,2026-05-27T19:43:26.107Z,9.732,1,10000,state_publisher,robot1
