trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,n_robots,target,robot,contract,verifier,verifier_addr,tx_path
1,2026-06-21T12:14:20.474Z,2026-06-21T12:14:56.043Z,35.568,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
2,2026-06-21T12:15:38.579Z,2026-06-21T12:16:14.073Z,35.494,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
3,2026-06-21T12:16:56.445Z,2026-06-21T12:17:32.178Z,35.733,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
4,2026-06-21T12:18:14.605Z,2026-06-21T12:18:50.175Z,35.570,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
5,2026-06-21T12:19:32.507Z,2026-06-21T12:20:08.084Z,35.576,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
6,2026-06-21T12:20:50.492Z,2026-06-21T12:21:26.198Z,35.705,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
7,2026-06-21T12:22:08.537Z,2026-06-21T12:22:44.122Z,35.585,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
8,2026-06-21T12:23:26.593Z,2026-06-21T12:24:02.070Z,35.477,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
9,2026-06-21T12:24:44.467Z,2026-06-21T12:25:20.210Z,35.742,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
10,2026-06-21T12:26:02.712Z,2026-06-21T12:26:38.174Z,35.461,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
11,2026-06-21T12:27:20.645Z,2026-06-21T12:27:56.088Z,35.442,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
12,2026-06-21T12:28:38.442Z,2026-06-21T12:29:14.166Z,35.724,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
13,2026-06-21T12:29:56.642Z,2026-06-21T12:30:32.105Z,35.463,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
14,2026-06-21T12:31:14.559Z,2026-06-21T12:31:50.034Z,35.474,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
15,2026-06-21T12:32:32.439Z,2026-06-21T12:33:08.134Z,35.695,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
16,2026-06-21T12:33:50.548Z,2026-06-21T12:34:26.081Z,35.532,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
17,2026-06-21T12:35:08.468Z,2026-06-21T12:35:44.202Z,35.733,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
18,2026-06-21T12:36:26.622Z,2026-06-21T12:37:02.155Z,35.532,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
19,2026-06-21T12:37:44.644Z,2026-06-21T12:38:20.144Z,35.499,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
20,2026-06-21T12:39:02.609Z,2026-06-21T12:39:38.098Z,35.489,1,30000,4,state_publisher,robot1,rr,robot2,0x7b2A775383F0F3beEBC8ceE063e20Df3E296487E,3tx-peer
